,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,31388,Diego Perotti,34," M(CLR),FW",179,70,14(1),14,1,1205,3,7,2,0,1.7,84.8,0.5,3,7.8
1,30226,Miralem Pjanic,32, M(C),178,72,30(3),30,3,2654,10,12,10,1,2.1,84.9,0.7,3,7.46
2,70087,Stephan El Shaarawy,29," AM(CLR),FW",178,72,15(1),15,1,1202,8,2,0,0,2.9,80.8,0.6,2,7.32
3,17740,Gervinho,35," M(LR),FW",179,66,13(1),13,1,1089,6,1,0,0,1.9,85.9,0.0,3,7.28
4,108226,Mohamed Salah,30," AM(CLR),FW",175,71,32(2),32,2,2739,14,6,1,1,2.1,82.9,0.2,4,7.2
5,101596,Alessandro Florenzi,31," D(R),M(CLR)",173,67,31(2),31,2,2728,7,3,4,0,1.4,78.9,0.7,3,7.16
6,89925,Lucas Digne,29," D(CL),M(L)",178,74,32(1),32,1,2859,3,3,4,0,0.5,81.3,2.3,1,7.13
7,70149,Kostas Manolas,31, D(C),189,83,36(1),36,1,3124,2,2,7,0,0.4,86.5,3.4,1,7.05
8,52380,Radja Nainggolan,34, M(C),176,65,33(2),33,2,2939,6,1,10,1,1.9,85.2,0.6,2,7.03
9,5202,Daniele De Rossi,39," D(C),M(C)",184,83,23(1),23,1,1911,1,2,9,0,0.4,88.9,0.7,0,6.92
10,73379,Wojciech Szczesny,32, GK,195,90,34,34,0,3060,0,0,1,0,0.0,66.9,0.1,2,6.87
11,24845,Edin Dzeko,36, FW,193,80,21(10),21,10,1954,8,6,4,1,2.7,66.4,3.3,1,6.86
12,8007,Maicon,41, D(R),184,77,12(3),12,3,1012,1,2,2,1,0.7,84.6,0.9,1,6.83
13,2664,Seydou Keita,42, M(C),183,75,16(4),16,4,1368,1,0,4,0,0.7,86.1,2.0,0,6.83
14,104010,Antonio Rüdiger,29, D(CR),190,85,29(1),29,1,2634,2,0,4,0,0.6,86.8,1.5,0,6.82
15,183,Francesco Totti,45," AM(CL),FW",180,82,2(11),2,11,387,5,3,3,0,1.7,76.7,0.2,0,6.81
16,25565,William Vainqueur,33, DMC,179,73,4(12),4,12,593,0,2,3,0,0.3,92.4,0.8,0,6.58
17,61083,Ervin Zukanovic,35, D(CL),188,85,6(3),6,3,524,0,1,2,0,0.1,83.6,1.6,0,6.57
18,35954,Kevin Strootman,32, DMC,186,78,2(3),2,3,190,0,1,1,0,0.4,92.9,0.2,0,6.56
19,80734,Iago Falque,32," AM(CLR),FW",172,70,13(9),13,9,1167,2,2,1,0,0.7,85.8,0.3,0,6.53
20,297546,Umar Sadiq,25, FW,192,75,2(4),2,4,189,2,0,0,0,0.7,69.2,0.7,1,6.53
21,4500,Morgan De Sanctis,45, GK,190,86,4,4,0,360,0,0,0,0,0.0,69.7,0.0,0,6.47
22,97452,Juan Iturbe,29, AM(LR),172,64,3(9),3,9,399,1,0,1,0,0.8,70.2,0.9,0,6.43
23,23567,Vasilis Torosidis,37," D(CLR),M(R)",185,80,6(5),6,5,574,0,0,2,0,0.2,82.5,0.9,0,6.4
24,101955,Emerson,28," D(L),M(L)",176,63,1(7),1,7,183,1,0,1,0,0.5,84.3,0.4,0,6.36
25,93854,Salih Uçan,28, M(C),182,65,0(3),0,3,41,0,1,0,0,0.3,90.0,0.0,0,6.31
26,18139,Castán,35, D(C),184,80,4(1),4,1,381,0,0,1,0,0.0,85.1,1.4,0,6.24
27,108117,Norbert Gyömbér,30," D(CR),DMC",189,74,0(6),0,6,93,0,0,1,0,0.0,78.0,0.7,0,6.15
28,68034,Adem Ljajic,30," AM(CLR),FW",182,80,0(1),0,1,1,0,0,0,0,0.0,0.0,0.0,0,6.0
29,300624,Marco Tumminello,23, Forward,180,76,0(1),0,1,1,0,0,0,0,0.0,0.0,0.0,0,6.0
30,74805,Victor Ibarbo,32," AM(LR),FW",186,69,0(2),0,2,8,0,0,0,0,0.0,33.3,0.5,0,5.98
31,297195,Lorenzo Di Livio,25, Midfielder,176,72,0(1),0,1,21,0,0,1,0,0.0,100.0,0.0,0,5.96
