,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,105591,Suso,28," AM(CLR),FW",177,70,33(2),2847,6,7,2,1,2.7,81.3,0.1,7,7.22,33,2
1,1,110373,Hakan Çalhanoglu,28," M(CLR),FW",178,76,25(6),2174,6,7,5,1,2.8,82.4,0.2,3,7.13,25,6
2,2,260498,Davide Calabria,25," D(LR),M(R)",177,70,18(3),1562,1,3,0,1,0.4,81.0,0.8,2,7.12,18,3
3,3,294137,Andrea Conti,28," D(R),M(R)",184,76,2,158,0,0,0,0,0.5,89.5,3,0,7.12,2,0
4,4,40384,Giacomo Bonaventura,33, M(CLR),180,75,30(3),2552,8,3,3,0,1.9,88.1,0.8,3,7.07,30,3
5,5,14063,Cristián Zapata,35, D(C),187,82,11(1),993,0,0,2,0,0.3,89.8,2.7,0,7.05,11,1
6,6,22205,Lucas Biglia,36, DMC,178,64,24(4),2043,1,1,5,0,0.8,91.0,0.8,1,6.88,24,4
7,7,277269,Franck Kessie,25, M(C),183,74,37,3270,5,3,9,0,2,84.6,1.3,2,6.83,37,0
8,8,20664,Leonardo Bonucci,35, D(C),190,85,35,3085,2,0,5,1,0.7,85.7,1.6,0,6.79,35,0
9,9,118158,Alessio Romagnoli,27, D(CL),185,75,27(1),2355,2,0,7,1,0.4,91.4,2.5,1,6.78,27,1
10,10,61610,Ricardo Rodríguez,30," D(CL),M(L)",181,78,34,3006,1,0,3,1,0.9,87.6,1,0,6.7,34,0
11,11,25091,Nikola Kalinic,34, FW,187,79,20(11),1813,6,3,3,0,1.6,80.1,1.5,1,6.63,20,11
12,12,329681,Patrick Cutrone,24, FW,183,75,17(11),1512,10,2,3,0,1.6,79.0,0.4,1,6.6,17,11
13,13,80882,Fabio Borini,31," M(CLR),FW",180,73,19(10),1612,2,3,5,0,1.3,81.0,0.5,0,6.59,19,10
14,14,61014,Mateo Musacchio,32, D(C),180,73,12(3),1198,0,1,2,0,0.2,89.4,0.9,0,6.55,12,3
15,15,262515,Gianluigi Donnarumma,23, GK,196,90,38,3420,0,0,2,0,0,77.1,0.1,1,6.54,38,0
16,16,23206,Ignazio Abate,35," D(R),M(R)",180,73,11(6),1057,1,0,3,0,0.2,83.1,0.4,0,6.53,11,6
17,17,9974,Riccardo Montolivo,37, M(C),182,79,12(6),1091,1,1,3,1,0.7,83.3,0.6,0,6.48,12,6
18,18,273539,Manuel Locatelli,24, M(C),185,75,5(16),667,0,0,4,0,0.5,86.1,0.2,0,6.36,5,16
19,19,299460,André Silva,26, FW,185,84,7(17),922,2,0,0,0,1.5,77.0,1,0,6.35,7,17
20,20,140116,José Mauri,26, DMC,169,63,0(1),12,0,0,0,0,1,92.3,0,0,6.22,0,1
21,21,14040,Luca Antonelli,35," D(L),M(CL)",184,79,1(5),140,0,0,1,0,0,83.0,0.2,0,6.1,1,5
22,22,356728,Emanuele Torrasi,23, Midfielder,0,0,0(1),5,0,0,0,0,0,100.0,0,0,6.0,0,1
