,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,28421,Henrikh Mkhitaryan,33," M(CLR),FW",177,75,30(4),2747,13,10,2,0,2.4,78.5,0.4,4,7.3,30,4
1,1,148546,Lorenzo Pellegrini,26, M(CL),186,77,30(4),2608,7,6,10,0,2.1,82.0,0.6,7,7.23,30,4
2,2,92329,Leonardo Spinazzola,29," D(LR),M(L)",186,75,25(2),2130,2,4,0,0,0.8,80.6,0.4,2,6.98,25,2
3,3,342606,Daniel Fuzato,25, GK,190,88,5,450,0,0,0,0,0,68.6,0.2,0,6.91,5,0
4,4,24845,Edin Dzeko,36, FW,193,80,20(7),1828,7,3,2,0,2.6,68.8,3.1,3,6.91,20,7
5,5,244804,Gianluca Mancini,26," D(C),DMC",190,77,33,2855,4,2,10,0,0.8,88.2,1.8,1,6.89,33,0
6,6,341525,Ibañez,23, D(C),185,73,28(2),2402,0,1,5,1,0.5,86.9,2.2,2,6.86,28,2
7,7,101017,Jordan Veretout,29, M(C),177,67,25(4),2063,10,2,4,0,1.4,88.1,0.4,0,6.68,25,4
8,8,44055,Pedro,35," M(CLR),FW",169,65,20(7),1601,5,2,3,1,1.6,81.4,0.1,0,6.67,20,7
9,9,71345,Chris Smalling,32, D(CR),194,81,13(3),1110,0,1,3,0,0.4,90.7,1.6,0,6.65,13,3
10,10,232249,Rick Karsdorp,27," D(R),M(R)",184,80,28(6),2550,1,6,2,0,0.4,83.8,0.2,0,6.64,28,6
11,11,109149,Bryan Cristante,27," D(C),M(C)",186,80,22(12),2149,1,3,8,0,0.8,83.1,1,1,6.64,22,12
12,12,17949,Antonio Mirante,39, GK,193,79,13,1154,0,0,2,0,0,74.9,0,0,6.6,13,0
13,13,145427,Pau López,27, GK,189,77,20(1),1816,0,0,0,0,0,76.8,0.1,0,6.59,20,1
14,14,278721,Borja Mayoral,25, FW,182,74,18(13),1554,10,2,1,0,1.3,79.6,0.5,1,6.59,18,13
15,15,357388,Gonzalo Villar,24, DMC,181,73,21(12),1862,0,1,7,0,0.3,89.9,0.8,0,6.58,21,12
16,16,70087,Stephan El Shaarawy,29," AM(CLR),FW",178,72,6(4),572,1,1,1,0,1.6,79.2,0.2,0,6.56,6,4
17,17,403913,Nicola Zalewski,20, M(L),164,0,0(1),10,0,1,0,0,0,83.3,0,0,6.56,0,1
18,18,29908,Federico Fazio,35, D(C),195,85,5(1),407,1,0,2,0,0.5,86.9,2.8,0,6.56,5,1
19,19,102073,Bruno Peres,32," D(LR),M(LR)",178,72,14(16),1418,1,2,6,0,0.4,86.8,0.2,0,6.55,14,16
20,20,386668,Ebrima Darboe,21, DMC,0,0,4(1),326,0,0,2,0,0.6,93.9,0.4,0,6.54,4,1
21,21,343778,Marash Kumbulla,22, D(C),191,78,14(7),1364,1,0,7,0,0.3,88.6,1.3,0,6.44,14,7
22,22,374869,Carles Pérez,24, AM(CR),173,75,6(15),762,2,1,0,0,1.1,82.6,0.1,1,6.43,6,15
23,23,364716,Bryan Reynolds,21, D(R),188,75,3(2),286,0,0,0,0,0,84.2,0.4,0,6.4,3,2
24,24,44642,Davide Santon,31, D(LR),187,77,7(3),588,0,1,3,0,0.5,90.9,0.4,0,6.34,7,3
25,25,84603,Juan Jesus,31, D(CL),185,83,0(5),153,0,0,0,0,0,92.4,0.4,0,6.32,0,5
26,26,41220,Javier Pastore,33, AM(CLR),187,78,1(5),78,0,0,0,0,0,88.3,0.2,0,6.3,1,5
27,27,294044,Amadou Diawara,25, DMC,183,75,7(11),655,1,0,2,1,0.4,89.7,0.2,1,6.26,7,11
28,28,407590,Edoardo Bove,20, Midfielder,0,0,0(1),10,0,0,0,0,0,100.0,1,0,6.22,0,1
29,29,331579,Justin Kluivert,23, AM(LR),171,67,0(2),18,0,0,0,0,0.5,66.7,0,0,6.0,0,2
30,30,386519,Riccardo Calafiori,20, Defender,0,0,1(2),66,0,0,2,0,0,78.4,0.7,0,5.85,1,2
