,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,24,37940,Stefan Ilsanker,33.0," D(CR),DMC",189.0,85.0,24(2),24.0,2,2074.0,4.0,2.8,2.0,0.0,3.1,1.4,0.3,0.0,7.44
1,25,133886,Diego Demme,30.0, DMC,172.0,71.0,26(2),26.0,2,2190.0,3.6,2.5,1.9,0.0,0.9,1.9,0.1,0.0,7.17
2,26,104917,Willi Orbán,29.0, D(C),186.0,87.0,32,32.0,0,2844.0,3.0,2.5,1.6,0.9,6.8,0.8,0.5,0.0,7.43
3,27,115161,Marcel Halstenberg,31.0," D(CL),M(L)",188.0,87.0,22(2),22.0,2,1988.0,2.7,3.7,1.5,0.1,2.5,1.3,0.2,0.0,7.5
4,28,143600,Lukas Klostermann,26.0," D(CLR),M(R)",187.0,88.0,28(2),28.0,2,2481.0,2.3,2.1,0.7,0.4,2.7,0.7,0.2,0.0,6.9
5,29,18639,Marvin Compper,37.0, D(C),185.0,80.0,22(1),22.0,1,1997.0,2.0,3.3,1.2,1.0,5.3,0.6,0.3,0.0,7.23
6,30,69630,Stefan Hierländer,31.0, Midfielder,180.0,73.0,1,1.0,0,77.0,2.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,6.87
7,31,76513,Georg Teigl,31.0," D(R),M(R)",183.0,77.0,7(4),7.0,4,699.0,1.8,2.1,1.4,0.2,0.7,1.0,0.2,0.0,6.65
8,32,141716,Emil Forsberg,30.0," AM(CLR),FW",177.0,76.0,30(2),30.0,2,2580.0,1.6,0.8,1.3,0.0,0.1,1.1,0.0,0.0,7.36
9,33,115565,Anthony Jung,30.0," D(CL),M(L)",186.0,83.0,11(11),11.0,11,1108.0,1.6,1.3,0.8,0.1,1.0,0.8,0.1,0.0,6.66
10,34,299057,Ken Gipson,26.0, Defender,178.0,69.0,1(1),1.0,1,134.0,1.5,2.0,1.0,0.0,2.0,1.0,0.0,0.0,6.56
11,35,91067,Dominik Kaiser,34.0, M(CR),171.0,69.0,30,30.0,0,2574.0,1.4,1.7,1.3,0.0,0.4,1.2,0.1,0.0,7.2
12,36,86191,Atinç Nukan,29.0, D(C),196.0,86.0,7(5),7.0,5,600.0,1.2,2.0,1.3,0.8,3.3,0.3,0.3,0.0,6.9
13,37,110266,Rani Khedira,28.0," D(C),DMC",189.0,86.0,10(9),10.0,9,808.0,1.2,1.4,1.2,0.1,1.1,0.4,0.1,0.0,6.49
14,38,93937,Massimo Bruno,29.0, AM(CLR),178.0,74.0,11(13),11.0,13,1230.0,1.0,0.6,0.6,0.0,0.2,0.7,0.0,0.0,6.73
15,39,92051,Marcel Sabitzer,28.0," M(CLR),FW",178.0,76.0,32,32.0,0,2780.0,0.9,1.1,1.0,0.0,0.4,0.9,0.0,0.0,7.11
16,40,132943,Yussuf Poulsen,28.0," AM(R),FW",192.0,84.0,22(10),22.0,10,1991.0,0.6,0.3,1.9,0.0,0.4,0.7,0.0,0.0,6.93
17,41,137852,Davie Selke,27.0, FW,194.0,88.0,20(10),20.0,10,1821.0,0.3,0.2,2.2,0.0,0.6,0.2,0.1,0.0,6.81
18,42,243509,Nils Quaschner,28.0," AM(L),FW",184.0,81.0,1(18),1.0,18,331.0,0.3,0.1,0.9,0.0,0.2,0.1,0.1,0.0,6.25
19,43,143463,Zsolt Kalmár,27.0, AM(CL),185.0,78.0,0(4),0.0,4,69.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,6.28
20,44,132946,Tim Sebastian,38.0, D(C),188.0,79.0,3(3),3.0,3,209.0,0.2,1.3,0.5,0.2,2.7,0.2,0.2,0.0,6.38
21,45,21083,Fabio Coltorti,41.0, GK,197.0,98.0,21,21.0,0,1833.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,6.54
22,46,330505,Idrissa Touré,24.0, Midfielder,188.0,76.0,0(1),0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
23,47,67369,Péter Gulácsi,32.0, GK,191.0,86.0,13(1),13.0,1,1227.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0.0,6.56
