,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,24,74939,Thiago,31.0, M(C),174.0,70.0,26(4),26.0,4,2409.0,2.9,1.5,1.7,0.0,0.6,0.8,0.1,0.0,7.59
1,25,115519,Leon Goretzka,27.0, M(CR),189.0,82.0,23(7),23.0,7,2021.0,1.4,0.9,0.9,0.0,0.5,0.8,0.1,1.0,6.96
2,26,283323,Joshua Kimmich,27.0," D(CR),DMC,M(R)",177.0,75.0,34,34.0,0,3060.0,1.4,1.0,0.8,0.1,1.0,0.9,0.3,0.0,7.49
3,27,37099,Thomas Müller,33.0," M(CLR),FW",185.0,76.0,28(4),28.0,4,2391.0,1.3,0.3,0.7,0.0,0.4,0.9,0.2,0.0,7.19
4,28,14091,Javi Martínez,34.0," D(C),M(C)",192.0,86.0,16(5),16.0,5,1313.0,1.2,1.5,0.6,0.3,0.6,0.5,0.2,0.0,6.88
5,29,21541,Mats Hummels,33.0, D(C),191.0,94.0,20(1),20.0,1,1776.0,1.2,1.6,0.4,0.2,2.3,0.7,0.4,0.0,7.17
6,30,119501,Serge Gnabry,27.0," AM(CLR),FW",176.0,77.0,21(9),21.0,9,1774.0,1.2,0.4,0.8,0.0,0.1,0.8,0.0,0.0,7.15
7,31,39722,David Alaba,30.0," D(CL),M(CL)",180.0,78.0,29(2),29.0,2,2534.0,1.1,1.0,0.4,0.3,1.0,0.3,0.1,0.0,7.01
8,32,23589,Jérôme Boateng,34.0, D(CR),192.0,90.0,19(1),19.0,1,1694.0,1.1,1.3,0.8,0.7,2.5,0.6,0.2,0.0,6.87
9,33,13755,Rafinha,37.0," D(CLR),M(R)",172.0,65.0,9(7),9.0,7,897.0,0.9,1.2,0.4,0.2,0.6,0.5,0.2,0.0,6.67
10,34,129983,Niklas Süle,27.0, D(CR),195.0,99.0,29(2),29.0,2,2652.0,0.9,1.3,0.5,0.4,2.6,0.2,0.4,0.0,6.96
11,35,9016,Franck Ribéry,39.0," AM(CL),FW",170.0,72.0,10(15),10.0,15,1168.0,0.6,0.3,0.7,0.0,0.0,0.2,0.0,0.0,6.77
12,36,71182,James Rodríguez,31.0," AM(CLR),FW",180.0,75.0,13(7),13.0,7,1143.0,0.6,0.2,0.4,0.0,0.1,0.7,0.0,0.0,7.24
13,37,125883,Kingsley Coman,26.0," M(LR),FW",180.0,76.0,17(4),17.0,4,1392.0,0.5,0.2,0.8,0.0,0.1,0.6,0.0,0.0,7.34
14,38,22669,Sandro Wagner,34.0, FW,194.0,92.0,1(6),1.0,6,140.0,0.4,0.0,0.1,0.0,0.3,0.1,0.0,0.0,6.17
15,39,29400,Robert Lewandowski,34.0, FW,185.0,81.0,33,33.0,0,2959.0,0.4,0.2,0.8,0.0,0.5,0.2,0.0,0.0,7.65
16,40,299450,Renato Sanches,25.0, M(CR),176.0,70.0,4(13),4.0,13,567.0,0.3,0.2,0.6,0.0,0.1,0.4,0.0,0.0,6.36
17,41,4173,Arjen Robben,38.0," M(CLR),FW",180.0,80.0,7(5),7.0,5,564.0,0.3,0.3,0.4,0.0,0.0,0.1,0.1,0.0,6.61
18,42,320040,Alphonso Davies,21.0," D(L),M(LR)",183.0,75.0,0(6),0.0,6,74.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,6.24
19,43,13754,Manuel Neuer,36.0, GK,193.0,93.0,26,26.0,0,2303.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,6.34
20,44,134894,Corentin Tolisso,28.0," D(R),M(CR)",181.0,81.0,1(1),1.0,1,52.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,6.73
21,45,354599,Meritan Shabani,23.0, Midfielder,185.0,78.0,0(1),0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
22,46,35506,Sven Ulreich,34.0, GK,192.0,87.0,8(1),8.0,1,757.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.35
23,47,366868,Woo-Yeong Jeong,23.0," AM(CR),FW",179.0,69.0,0(1),0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.23
