,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,26,73744,Thomas Delaney,31.0, DMC,182.0,79.0,14(6),14.0,6,1290.0,2.0,1.1,1.8,0.0,0.7,1.0,0.5,0.0,6.7
1,27,21541,Mats Hummels,33.0, D(C),191.0,94.0,32(1),32.0,1,2817.0,1.8,2.2,0.8,0.4,3.7,0.5,0.7,0.0,7.26
2,28,379868,Jude Bellingham,19.0, M(CLR),186.0,75.0,19(10),19.0,10,1705.0,1.7,0.8,1.4,0.0,0.4,0.9,0.2,0.0,6.71
3,29,111212,Emre Can,28.0," D(CLR),DMC",186.0,86.0,23(5),23.0,5,2134.0,1.5,1.7,1.3,0.1,1.8,0.6,0.4,0.0,7.06
4,30,297390,Manuel Akanji,27.0, D(CR),188.0,91.0,26(2),26.0,2,2350.0,1.5,1.8,0.8,0.4,2.5,0.4,0.4,0.0,6.86
5,31,135092,Mahmoud Dahoud,26.0, M(C),178.0,68.0,15(6),15.0,6,1264.0,1.4,0.9,1.3,0.0,0.4,1.1,0.2,0.0,6.77
6,32,104376,Thomas Meunier,31.0," D(R),M(R)",191.0,90.0,17(4),17.0,4,1474.0,1.4,0.9,0.8,0.0,1.2,0.4,0.3,0.0,6.65
7,33,312843,Felix Passlack,24.0," D(LR),M(CR)",170.0,74.0,3(4),3.0,4,359.0,1.3,0.4,0.6,0.0,0.3,0.6,0.1,0.0,6.58
8,34,25191,Axel Witsel,33.0," D(C),M(C)",186.0,81.0,13(2),13.0,2,1130.0,1.2,1.5,1.1,0.1,0.7,0.5,0.2,0.0,6.74
9,35,115375,Raphaël Guerreiro,28.0," D(L),M(CL)",170.0,71.0,25(2),25.0,2,2224.0,1.1,1.0,0.4,0.2,0.9,0.6,0.1,0.0,7.24
10,36,41330,Marco Reus,33.0," M(CLR),FW",180.0,71.0,27(5),27.0,5,2295.0,1.0,0.4,0.8,0.0,0.4,0.8,0.1,0.0,7.1
11,37,384368,Mateu Morey,22.0," D(R),M(R)",173.0,67.0,10(3),10.0,3,834.0,1.0,1.4,0.9,0.2,0.5,0.2,0.1,0.0,6.48
12,38,11090,Lukasz Piszczek,37.0," D(CR),M(R)",184.0,79.0,5(6),5.0,6,451.0,0.9,0.5,0.1,0.2,1.0,0.6,0.1,0.0,6.45
13,39,141556,Julian Brandt,26.0," M(CLR),FW",185.0,83.0,17(14),17.0,14,1494.0,0.9,0.5,0.2,0.0,0.2,1.0,0.0,0.0,6.58
14,40,389087,Giovanni Reyna,19.0, AM(CLR),185.0,79.0,23(9),23.0,9,1984.0,0.8,0.3,0.8,0.0,0.3,0.5,0.0,0.0,6.81
15,41,346300,Jadon Sancho,22.0, AM(CLR),180.0,76.0,24(2),24.0,2,2069.0,0.7,0.6,0.0,0.0,0.2,0.3,0.0,0.0,7.54
16,42,91034,Nico Schulz,29.0," D(L),M(L)",181.0,83.0,6(7),6.0,7,603.0,0.7,0.5,0.6,0.0,0.8,0.7,0.3,1.0,6.18
17,43,301066,Steffen Tigges,24.0, Forward,193.0,90.0,0(6),0.0,6,51.0,0.7,0.0,0.7,0.0,0.2,0.2,0.0,0.0,6.15
18,44,379307,Reinier,20.0, AM(C),185.0,78.0,1(13),1.0,13,245.0,0.6,0.1,0.2,0.0,0.0,0.1,0.1,0.0,6.25
19,45,101537,Thorgan Hazard,29.0," M(CLR),FW",175.0,71.0,8(8),8.0,8,653.0,0.5,0.6,0.4,0.0,0.1,0.6,0.0,0.0,6.55
20,46,315227,Erling Haaland,22.0, FW,194.0,88.0,27(1),27.0,1,2410.0,0.3,0.1,0.7,0.0,0.6,0.1,0.1,0.0,7.63
21,47,342548,Dan-Axel Zagadou,23.0, D(CL),196.0,90.0,3(6),3.0,6,275.0,0.2,0.7,0.0,0.0,1.3,0.0,0.2,0.0,6.31
22,48,406701,Youssoufa Moukoko,17.0, Forward,179.0,72.0,2(12),2.0,12,416.0,0.2,0.0,0.6,0.0,0.1,0.0,0.0,0.0,6.44
23,49,36152,Marwin Hitz,35.0, GK,194.0,89.0,16,16.0,0,1396.0,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0.0,6.52
24,50,403747,Ansgar Knauff,20.0, M(R),180.0,73.0,0(4),0.0,4,68.0,0.0,0.0,0.8,0.0,0.0,0.3,0.3,0.0,6.77
25,51,63936,Roman Bürki,31.0, GK,187.0,85.0,18(1),18.0,1,1665.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.52
