,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,26,28191,Ramires,35.0, M(CR),180.0,73.0,28(7),28.0,7,2521.0,3.2,1.6,1.5,0.0,1.3,1.0,0.3,0.0,7.09
1,27,25931,César Azpilicueta,33.0," D(CLR),M(R)",178.0,76.0,24(3),24.0,3,2196.0,2.6,1.6,0.8,0.3,2.5,0.6,0.2,1.0,6.99
2,28,41065,Oscar,31.0, M(CLR),179.0,70.0,24(10),24.0,10,2293.0,2.5,0.9,1.0,0.0,0.9,1.1,0.1,0.0,7.03
3,29,15464,John Obi Mikel,35.0, M(C),188.0,83.0,19(3),19.0,3,1628.0,2.3,1.5,1.6,0.0,1.5,0.8,0.2,0.0,6.75
4,30,342,Ashley Cole,41.0," D(L),M(L)",176.0,66.0,31,31.0,0,2790.0,2.1,1.2,0.5,0.1,2.7,0.7,0.2,0.0,6.87
5,31,15338,Branislav Ivanovic,38.0, D(CR),185.0,80.0,33(1),33.0,1,2944.0,1.8,1.4,0.7,1.0,5.8,0.3,0.4,0.0,7.11
6,32,27586,David Luiz,35.0," D(C),DMC",189.0,84.0,29(1),29.0,1,2634.0,1.5,2.4,1.4,0.6,4.5,0.5,0.4,1.0,7.21
7,33,48,Frank Lampard,44.0, M(C),184.0,89.0,21(8),21.0,8,1901.0,1.2,0.9,0.5,0.0,0.9,0.7,0.2,0.0,7.08
8,34,22846,Ryan Bertrand,33.0," D(CL),M(L)",179.0,85.0,14(5),14.0,5,1280.0,1.2,0.5,0.7,0.2,1.3,0.2,0.1,0.0,6.48
9,35,11981,Gary Cahill,36.0, D(C),193.0,86.0,24(2),24.0,2,2216.0,1.1,1.0,0.5,0.9,6.5,0.3,1.2,0.0,7.07
10,36,122945,Nathan Aké,27.0," D(CL),DMC",180.0,75.0,1(2),1.0,2,92.0,1.0,0.7,0.0,0.0,0.3,0.0,0.7,0.0,6.36
11,37,90780,Oriol Romeu,31.0, DMC,183.0,83.0,4(2),4.0,2,237.0,1.0,1.3,0.5,0.0,0.7,1.0,0.2,0.0,6.49
12,38,33064,Victor Moses,31.0, M(CLR),177.0,79.0,12(11),12.0,11,1125.0,1.0,0.4,0.6,0.0,0.3,0.2,0.0,0.0,6.56
13,39,4056,Fernando Torres,38.0, FW,186.0,79.0,28(8),28.0,8,2571.0,0.9,0.3,1.4,0.0,0.9,0.2,0.0,0.0,7.02
14,40,70,John Terry,41.0, D(C),187.0,90.0,11(3),11.0,3,950.0,0.9,1.3,0.4,0.6,5.0,0.1,0.7,0.0,7.06
15,41,33404,Eden Hazard,31.0," M(CLR),FW",175.0,74.0,31(3),31.0,3,2640.0,0.8,1.1,0.7,0.0,0.2,0.7,0.0,0.0,7.33
16,42,25363,Juan Mata,34.0, AM(CLR),170.0,63.0,31(4),31.0,4,2749.0,0.7,0.6,0.4,0.0,0.1,0.8,0.0,0.0,7.28
17,43,23205,Marko Marin,33.0, M(CLR),170.0,64.0,2(4),2.0,4,143.0,0.5,0.5,0.5,0.0,0.3,0.2,0.0,0.0,6.35
18,44,10111,Raul Meireles,39.0, M(C),179.0,65.0,1(2),1.0,2,100.0,0.3,1.0,1.3,0.0,1.3,0.7,0.0,0.0,6.49
19,45,21457,Demba Ba,37.0," AM(C),FW",189.0,90.0,11(3),11.0,3,870.0,0.2,0.1,0.7,0.0,0.4,0.1,0.0,0.0,6.6
20,46,4490,Yossi Benayoun,42.0, M(R),178.0,70.0,0(6),0.0,6,53.0,0.2,0.7,0.8,0.0,0.3,0.0,0.0,0.0,6.14
21,47,6775,Petr Cech,40.0, GK,196.0,90.0,36,36.0,0,3196.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,6.91
22,48,23736,Daniel Sturridge,33.0," M(R),FW",188.0,76.0,1(6),1.0,6,161.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,6.39
23,49,101964,Lucas Piazón,28.0," AM(CLR),FW",182.0,75.0,0(1),0.0,1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98
24,50,7010,Paulo Ferreira,43.0, D(R),181.0,76.0,0(2),0.0,2,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12
25,51,10874,Ross Turnbull,37.0, GK,193.0,85.0,2(1),2.0,1,225.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.31
