,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,29,384063,Japhet Tanganga,23.0, D(CR),184.0,76.0,6,6.0,0,526.0,2.8,1.8,1.3,0.3,4.8,1.2,1.0,0.0,7.0
1,30,83683,Sèrge Aurier,29.0," D(CLR),M(R)",176.0,76.0,31(2),31.0,2,2706.0,2.8,1.4,1.2,0.2,2.5,0.9,0.2,1.0,7.06
2,31,313672,Kyle Walker-Peters,25.0," D(LR),M(R)",173.0,62.0,3,3.0,0,242.0,2.7,1.0,0.3,1.7,1.7,1.3,0.7,0.0,6.77
3,32,303908,Giovani Lo Celso,26.0," M(CR),FW",177.0,68.0,15(13),15.0,13,1489.0,1.8,0.3,1.0,0.0,0.6,1.7,0.1,0.0,6.62
4,33,335107,Juan Foyth,24.0," D(CR),DMC",179.0,69.0,1(3),1.0,3,67.0,1.8,0.3,0.5,0.0,0.5,0.3,0.0,0.0,6.05
5,34,21778,Jan Vertonghen,35.0, D(CL),189.0,79.0,19(4),19.0,4,1647.0,1.7,1.4,0.3,0.3,2.9,0.5,0.4,0.0,6.79
6,35,92508,Lucas Moura,30.0," AM(CLR),FW",172.0,72.0,25(10),25.0,10,2249.0,1.6,0.4,0.9,0.0,0.7,1.2,0.1,0.0,6.96
7,36,103837,Ben Davies,29.0," D(CL),M(L)",181.0,76.0,16(2),16.0,2,1432.0,1.6,1.2,1.5,0.4,2.3,0.8,0.7,0.0,6.77
8,37,322655,Davinson Sánchez,26.0, D(C),187.0,81.0,27(2),27.0,2,2432.0,1.5,1.2,0.9,0.3,4.2,0.8,1.0,0.0,6.66
9,38,24711,Danny Rose,32.0," D(L),M(L)",173.0,72.0,10(2),10.0,2,895.0,1.5,0.7,1.2,0.3,2.5,0.9,0.5,0.0,6.49
10,39,131519,Dele Alli,26.0," M(CL),FW",188.0,76.0,21(4),21.0,4,1854.0,1.4,0.7,0.5,0.0,0.6,1.0,0.1,0.0,6.87
11,40,29595,Moussa Sissoko,33.0, M(CR),187.0,83.0,28(1),28.0,1,2455.0,1.3,0.9,1.5,0.1,1.2,1.0,0.1,0.0,6.73
12,41,143990,Harry Winks,26.0, DMC,178.0,65.0,26(5),26.0,5,2230.0,1.3,1.2,0.8,0.0,1.0,1.2,0.3,0.0,6.57
13,42,69933,Toby Alderweireld,33.0, D(CR),186.0,81.0,33,33.0,0,2958.0,1.2,0.9,0.5,0.2,5.2,0.4,1.0,1.0,6.82
14,43,321389,Tanguy Ndombélé,25.0, M(C),181.0,76.0,12(9),12.0,9,1011.0,1.1,0.7,0.7,0.0,0.3,0.6,0.1,0.0,6.71
15,44,117973,Eric Dier,28.0," D(CR),DMC",188.0,88.0,15(4),15.0,4,1342.0,1.1,1.1,1.0,0.2,3.2,0.5,0.5,0.0,6.71
16,45,322611,Ryan Sessegnon,22.0," D(L),M(LR)",178.0,70.0,4(2),4.0,2,343.0,1.0,0.5,0.7,0.0,1.7,0.5,0.0,0.0,6.32
17,46,75830,Erik Lamela,30.0," AM(CLR),FW",181.0,79.0,12(13),12.0,13,1212.0,1.0,0.3,1.2,0.0,0.4,0.8,0.1,0.0,6.64
18,47,69344,Christian Eriksen,30.0," M(CLR),FW",182.0,76.0,10(10),10.0,10,1092.0,1.0,0.6,0.5,0.0,0.7,0.9,0.1,0.0,6.51
19,48,91909,Son Heung-Min,30.0," M(CLR),FW",183.0,78.0,28(2),28.0,2,2487.0,0.8,0.6,0.6,0.0,0.6,1.6,0.0,0.0,7.24
20,49,279425,Steven Bergwijn,24.0," AM(CLR),FW",178.0,78.0,8(6),8.0,6,705.0,0.7,0.1,0.5,0.0,0.4,0.6,0.0,0.0,6.61
21,50,83532,Harry Kane,29.0," AM(C),FW",188.0,86.0,29,29.0,0,2590.0,0.6,0.2,1.3,0.0,1.0,0.4,0.2,0.0,7.33
22,51,361726,Gedson Fernandes,23.0, M(CR),183.0,71.0,0(7),0.0,7,63.0,0.3,0.1,0.0,0.0,0.0,0.3,0.0,0.0,6.12
23,52,364215,Oliver Skipp,22.0, DMC,175.0,70.0,1(6),1.0,6,76.0,0.3,0.0,0.1,0.0,0.0,0.4,0.3,0.0,6.09
24,53,134887,Georges-Kévin Nkoudou,27.0, AM(LR),172.0,75.0,0(1),0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.07
25,54,25604,Hugo Lloris,35.0, GK,188.0,82.0,21,21.0,0,1808.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,6.98
26,55,104732,Paulo Gazzaniga,30.0, GK,196.0,90.0,17(1),17.0,1,1612.0,0.0,0.1,0.1,0.0,0.4,0.0,0.0,0.0,6.65
27,56,384064,Troy Parrott,20.0," AM(CLR),FW",185.0,73.0,0(2),0.0,2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01
28,57,71714,Victor Wanyama,31.0, DMC,188.0,80.0,0(2),0.0,2,24.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,6.01
