,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,28,74939,Thiago,31.0, M(C),174.0,70.0,20(4),20.0,4,1858.0,2.5,1.3,2.0,0.0,0.5,1.3,0.0,0.0,7.12
1,29,356743,Ozan Kabak,22.0, D(C),187.0,86.0,9,9.0,0,803.0,2.1,1.3,1.3,0.9,3.0,0.3,0.2,0.0,6.72
2,30,115916,Fabinho,28.0," D(CR),DMC",188.0,78.0,28(2),28.0,2,2565.0,1.9,1.5,1.0,0.5,2.2,0.9,0.3,0.0,6.82
3,31,318871,Trent Alexander-Arnold,23.0," D(R),M(R)",175.0,69.0,34(2),34.0,2,3033.0,1.6,1.4,0.6,0.4,1.2,0.6,0.1,0.0,7.02
4,32,74341,Joël Matip,31.0, D(C),195.0,90.0,9(1),9.0,1,693.0,1.4,0.7,1.1,1.2,2.2,0.1,0.0,0.0,6.96
5,33,109915,Sadio Mané,30.0," AM(CLR),FW",175.0,69.0,31(4),31.0,4,2813.0,1.4,0.4,1.5,0.0,0.3,0.6,0.0,0.0,7.33
6,34,381527,Nathaniel Phillips,25.0, D(C),190.0,0.0,15(2),15.0,2,1456.0,1.3,1.2,1.2,0.5,4.8,0.8,0.8,0.0,7.29
7,35,115726,Andrew Robertson,28.0," D(L),M(L)",178.0,64.0,38,38.0,0,3386.0,1.2,0.6,0.6,0.3,1.8,0.8,0.2,0.0,6.88
8,36,68659,Jordan Henderson,32.0," D(C),M(CLR)",182.0,67.0,20(1),20.0,1,1708.0,1.1,1.6,0.4,0.6,1.2,0.8,0.0,0.0,6.82
9,37,243510,Naby Keïta,27.0, M(C),172.0,64.0,7(3),7.0,3,524.0,1.1,0.9,1.3,0.0,0.5,1.0,0.0,0.0,6.59
10,38,4511,James Milner,36.0," D(LR),M(CLR)",175.0,70.0,11(15),11.0,15,1062.0,1.0,0.5,0.7,0.0,0.5,0.8,0.1,0.0,6.48
11,39,386969,Neco Williams,21.0," D(R),M(LR)",183.0,72.0,3(3),3.0,3,249.0,1.0,1.0,0.5,0.2,0.7,0.7,0.2,0.0,6.49
12,40,96182,Roberto Firmino,31.0," M(CLR),FW",181.0,76.0,33(3),33.0,3,2852.0,0.9,0.3,0.6,0.0,0.3,0.7,0.1,0.0,7.11
13,41,355354,Curtis Jones,21.0, AM(C),185.0,75.0,13(11),13.0,11,1178.0,0.7,0.8,0.8,0.0,0.4,0.5,0.0,0.0,6.58
14,42,401782,Rhys Williams,21.0, D(C),195.0,0.0,7(2),7.0,2,661.0,0.7,0.7,0.4,0.4,2.9,0.0,0.3,0.0,6.71
15,43,235755,Diogo Jota,25.0," AM(CLR),FW",178.0,68.0,12(7),12.0,7,1113.0,0.6,0.3,1.3,0.0,0.2,1.4,0.0,0.0,6.89
16,44,33568,Georginio Wijnaldum,31.0, M(CLR),175.0,69.0,34(4),34.0,4,2947.0,0.6,0.7,0.4,0.0,0.4,0.6,0.1,0.0,6.62
17,45,95408,Virgil van Dijk,31.0, D(C),193.0,92.0,5,5.0,0,371.0,0.6,1.0,0.8,1.2,1.6,0.0,0.2,0.0,6.45
18,46,76304,Xherdan Shaqiri,30.0, M(CLR),169.0,72.0,5(9),5.0,9,553.0,0.5,0.1,0.8,0.0,0.0,0.4,0.0,0.0,6.39
19,47,108226,Mohamed Salah,30.0," AM(CLR),FW",175.0,71.0,34(3),34.0,3,3082.0,0.5,0.0,0.6,0.0,0.3,0.2,0.0,0.0,7.07
20,48,262838,Takumi Minamino,27.0," AM(CLR),FW",174.0,68.0,2(7),2.0,7,289.0,0.4,0.2,0.4,0.0,0.3,1.3,0.0,0.0,6.4
21,49,136451,Joe Gomez,25.0, D(CLR),188.0,77.0,6(1),6.0,1,590.0,0.4,0.6,0.9,0.3,4.0,0.6,0.3,0.0,6.48
22,50,124688,Divock Origi,27.0," AM(LR),FW",185.0,75.0,2(7),2.0,7,182.0,0.3,0.1,0.0,0.0,0.2,0.2,0.1,0.0,6.19
23,51,84146,Alex Oxlade Chamberlain,29.0, M(CLR),180.0,70.0,2(11),2.0,11,246.0,0.3,0.2,0.2,0.0,0.0,0.2,0.0,0.0,6.18
24,52,114147,Alisson,30.0, GK,191.0,91.0,33,33.0,0,2970.0,0.1,0.1,0.0,0.0,1.3,0.0,0.0,0.0,6.73
25,53,73399,Adrián,35.0, GK,190.0,80.0,3,3.0,0,270.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.9
26,54,322176,Caoimhín Kelleher,23.0, GK,178.0,74.0,2,2.0,0,180.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.03
27,55,301455,Konstantinos Tsimikas,26.0, D(L),178.0,77.0,0(2),0.0,2,6.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,5.96
