,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,24,93655,Jorge Pulido,31.0, D(CR),186.0,72.0,2,2.0,0,180.0,3.5,2.5,2.0,1.5,6.5,0.0,0.5,0.0,6.6
1,25,8128,Tiago,41.0, M(C),184.0,75.0,28(3),28.0,3,2397.0,3.0,3.0,1.9,0.0,1.5,1.3,0.6,0.0,7.26
2,26,22152,Filipe Luís,37.0, D(L),181.0,77.0,23(4),23.0,4,2069.0,2.9,2.5,1.1,0.2,1.4,0.9,0.1,0.0,7.02
3,27,11386,Raúl García,36.0," M(CLR),FW",184.0,83.0,18(11),18.0,11,1578.0,2.4,2.0,1.4,0.0,0.9,0.5,0.2,0.0,6.77
4,28,32273,Luis Perea,43.0, D(CLR),180.0,76.0,28,28.0,0,2401.0,2.3,2.4,1.1,1.4,5.9,0.5,0.6,0.0,6.88
5,29,26059,Diego Godín,36.0, D(C),187.0,78.0,25,25.0,0,2243.0,2.2,3.5,1.5,1.1,6.1,0.6,0.4,0.0,7.08
6,30,9253,Antonio López,41.0, D(L),173.0,65.0,15(2),15.0,2,1338.0,2.2,2.7,1.0,0.4,3.1,0.6,0.2,0.0,6.88
7,31,6176,José Antonio Reyes,39.0, M(CLR),176.0,72.0,34,34.0,0,2935.0,2.0,1.8,1.3,0.0,0.9,1.1,0.1,0.0,7.62
8,32,18277,Paulo Assunção,42.0, M(C),173.0,70.0,17(7),17.0,7,1451.0,1.9,1.4,1.5,0.0,0.6,1.2,0.3,0.0,6.56
9,33,74494,Elias,37.0, M(CR),173.0,65.0,10(5),10.0,5,654.0,1.9,1.0,0.5,0.0,0.1,0.3,0.0,0.0,6.6
10,34,19177,Mario Suárez,35.0," D(C),M(C)",188.0,80.0,18(9),18.0,9,1652.0,1.7,1.6,1.3,0.0,1.0,0.7,0.1,0.0,6.78
11,35,32860,Fran Mérida,32.0, AM(C),177.0,74.0,6(11),6.0,11,630.0,1.6,0.8,1.2,0.0,0.2,0.4,0.1,0.0,6.5
12,36,1114,Simão,42.0, M(L),170.0,64.0,15(1),15.0,1,1320.0,1.6,1.9,1.6,0.0,0.4,0.8,0.1,0.0,7.31
13,37,14263,Juan Valera,37.0, D(R),184.0,76.0,11(4),11.0,4,1070.0,1.5,2.0,0.8,0.3,2.9,0.3,0.2,0.0,6.79
14,38,2751,Tomas Ujfalusi,44.0," D(LR),DMC",185.0,76.0,32,32.0,0,2880.0,1.5,2.5,0.7,0.7,3.1,0.3,0.1,0.0,6.72
15,39,35771,Álvaro Domínguez,33.0, D(CL),189.0,83.0,17(2),17.0,2,1623.0,1.3,1.8,1.7,1.0,6.1,0.4,0.5,0.0,6.77
16,40,24248,Diego Costa,33.0, FW,188.0,83.0,13(15),13.0,15,1327.0,1.1,0.5,1.4,0.0,0.6,0.5,0.1,0.0,6.61
17,41,14259,José Manuel Jurado,36.0, M(CLR),173.0,72.0,1,1.0,0,78.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.27
18,42,80764,Koke,30.0, M(CLR),176.0,77.0,8(9),8.0,9,844.0,0.8,1.2,0.5,0.0,0.4,0.4,0.1,0.0,6.61
19,43,14260,Sergio Agüero,34.0," AM(CL),FW",173.0,70.0,31(1),31.0,1,2678.0,0.6,0.8,1.0,0.0,0.0,0.3,0.0,0.0,7.38
20,44,101102,Alberto Noguera,33.0, Midfielder,173.0,68.0,0(2),0.0,2,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09
21,45,3510,Diego Forlán,43.0, FW,180.0,75.0,23(9),23.0,9,2194.0,0.3,0.4,0.3,0.0,0.2,0.1,0.0,0.0,6.73
22,46,10332,Juanfran,37.0, D(R),181.0,71.0,5(10),5.0,10,592.0,0.2,0.6,0.7,0.0,0.1,0.1,0.1,0.0,6.49
23,47,79554,David de Gea,31.0, GK,192.0,76.0,38,38.0,0,3420.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.93
