,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,25,44721,Sergio Busquets,34.0, DMC,189.0,76.0,30(1),30.0,1,2600.0,2.8,1.6,1.2,0.0,0.4,1.3,0.3,0.0,7.25
1,26,7415,Javier Mascherano,38.0," D(C),M(C)",174.0,73.0,6(1),6.0,1,541.0,2.1,1.1,1.3,0.6,2.7,0.1,1.1,0.0,7.18
2,27,90782,Sergi Roberto,30.0," D(R),M(CR)",178.0,68.0,24(6),24.0,6,2231.0,2.1,1.3,0.5,0.2,0.8,0.8,0.3,0.0,7.21
3,28,89931,Samuel Umtiti,28.0, D(CL),182.0,75.0,24(1),24.0,1,2189.0,2.0,1.5,0.9,0.6,2.8,0.4,0.7,0.0,7.03
4,29,318432,Yerry Mina,28.0, D(C),195.0,94.0,4(1),4.0,1,370.0,2.0,1.2,1.2,0.8,3.2,0.4,0.6,0.0,6.89
5,30,44288,Jordi Alba,33.0," D(L),M(L)",170.0,68.0,30(3),30.0,3,2745.0,1.9,2.1,1.1,0.5,1.5,0.8,0.2,0.0,7.22
6,31,89925,Lucas Digne,29.0," D(CL),M(L)",178.0,74.0,8(4),8.0,4,702.0,1.8,1.0,1.0,0.3,1.3,0.3,0.3,0.0,6.72
7,32,80767,Philippe Coutinho,30.0, M(CLR),172.0,68.0,16(2),16.0,2,1304.0,1.5,0.3,0.7,0.0,0.2,1.3,0.0,0.0,7.66
8,33,22732,Ivan Rakitic,34.0, M(C),184.0,78.0,31(4),31.0,4,2839.0,1.5,1.3,0.9,0.1,0.4,0.9,0.2,0.0,7.12
9,34,296363,Nélson Semedo,28.0," D(LR),M(R)",177.0,67.0,17(7),17.0,7,1495.0,1.4,0.9,0.5,0.4,0.9,0.5,0.1,0.0,6.73
10,35,118123,André Gomes,29.0, M(CLR),188.0,84.0,6(10),6.0,10,629.0,1.2,0.3,1.0,0.1,0.3,0.5,0.1,0.0,6.39
11,36,36399,Paulinho,34.0, M(CR),181.0,81.0,21(13),21.0,13,1941.0,1.1,0.4,0.9,0.0,0.4,0.8,0.1,0.0,6.87
12,37,12712,Gerard Piqué,35.0, D(C),194.0,85.0,29(1),29.0,1,2633.0,1.0,1.0,0.8,0.7,4.1,0.7,0.9,0.0,7.16
13,38,279698,José Arnáiz,27.0, FW,175.0,70.0,0(1),0.0,1,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.21
14,39,9486,Andrés Iniesta,38.0, M(CL),171.0,68.0,25(5),25.0,5,1843.0,0.9,0.3,0.5,0.0,0.3,0.8,0.1,0.0,6.91
15,40,10209,Thomas Vermaelen,36.0, D(CL),183.0,80.0,12(2),12.0,2,1018.0,0.9,1.3,0.6,0.9,2.0,0.4,0.2,0.0,6.73
16,41,98317,Gerard Deulofeu,28.0," AM(CLR),FW",177.0,73.0,5(5),5.0,5,503.0,0.8,0.8,1.1,0.0,0.0,0.1,0.0,0.0,6.8
17,42,106525,Denis Suárez,28.0, M(CLR),176.0,69.0,4(14),4.0,14,585.0,0.6,0.1,0.3,0.0,0.1,0.3,0.0,0.0,6.66
18,43,299513,Ousmane Dembélé,25.0," AM(CLR),FW",178.0,67.0,12(5),12.0,5,931.0,0.6,0.3,0.6,0.0,0.1,0.7,0.0,0.0,7.15
19,44,22221,Luis Suárez,35.0," AM(CLR),FW",182.0,86.0,32(1),32.0,1,2902.0,0.5,0.2,1.4,0.1,0.9,0.5,0.1,0.0,7.72
20,45,11119,Lionel Messi,35.0," AM(CR),FW",170.0,72.0,32(4),32.0,4,2997.0,0.5,0.2,0.5,0.0,0.0,0.4,0.0,0.0,8.68
21,46,82630,Aleix Vidal,33.0," D(R),M(LR)",177.0,70.0,4(11),4.0,11,455.0,0.4,0.6,0.1,0.0,0.1,0.6,0.0,0.0,6.36
22,47,95953,Paco Alcácer,29.0," AM(R),FW",175.0,72.0,8(9),8.0,9,695.0,0.2,0.6,0.1,0.0,0.2,0.4,0.0,0.0,6.62
23,48,80774,Marc-André ter Stegen,30.0, GK,187.0,85.0,37,37.0,0,3330.0,0.0,0.1,0.0,0.0,0.7,0.1,0.0,0.0,6.9
24,49,90811,Jasper Cillessen,33.0, GK,185.0,83.0,1,1.0,0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.41
