,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,25,91978,Geoffrey Kondogbia,29.0," D(C),DMC",188.0,80.0,30(1),30.0,1,2618.0,2.8,2.0,1.8,0.0,2.1,1.5,0.5,0.0,7.4
1,26,91387,Martín Montoya,31.0," D(LR),M(R)",175.0,73.0,24(1),24.0,1,2152.0,2.6,2.1,1.5,0.4,2.6,1.0,0.4,0.0,7.09
2,27,28186,Daniel Parejo,33.0, M(C),182.0,74.0,34,34.0,0,3005.0,2.6,1.0,1.4,0.0,0.7,1.6,0.3,0.0,7.41
3,28,335790,Nacho Vidal,27.0, D(R),180.0,75.0,5(2),5.0,2,447.0,2.4,1.4,0.7,0.3,1.4,1.1,0.3,0.0,6.88
4,29,119817,José Gayà,27.0," D(L),M(L)",172.0,66.0,33(1),33.0,1,2918.0,2.3,1.6,1.0,0.3,2.3,0.7,0.4,0.0,7.1
5,30,130356,Rúben Vezo,28.0, D(CR),182.0,80.0,17(2),17.0,2,1554.0,2.3,1.2,1.2,0.6,3.9,0.8,0.5,0.0,6.79
6,31,69738,Francis Coquelin,31.0, M(CLR),176.0,74.0,7(2),7.0,2,656.0,2.0,2.2,1.4,0.0,2.6,0.8,0.2,0.0,7.16
7,32,312580,Toni Lato,24.0, D(L),171.0,64.0,9(7),9.0,7,799.0,1.9,0.6,0.6,0.2,1.0,0.7,0.2,0.0,6.51
8,33,109565,Jeison Murillo,30.0, D(C),182.0,78.0,15(2),15.0,2,1374.0,1.8,1.7,0.9,0.8,4.9,0.4,0.5,0.0,7.09
9,34,76810,Gabriel Paulista,31.0, D(CR),185.0,72.0,29(1),29.0,1,2584.0,1.6,1.7,0.8,0.7,4.5,0.5,0.5,0.0,6.89
10,35,313542,Carlos Soler,25.0, M(CLR),180.0,76.0,27(6),27.0,6,2376.0,1.5,0.2,1.6,0.0,0.5,0.9,0.0,0.0,6.68
11,36,296367,Nemanja Maksimovic,27.0, M(C),189.0,78.0,6(9),6.0,9,551.0,1.4,1.1,0.3,0.0,0.5,0.5,0.4,0.0,6.53
12,37,247995,Gonçalo Guedes,25.0," AM(CLR),FW",179.0,68.0,27(6),27.0,6,2444.0,1.2,0.5,1.1,0.0,0.2,1.1,0.0,0.0,7.16
13,38,243254,Andreas Pereira,26.0, M(CLR),178.0,71.0,12(11),12.0,11,1078.0,1.1,0.5,0.9,0.0,0.2,0.9,0.0,0.0,6.54
14,39,142802,Álvaro Medrán Just,28.0, M(C),173.0,71.0,1,1.0,0,73.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,6.83
15,40,300779,Nacho Gil,27.0, AM(L),168.0,63.0,2(4),2.0,4,228.0,1.0,0.3,1.0,0.0,0.2,1.2,0.0,0.0,6.45
16,41,128967,João Cancelo,28.0," D(LR),M(R)",182.0,74.0,1,1.0,0,90.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,7.65
17,42,14079,Ezequiel Garay,35.0, D(C),189.0,90.0,23(1),23.0,1,2031.0,0.8,1.0,0.9,0.5,5.6,0.2,0.5,0.0,6.7
18,43,71647,Simone Zaza,31.0, FW,186.0,84.0,23(10),23.0,10,2079.0,0.6,0.2,1.2,0.0,1.0,0.6,0.0,0.0,6.83
19,44,83459,Rodrigo,31.0," M(CLR),FW",182.0,77.0,31(6),31.0,6,2696.0,0.6,0.5,0.8,0.0,0.3,0.5,0.1,0.0,7.05
20,45,349760,Ferran Torres,22.0," AM(LR),FW",184.0,77.0,2(11),2.0,11,302.0,0.6,0.2,0.3,0.0,0.1,0.3,0.0,0.0,6.26
21,46,125543,Luciano Vietto,28.0," AM(CLR),FW",174.0,69.0,5(9),5.0,9,524.0,0.6,0.1,0.4,0.0,0.3,0.2,0.0,0.0,6.39
22,47,125838,Santi Mina,26.0," AM(LR),FW",181.0,77.0,17(15),17.0,15,1550.0,0.5,0.1,0.8,0.0,0.6,0.6,0.0,0.0,6.74
23,48,76202,Neto,33.0, GK,190.0,84.0,33,33.0,0,2970.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,6.81
24,49,136810,Jaume Doménech,31.0, GK,185.0,73.0,5,5.0,0,450.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,6.87
