,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,29,335107,Juan Foyth,24.0," D(CR),DMC",179.0,69.0,22(3),22.0,3,1932.0,2.8,0.8,1.6,0.4,1.7,0.5,0.3,0.0,6.94
1,30,33590,Etienne Capoue,34.0," D(C),M(CL)",189.0,80.0,26(4),26.0,4,2298.0,1.5,1.2,1.5,0.0,1.7,0.4,0.2,0.0,6.96
2,31,303908,Giovani Lo Celso,26.0," M(CR),FW",177.0,68.0,11(5),11.0,5,998.0,1.4,0.3,1.0,0.0,0.2,0.8,0.0,0.0,6.89
3,32,28186,Daniel Parejo,33.0, M(C),182.0,74.0,32(1),32.0,1,2712.0,1.3,0.9,0.5,0.0,0.5,1.0,0.2,0.0,7.17
4,33,69738,Francis Coquelin,31.0, M(CLR),176.0,74.0,8(12),8.0,12,828.0,1.3,1.0,1.2,0.1,0.5,0.5,0.3,0.0,6.65
5,34,102234,Manu Trigueros,30.0," M(CLR),FW",178.0,75.0,27(8),27.0,8,2191.0,1.3,0.4,1.4,0.1,0.4,1.2,0.1,0.0,6.72
6,35,298694,Pervis Estupiñán,24.0, D(L),175.0,73.0,17(11),17.0,11,1574.0,1.3,0.9,0.9,0.3,0.8,0.3,0.2,0.0,6.52
7,36,276489,Alfonso Pedraza,26.0," D(L),M(L)",184.0,73.0,19(9),19.0,9,1706.0,1.2,1.1,1.3,0.1,1.0,0.6,0.1,0.0,6.86
8,37,403865,Yeremi Pino,19.0, AM(R),172.0,0.0,21(10),21.0,10,1688.0,1.0,0.2,0.9,0.0,0.2,0.5,0.1,0.0,6.63
9,38,344259,Pau Torres,25.0, D(C),191.0,80.0,33,33.0,0,2858.0,1.0,0.6,0.4,1.1,3.1,0.2,0.7,0.0,6.86
10,39,34052,Vicente Iborra,34.0, M(C),190.0,80.0,12(8),12.0,8,1032.0,1.0,0.6,1.0,0.2,1.4,0.6,0.3,0.0,6.47
11,40,12575,Raúl Albiol,37.0, D(C),187.0,74.0,28,28.0,0,2467.0,0.9,0.8,0.6,1.0,4.4,0.1,0.5,0.0,6.67
12,41,79909,Mario Gaspar,31.0," D(CR),M(R)",182.0,74.0,7(5),7.0,5,622.0,0.8,0.5,0.7,0.3,1.1,0.3,0.3,0.0,6.4
13,42,83683,Sèrge Aurier,29.0," D(CLR),M(R)",176.0,76.0,10(9),10.0,9,1003.0,0.7,0.6,0.8,0.4,1.2,0.2,0.4,0.0,6.53
14,43,90115,Aïssa Mandi,30.0, D(CLR),184.0,78.0,14(3),14.0,3,1374.0,0.6,0.8,0.8,0.8,2.9,0.2,0.8,1.0,6.63
15,44,113275,Alberto Moreno,30.0," D(L),M(L)",171.0,65.0,13(11),13.0,11,1223.0,0.5,1.1,0.8,0.1,0.5,0.5,0.0,0.0,6.64
16,45,101238,Moi Gómez,28.0, M(CLR),176.0,71.0,13(16),13.0,16,1280.0,0.5,0.2,0.8,0.0,0.2,0.4,0.0,0.0,6.41
17,46,95953,Paco Alcácer,29.0," AM(R),FW",175.0,72.0,10(8),10.0,8,792.0,0.5,0.3,0.3,0.0,0.1,0.2,0.0,0.0,6.45
18,47,363665,Samuel Chukwueze,23.0, AM(CR),172.0,70.0,12(15),12.0,15,1330.0,0.5,0.2,0.4,0.1,0.1,0.1,0.0,0.0,6.78
19,48,365122,Boulaye Dia,25.0," AM(R),FW",180.0,75.0,13(12),13.0,12,1267.0,0.3,0.2,0.9,0.0,0.1,0.1,0.0,0.0,6.62
20,49,323625,Arnaut Danjuma,25.0," AM(L),FW",178.0,74.0,17(6),17.0,6,1478.0,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,6.91
21,50,97659,Gerard Moreno,30.0," AM(CR),FW",180.0,77.0,14(3),14.0,3,1194.0,0.3,0.4,0.6,0.0,0.8,0.4,0.1,0.0,7.44
22,51,118479,Rubén Peña,31.0," D(R),M(LR)",170.0,65.0,1(6),1.0,6,127.0,0.3,0.7,1.1,0.0,0.1,0.6,0.0,0.0,6.28
23,52,426050,Nicolas Jackson,21.0, FW,186.0,0.0,0(9),0.0,9,158.0,0.2,0.1,0.2,0.0,0.1,0.0,0.0,0.0,6.26
24,53,334221,Dani Raba,26.0, AM(CR),184.0,76.0,0(7),0.0,7,83.0,0.1,0.0,0.6,0.0,0.3,0.1,0.0,0.0,6.1
25,54,404242,Carlo García,21.0, Midfielder,181.0,0.0,0(1),0.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.05
26,55,125375,Gerónimo Rulli,30.0, GK,189.0,84.0,32,32.0,0,2880.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,6.71
27,56,396540,Nikita Iosifov,21.0, Midfielder,175.0,0.0,0(1),0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
28,57,32258,Sergio Asenjo,33.0, GK,189.0,87.0,6,6.0,0,540.0,0.0,0.2,0.0,0.0,1.2,0.2,0.0,0.0,6.74
