,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,24,25931,César Azpilicueta,33.0," D(CLR),M(R)",178.0,76.0,12(3),12.0,3,1015.0,3.9,1.6,1.5,0.2,3.7,0.7,0.3,0.0,7.11
1,25,30060,André Ayew,32.0," M(CLR),FW",176.0,72.0,32(5),32.0,5,2797.0,2.5,1.6,1.8,0.1,0.2,0.5,0.0,0.0,7.34
2,26,2132,Benoit Cheyrou,41.0, M(C),182.0,78.0,27(7),27.0,7,2471.0,2.2,2.3,1.5,0.0,0.6,0.6,0.1,0.0,7.26
3,27,13641,Lucho González,41.0, M(C),185.0,81.0,33(3),33.0,3,2913.0,2.2,1.8,0.8,0.0,0.8,1.7,0.2,0.0,7.19
4,28,27079,Charles Kaboré,34.0, M(C),182.0,78.0,22(12),22.0,12,2052.0,1.9,2.1,1.4,0.1,1.1,0.5,0.1,0.0,6.74
5,29,13852,Taye Ismaila Taiwo,37.0, D(CL),182.0,87.0,29(1),29.0,1,2619.0,1.8,1.4,1.1,0.4,2.4,0.4,0.3,0.0,7.03
6,30,18539,Stéphane Mbia,36.0," D(C),M(C)",189.0,82.0,24(2),24.0,2,2059.0,1.7,2.0,1.2,0.5,3.3,0.5,0.2,0.0,6.82
7,31,3972,Rod Fanni,40.0, D(CR),186.0,78.0,19,19.0,0,1639.0,1.7,2.6,1.2,0.2,2.4,0.3,0.1,0.0,6.94
8,32,1747,Édouard Cissé,44.0," D(C),M(CR)",186.0,76.0,21(2),21.0,2,1749.0,1.7,2.6,2.0,0.0,1.0,0.7,0.5,0.0,6.77
9,33,6743,Hilton,45.0, D(C),180.0,78.0,6(2),6.0,2,583.0,1.5,1.4,1.0,0.9,5.1,0.9,0.1,0.0,6.8
10,34,4172,Souleymane Diawara,43.0, D(C),187.0,88.0,27,27.0,0,2387.0,1.4,1.6,1.0,0.8,6.0,0.3,0.9,0.0,6.79
11,35,2466,Gabriel Heinze,44.0," D(CL),DMC",178.0,72.0,31,31.0,0,2773.0,1.3,2.1,0.9,0.7,4.7,0.3,0.5,0.0,6.93
12,36,24929,Mathieu Valbuena,38.0, M(CLR),167.0,58.0,26(6),26.0,6,2078.0,1.2,1.0,1.0,0.0,0.1,0.5,0.0,0.0,6.93
13,37,21719,Mamadou Samassa,36.0," AM(CLR),FW",188.0,82.0,0(1),0.0,1,34.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.52
14,38,32957,Leyti N'Diaye,37.0, D(L),188.0,84.0,3(1),3.0,1,287.0,0.8,1.5,2.8,0.8,1.8,0.5,0.5,0.0,6.45
15,39,67491,Jordan Ayew,31.0," AM(CLR),FW",182.0,80.0,5(17),5.0,17,728.0,0.7,0.5,1.0,0.0,0.0,0.2,0.0,0.0,6.47
16,40,7796,Brandão,42.0, FW,189.0,86.0,13(6),13.0,6,1054.0,0.6,0.3,1.6,0.1,0.7,0.1,0.1,0.0,6.64
17,41,23133,Fabrice Abriel,43.0, M(C),176.0,69.0,4(18),4.0,18,579.0,0.6,0.9,0.4,0.0,0.2,0.4,0.0,0.0,6.33
18,42,23054,Loïc Rémy,35.0," M(LR),FW",185.0,80.0,24(7),24.0,7,2164.0,0.5,0.4,1.4,0.0,0.1,0.3,0.0,0.0,7.04
19,43,3932,Mamadou Niang,42.0," AM(CLR),FW",178.0,80.0,2,2.0,0,149.0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,6.45
20,44,14239,André-Pierre Gignac,36.0, FW,186.0,84.0,20(10),20.0,10,1958.0,0.3,0.4,1.9,0.0,0.5,0.3,0.1,0.0,6.87
21,45,40637,Guy Gnabouyou,32.0, Forward,183.0,82.0,0(1),0.0,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09
22,46,10194,Hatem Ben Arfa,35.0," M(CR),FW",178.0,65.0,0(1),0.0,1,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.37
23,47,29545,Steve Mandanda,37.0, GK,185.0,82.0,38,38.0,0,3420.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,6.72
