,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,30,260809,Olivier Boscagli,24.0," D(CL),DMC",181.0,68.0,2,2.0,0,174.0,4.5,5.0,0.5,0.5,2.5,1.0,0.5,0.0,7.35
1,31,134902,Jordan Amavi,28.0," D(L),M(L)",176.0,70.0,36,36.0,0,3233.0,3.9,4.6,1.8,0.2,3.9,1.5,0.2,1.0,7.74
2,32,34218,Romain Genevois,34.0, D(CR),182.0,79.0,34,34.0,0,2941.0,3.2,3.4,1.0,0.7,5.4,0.6,0.6,0.0,7.29
3,33,98100,Lloyd Palun,33.0, D(R),184.0,73.0,19(2),19.0,2,1636.0,2.7,4.4,1.6,0.3,2.6,0.8,0.0,0.0,7.05
4,34,120523,Albert Rafetraniaina,26.0, DMC,176.0,66.0,12(9),12.0,9,979.0,2.1,1.1,1.0,0.0,0.6,1.0,0.1,0.0,6.49
5,35,4172,Souleymane Diawara,43.0, D(C),187.0,88.0,12(2),12.0,2,1070.0,2.1,2.9,0.8,0.8,7.1,0.6,0.7,0.0,7.09
6,36,6476,Mathieu Bodmer,39.0," D(C),M(C)",190.0,90.0,21(1),21.0,1,1852.0,2.0,3.6,0.8,0.7,4.8,0.7,0.5,0.0,7.3
7,37,137021,Saïd Benrahma,27.0, AM(CLR),172.0,67.0,3,3.0,0,200.0,2.0,1.3,0.3,0.0,0.3,1.0,0.0,0.0,7.46
8,38,238921,Vincent Koziello,26.0, M(C),168.0,58.0,3(4),3.0,4,283.0,2.0,0.9,0.7,0.0,0.3,1.0,0.0,0.0,6.28
9,39,74328,Niklas Hult,32.0," D(L),M(CL)",173.0,63.0,20(10),20.0,10,1914.0,1.9,1.4,1.2,0.0,0.7,0.8,0.1,0.0,6.56
10,40,95424,Grégoire Puel,30.0," D(R),M(R)",180.0,71.0,26(1),26.0,1,2153.0,1.8,1.7,0.9,0.1,1.3,1.2,0.2,0.0,6.55
11,41,90278,Nampalys Mendy,30.0, M(C),167.0,73.0,36,36.0,0,3240.0,1.7,2.0,0.9,0.0,0.7,0.7,0.3,0.0,6.7
12,42,11896,Didier Digard,36.0, M(C),183.0,76.0,9(5),9.0,5,851.0,1.7,1.8,0.9,0.1,1.6,0.7,0.0,0.0,6.59
13,43,90106,Éric Bauthéac,35.0, AM(LR),168.0,65.0,29(6),29.0,6,2585.0,1.7,1.2,1.3,0.0,0.3,0.5,0.0,0.0,6.89
14,44,93721,Valentin Eysseric,30.0," AM(CLR),FW",181.0,73.0,24(12),24.0,12,2304.0,1.3,0.8,1.2,0.0,0.6,0.6,0.1,0.0,6.7
15,45,121496,Carlos Eduardo,32.0, M(C),177.0,68.0,29(1),29.0,1,2332.0,1.0,0.7,1.8,0.0,0.7,0.7,0.1,0.0,6.91
16,46,42248,Jérémy Pied,33.0," D(LR),M(CLR)",174.0,69.0,2,2.0,0,157.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,7.0
17,47,67929,Kevin Gomis,33.0, D(C),187.0,85.0,11(5),11.0,5,1194.0,1.0,3.7,0.9,0.6,3.8,0.8,0.4,1.0,6.7
18,48,108585,Alassane Plea,29.0," AM(CLR),FW",181.0,79.0,27(6),27.0,6,2457.0,0.9,0.3,1.8,0.0,0.3,0.5,0.0,0.0,6.76
19,49,137837,Franck Honorat,26.0," M(LR),FW",180.0,70.0,1(4),1.0,4,110.0,0.6,0.2,0.8,0.0,0.0,0.8,0.0,0.0,6.04
20,50,121997,Julien Vercauteren,29.0, Forward,171.0,66.0,3(6),3.0,6,247.0,0.6,0.4,0.2,0.0,0.1,0.7,0.0,0.0,6.21
21,51,119822,Neal Maupay,26.0," AM(C),FW",173.0,69.0,3(10),3.0,10,353.0,0.5,0.1,0.9,0.0,0.0,0.2,0.0,0.0,6.02
22,52,123254,Bryan Constant,28.0, Midfielder,183.0,76.0,0(2),0.0,2,19.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.03
23,53,259809,Sada Thioub,27.0, M(LR),179.0,75.0,0(2),0.0,2,34.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,5.99
24,54,109812,Alexy Bosetti,29.0," AM(R),FW",170.0,66.0,13(14),13.0,14,1225.0,0.4,0.3,0.4,0.0,0.1,0.2,0.0,0.0,6.29
25,55,14838,Darío Cvitanich,38.0," AM(C),FW",174.0,72.0,5(4),5.0,4,483.0,0.1,0.0,0.9,0.0,0.1,0.0,0.0,0.0,6.35
26,56,34918,Joris Delle,32.0, GK,190.0,85.0,0(1),0.0,1,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22
27,57,116615,Mouez Hassen,27.0, GK,186.0,70.0,30,30.0,0,2700.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,6.46
28,58,146712,Paulin Puel,25.0, Midfielder,179.0,73.0,0(1),0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
29,59,23619,Simon Pouplin,37.0, GK,187.0,78.0,8,8.0,0,691.0,0.0,0.1,0.1,0.0,0.5,0.0,0.0,0.0,6.82
