,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,28,83683,Sèrge Aurier,29.0," D(CLR),M(R)",176.0,76.0,21,21.0,0,1887.0,4.0,3.4,1.7,0.2,3.2,1.3,0.1,0.0,7.75
1,29,92795,Layvin Kurzawa,30.0," D(L),M(L)",182.0,74.0,14(2),14.0,2,1287.0,2.9,3.3,0.9,0.3,2.1,0.6,0.2,0.0,7.9
2,30,116609,Adrien Rabiot,27.0," DMC,M(L)",188.0,71.0,19(5),19.0,5,1616.0,2.5,1.9,1.5,0.0,0.6,1.6,0.1,0.0,7.26
3,31,17778,Blaise Matuidi,35.0, M(CL),180.0,75.0,23(8),23.0,8,2064.0,2.4,1.5,1.4,0.0,0.4,1.1,0.1,0.0,7.18
4,32,44178,Gregory van der Wiel,34.0," D(CR),M(R)",183.0,69.0,16(1),16.0,1,1381.0,2.4,3.0,0.8,0.1,1.9,1.1,0.2,0.0,7.45
5,33,247800,Presnel Kimpembe,27.0, D(C),183.0,77.0,5(1),5.0,1,426.0,2.2,2.3,0.8,0.5,3.8,0.3,0.7,0.0,7.28
6,34,4649,Thiago Motta,40.0, M(C),187.0,83.0,26(6),26.0,6,2348.0,2.2,1.2,0.9,0.1,0.8,1.6,0.1,0.0,7.02
7,35,83303,Benjamin Stambouli,32.0," D(CR),M(C)",180.0,82.0,18(9),18.0,9,1500.0,2.1,1.5,0.6,0.0,0.7,1.0,0.2,0.0,6.9
8,36,28550,Thiago Silva,38.0, D(C),183.0,79.0,29(1),29.0,1,2622.0,1.7,3.1,0.6,0.6,4.8,0.5,0.7,0.0,7.65
9,37,91961,Marco Verratti,29.0, M(C),165.0,60.0,11(7),11.0,7,1064.0,1.7,1.4,0.7,0.0,0.2,1.9,0.1,1.0,7.08
10,38,300945,Christopher Nkunku,24.0," M(CLR),FW",175.0,73.0,4(1),4.0,1,329.0,1.6,1.6,1.0,0.0,0.6,1.8,0.0,0.0,6.8
11,39,101949,Marquinhos,28.0," D(CR),DMC",183.0,75.0,20(9),20.0,9,1920.0,1.4,1.3,0.7,0.5,3.1,0.6,0.6,0.0,6.92
12,40,4871,Maxwell,41.0, D(L),176.0,73.0,24(4),24.0,4,2223.0,1.3,1.5,0.4,0.1,1.4,0.6,0.1,0.0,7.14
13,41,92508,Lucas Moura,30.0," AM(CLR),FW",172.0,72.0,26(10),26.0,10,2328.0,1.3,0.8,0.8,0.0,0.1,0.9,0.0,0.0,7.4
14,42,27586,David Luiz,35.0," D(C),DMC",189.0,84.0,23(2),23.0,2,2088.0,1.2,2.4,0.8,0.4,3.0,0.6,0.3,0.0,7.16
15,43,41220,Javier Pastore,33.0, AM(CLR),187.0,78.0,11(5),11.0,5,877.0,0.9,0.4,0.6,0.0,0.1,1.6,0.0,0.0,7.17
16,44,128048,Hervin Ongenda,27.0, AM(L),170.0,65.0,4(1),4.0,1,350.0,0.8,1.4,0.6,0.0,0.0,1.0,0.0,0.0,7.31
17,45,24328,Edinson Cavani,35.0," AM(LR),FW",184.0,71.0,24(8),24.0,8,2305.0,0.6,0.4,0.9,0.0,0.3,0.9,0.2,0.0,7.27
18,46,16844,Ezequiel Lavezzi,37.0," AM(CLR),FW",173.0,75.0,3(13),3.0,13,427.0,0.6,0.0,0.3,0.0,0.1,0.1,0.0,0.0,6.4
19,47,3281,Zlatan Ibrahimovic,41.0, FW,195.0,95.0,29(2),29.0,2,2553.0,0.5,0.2,0.9,0.0,0.9,0.4,0.1,0.0,8.29
20,48,23110,Ángel Di María,34.0," M(CLR),FW",180.0,75.0,26(3),26.0,3,2134.0,0.4,0.7,0.2,0.0,0.0,1.2,0.0,0.0,7.94
21,49,245643,Jean-Kévin Augustin,25.0," AM(R),FW",177.0,69.0,4(9),4.0,9,416.0,0.3,0.2,0.5,0.0,0.4,0.3,0.1,0.0,6.39
22,50,66424,Kevin Trapp,32.0, GK,189.0,88.0,35,35.0,0,3106.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.78
23,51,302931,Kevin Rimane,31.0, Defender,181.0,0.0,0(1),0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06
24,52,19664,Nicolas Douchez,42.0, GK,186.0,81.0,1,1.0,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.32
25,53,22627,Salvatore Sirigu,35.0, GK,192.0,80.0,2(1),2.0,1,225.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,7.42
26,54,315560,Timothee Taufflieb,29.0, Midfielder,172.0,75.0,0(1),0.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98
27,55,315558,Yakou Meite,26.0," AM(LR),FW",184.0,82.0,0(1),0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
