,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,30,9576,Mohamed Sissoko,37.0, M(C),191.0,87.0,14(3),14.0,3,1207.0,3.6,2.3,2.3,0.1,1.6,1.1,0.1,0.0,7.01
1,31,13551,Felipe Melo,39.0," D(C),M(C)",185.0,84.0,28(1),28.0,1,2408.0,2.8,2.7,2.9,0.0,2.1,1.0,0.3,0.0,7.06
2,32,2833,Fabio Grosso,44.0, D(CL),190.0,82.0,22(4),22.0,4,1994.0,2.7,1.7,1.6,0.3,2.7,0.7,0.2,0.0,6.87
3,33,9991,Giorgio Chiellini,38.0, D(C),187.0,85.0,32,32.0,0,2880.0,2.5,3.0,1.1,1.3,9.3,0.7,0.7,0.0,7.58
4,34,30635,Martín Cáceres,35.0," D(CLR),M(R)",180.0,78.0,11(4),11.0,4,1068.0,2.5,1.1,0.9,0.6,3.1,0.9,0.1,0.0,6.79
5,35,1032,Fabio Cannavaro,49.0," D(L),DMC",176.0,75.0,27,27.0,0,2391.0,2.4,3.1,1.3,1.3,5.4,0.8,0.5,0.0,6.93
6,36,1653,Christian Poulsen,42.0, M(C),182.0,79.0,19(6),19.0,6,1718.0,1.8,1.4,1.8,0.1,1.4,0.8,0.2,0.0,6.66
7,37,20211,Claudio Marchisio,36.0, M(C),180.0,74.0,27(1),27.0,1,2246.0,1.8,2.1,2.0,0.0,1.1,0.9,0.3,0.0,6.86
8,38,800,Jonathan Zebina,44.0, D(C),184.0,80.0,13(3),13.0,3,1208.0,1.8,1.9,1.5,0.3,3.8,0.8,0.2,0.0,6.69
9,39,729,Hasan Salihamidzic,45.0, DMC,177.0,71.0,6(8),6.0,8,590.0,1.6,0.6,1.4,0.1,0.5,0.3,0.0,0.0,6.55
10,40,2959,Nicola Legrottaglie,45.0, D(C),185.0,73.0,18(1),18.0,1,1600.0,1.5,2.6,1.7,1.7,6.4,0.5,0.6,0.0,6.93
11,41,4596,Zdenek Grygera,42.0, D(R),185.0,79.0,15(4),15.0,4,1288.0,1.3,1.7,1.1,0.5,3.4,0.6,0.2,0.0,6.53
12,42,8128,Tiago,41.0, M(C),184.0,75.0,4(3),4.0,3,392.0,1.3,1.4,1.0,0.1,0.4,0.6,0.0,0.0,6.55
13,43,12722,Paolo De Ceglie,36.0," D(L),M(CL)",184.0,75.0,14(11),14.0,11,1396.0,1.2,1.0,0.4,0.2,1.4,0.3,0.0,0.0,6.52
14,44,15407,Cristian Molinaro,39.0," D(L),M(L)",182.0,82.0,4(1),4.0,1,294.0,1.2,2.6,0.8,0.8,2.2,0.0,0.2,0.0,6.59
15,45,4042,Mauro Camoranesi,46.0," D(C),DMC",172.0,73.0,14(10),14.0,10,1266.0,1.1,0.8,1.8,0.0,0.5,0.8,0.0,0.0,6.92
16,46,79316,Luca Marrone,32.0," D(C),DMC",186.0,75.0,0(2),0.0,2,33.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,6.31
17,47,34112,Antonio Candreva,35.0, M(CLR),180.0,70.0,8(8),8.0,8,884.0,0.7,0.8,1.1,0.1,0.6,0.4,0.0,0.0,6.8
18,48,7417,Diego,37.0, M(CLR),174.0,78.0,31(2),31.0,2,2560.0,0.6,0.7,1.4,0.0,0.2,0.6,0.1,0.0,7.25
19,49,484,Alessandro Del Piero,47.0," AM(CL),FW",173.0,73.0,18(5),18.0,5,1540.0,0.6,0.2,1.4,0.0,0.1,0.2,0.0,0.0,7.06
20,50,2855,Vincenzo Iaquinta,42.0," AM(C),FW",191.0,84.0,12(3),12.0,3,1093.0,0.5,0.3,1.3,0.0,0.7,0.1,0.1,0.0,6.95
21,51,30582,Sebastian Giovinco,35.0," AM(C),FW",165.0,59.0,5(10),5.0,10,588.0,0.4,0.5,0.7,0.0,0.0,0.2,0.0,0.0,6.71
22,52,878,David Trezeguet,44.0," AM(CL),FW",190.0,85.0,13(6),13.0,6,1164.0,0.4,0.2,0.7,0.0,0.5,0.1,0.1,0.0,6.86
23,53,5795,Amauri,42.0, FW,186.0,83.0,24(6),24.0,6,2234.0,0.3,0.1,2.1,0.0,1.0,0.2,0.1,0.0,6.76
24,54,2856,Alexander Manninger,45.0, GK,189.0,85.0,9(2),9.0,2,861.0,0.0,0.1,0.0,0.0,0.5,0.1,0.0,0.0,6.14
25,55,2621,Antonio Chimenti,52.0, Goalkeeper,184.0,77.0,2,2.0,0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
26,56,70141,Ciro Immobile,32.0, FW,185.0,78.0,0(2),0.0,2,8.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,6.15
27,57,3328,Gianluigi Buffon,44.0, GK,192.0,84.0,27,27.0,0,2379.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.55
28,58,83231,Manuel Giandonato,30.0, Midfielder,188.0,77.0,0(1),0.0,1,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.08
29,59,14123,Michele Paolucci,36.0, Midfielder,182.0,80.0,1(3),1.0,3,102.0,0.0,0.0,1.3,0.0,0.0,0.0,0.3,0.0,6.0
