,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,30,460,Lúcio,44.0, D(C),188.0,84.0,34,34.0,0,3061.0,3.3,4.1,0.7,1.0,9.9,1.0,0.4,0.0,7.69
1,31,9838,Esteban Cambiasso,42.0," D(C),M(C)",177.0,78.0,35(2),35.0,2,3115.0,3.2,2.2,1.2,0.0,2.4,1.1,0.1,0.0,7.1
2,32,37188,Yuto Nagatomo,36.0," D(LR),M(LR)",170.0,68.0,30(5),30.0,5,2839.0,2.9,2.4,1.1,0.3,4.4,0.7,0.1,0.0,7.14
3,33,2668,Javier Zanetti,49.0," D(R),DMC,M(R)",178.0,75.0,34,34.0,0,3012.0,2.8,1.4,0.5,0.1,1.7,0.8,0.2,0.0,7.07
4,34,4649,Thiago Motta,40.0, M(C),187.0,83.0,10,10.0,0,900.0,2.6,1.6,1.9,0.0,1.5,0.9,0.2,0.0,7.54
5,35,27421,Andrea Ranocchia,34.0, D(C),195.0,81.0,11(1),11.0,1,994.0,2.3,2.9,1.0,1.8,6.6,1.3,1.0,0.0,7.03
6,36,22701,Fredy Guarín,36.0, M(CR),183.0,77.0,5(1),5.0,1,420.0,2.2,2.7,1.7,0.0,0.7,2.2,0.0,0.0,7.22
7,37,8007,Maicon,41.0, D(R),184.0,77.0,24,24.0,0,2137.0,2.0,2.5,0.6,0.3,2.8,0.8,0.1,0.0,7.36
8,38,41489,Ricardo Álvarez,34.0, M(CR),188.0,84.0,15(6),15.0,6,1183.0,2.0,1.3,1.0,0.0,0.1,0.9,0.0,0.0,7.04
9,39,6166,Sulley Muntari,38.0, M(C),179.0,76.0,1(3),1.0,3,154.0,2.0,0.3,1.0,0.0,0.0,1.3,0.0,0.0,6.43
10,40,67432,Joel Obi,31.0, M(CR),176.0,71.0,11(16),11.0,16,1199.0,1.8,1.0,1.1,0.0,0.6,0.4,0.1,0.0,6.49
11,41,4029,Cristian Chivu,41.0, D(C),184.0,83.0,13(1),13.0,1,1065.0,1.8,2.0,1.2,0.7,5.5,0.8,0.3,0.0,6.9
12,42,575,Walter Samuel,44.0, D(C),183.0,83.0,27,27.0,0,2306.0,1.7,2.6,1.4,1.0,8.1,0.5,0.6,0.0,7.13
13,43,1692,Dejan Stankovic,44.0," D(C),M(CR),FW",181.0,75.0,14(5),14.0,5,1231.0,1.7,1.3,1.3,0.0,2.3,0.8,0.1,0.0,6.78
14,44,28485,Jonathan,36.0," D(R),M(R)",170.0,72.0,2(2),2.0,2,239.0,1.5,0.3,0.8,0.8,1.8,0.8,0.0,0.0,6.47
15,45,31355,Andrea Poli,33.0, M(CL),182.0,77.0,9(9),9.0,9,911.0,1.4,2.0,1.2,0.0,0.7,0.9,0.1,0.0,6.62
16,46,33875,Marco Faraoni,30.0," D(R),M(R)",180.0,71.0,7(7),7.0,7,603.0,1.4,1.0,1.1,0.0,1.1,0.5,0.1,0.0,6.45
17,47,80767,Philippe Coutinho,30.0, M(CLR),172.0,68.0,4(1),4.0,1,254.0,1.2,0.4,0.8,0.0,0.2,0.4,0.0,0.0,6.96
18,48,6145,Angelo Palombo,41.0," D(C),DMC",177.0,77.0,2(1),2.0,1,178.0,1.0,1.3,1.0,0.0,0.0,0.7,0.0,0.0,6.1
19,49,532,Iván Córdoba,46.0," D(L),DMC",173.0,70.0,1(4),1.0,4,215.0,1.0,0.6,1.2,0.6,3.0,0.0,0.6,0.0,6.49
20,50,3510,Diego Forlán,43.0, FW,180.0,75.0,14(4),14.0,4,1016.0,0.6,0.3,0.1,0.0,0.4,0.1,0.1,0.0,6.61
21,51,4923,Wesley Sneijder,38.0, AM(CL),171.0,67.0,15(5),15.0,5,1330.0,0.6,0.4,0.3,0.0,0.2,0.1,0.0,0.0,7.24
22,52,82646,Luc Castaignos,30.0, FW,188.0,85.0,1(5),1.0,5,181.0,0.5,0.3,0.7,0.0,0.2,0.5,0.3,0.0,6.21
23,53,14524,Mauro Zárate,35.0," M(CLR),FW",176.0,76.0,10(12),10.0,12,949.0,0.5,0.3,1.0,0.0,0.0,0.2,0.0,0.0,6.6
24,54,10090,Diego Milito,43.0, FW,183.0,78.0,29(4),29.0,4,2533.0,0.5,0.3,1.0,0.0,0.4,0.2,0.0,0.0,7.03
25,55,9975,Giampaolo Pazzini,38.0, FW,180.0,77.0,22(11),22.0,11,2164.0,0.4,0.3,1.6,0.0,0.5,0.1,0.0,0.0,6.54
26,56,84603,Juan Jesus,31.0, D(CL),185.0,83.0,0(1),0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
27,57,14149,Julio César,43.0, GK,186.0,80.0,33,33.0,0,2916.0,0.0,0.0,0.1,0.0,0.6,0.1,0.0,0.0,6.71
28,58,3155,Luca Castellazzi,47.0, GK,192.0,89.0,5(2),5.0,2,505.0,0.0,0.0,0.1,0.0,0.3,0.1,0.0,0.0,6.29
29,59,83755,Samuele Longo,30.0, FW,186.0,81.0,0(1),0.0,1,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.08
