,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,35,12542,Daniele Capelli,36.0, D(CR),184.0,82.0,1,1.0,0,74.0,4.0,2.0,1.0,0.0,7.0,1.0,1.0,0.0,7.49
1,36,14126,Luca Cigarini,36.0, M(C),175.0,72.0,26(1),26.0,1,2269.0,3.9,1.8,1.9,0.0,1.1,1.9,0.6,0.0,7.39
2,37,18723,Federico Peluso,38.0," D(CL),M(L)",187.0,82.0,13,13.0,0,1065.0,2.9,2.2,1.7,0.4,3.5,0.5,0.5,0.0,7.01
3,38,9943,Cristian Raimondi,41.0," D(R),M(R)",182.0,78.0,22(4),22.0,4,2038.0,2.8,1.6,1.5,0.2,3.8,0.9,0.3,0.0,7.03
4,39,14069,Cristiano Del Grosso,39.0," D(L),M(L)",175.0,70.0,13,13.0,0,1061.0,2.8,1.9,0.8,0.2,4.2,0.8,0.2,0.0,6.95
5,40,6638,Gianpaolo Bellini,42.0, D(LR),178.0,75.0,10(1),10.0,1,840.0,2.5,1.3,0.8,0.2,3.6,0.5,0.4,0.0,6.67
6,41,17950,Michele Canini,37.0, D(C),187.0,84.0,10(2),10.0,2,964.0,2.4,2.3,0.8,0.4,5.9,0.4,0.8,1.0,6.81
7,42,24175,Carlos Carmona,35.0, DMC,179.0,68.0,20(1),20.0,1,1543.0,2.4,0.7,2.0,0.0,1.0,0.9,0.2,0.0,6.65
8,43,12455,Michele Ferri,41.0, D(R),185.0,81.0,7(2),7.0,2,557.0,2.3,1.1,0.3,0.6,3.1,0.1,0.2,0.0,6.66
9,44,57560,Luigi Giorgi,35.0, M(CR),186.0,80.0,11(4),11.0,4,969.0,2.2,0.8,1.1,0.0,1.3,0.8,0.1,0.0,6.59
10,45,40384,Giacomo Bonaventura,33.0, M(CLR),180.0,75.0,31(4),31.0,4,2641.0,2.1,0.9,1.1,0.0,0.6,0.8,0.0,0.0,6.9
11,46,19023,Davide Brivio,34.0," D(L),M(L)",185.0,82.0,15(5),15.0,5,1441.0,2.1,1.2,0.9,0.2,2.9,0.6,0.4,1.0,6.63
12,47,14137,Guglielmo Stendardo,41.0, D(C),190.0,89.0,29(3),29.0,3,2632.0,2.0,1.8,1.1,0.5,8.0,0.3,0.6,0.0,7.02
13,48,59281,Riccardo Cazzola,37.0, M(C),189.0,80.0,9(13),9.0,13,934.0,1.9,0.9,0.8,0.0,1.2,0.4,0.3,0.0,6.51
14,49,20596,Maximiliano Moralez,35.0," M(CLR),FW",160.0,52.0,26(3),26.0,3,2020.0,1.9,0.5,0.8,0.0,0.2,1.1,0.0,0.0,6.69
15,50,4397,Stefano Lucchini,42.0, D(C),186.0,76.0,19(2),19.0,2,1696.0,1.8,1.8,1.2,0.3,7.7,0.7,0.9,0.0,6.9
16,51,14070,Davide Biondini,39.0, M(C),180.0,77.0,20(4),20.0,4,1779.0,1.8,1.3,1.4,0.0,1.8,1.3,0.3,0.0,6.57
17,52,1604,Lionel Scaloni,44.0, D(R),182.0,80.0,6(1),6.0,1,530.0,1.7,2.0,1.7,0.4,3.4,1.0,0.1,0.0,6.95
18,53,1657,Thomas Manfredini,42.0, D(C),182.0,84.0,15,15.0,0,1246.0,1.4,2.6,0.8,0.4,7.1,0.5,0.7,0.0,6.91
19,54,9952,Matteo Contini,42.0, D(C),184.0,76.0,1(2),1.0,2,160.0,1.3,0.7,1.0,0.7,2.0,0.3,0.7,0.0,6.04
20,55,79442,Ezequiel Schelotto,33.0," D(R),M(LR)",187.0,77.0,12(4),12.0,4,1093.0,1.3,1.3,0.8,0.1,1.4,0.3,0.3,0.0,6.66
