,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,23,82438,Allan,31.0, DMC,173.0,73.0,32(6),32.0,6,2857.0,2.8,0.7,1.0,0.0,0.4,1.8,0.1,0.0,7.17
1,24,106931,Mário Rui,31.0," D(L),M(L)",170.0,67.0,24(1),24.0,1,2088.0,2.2,0.6,1.7,0.6,1.2,0.9,0.2,0.0,6.88
2,25,106968,Jorginho,30.0, DMC,180.0,65.0,33,33.0,0,2665.0,1.9,1.5,1.0,0.0,0.3,1.6,0.1,0.0,7.02
3,26,108345,Elseid Hysaj,28.0," D(LR),M(R)",182.0,75.0,35,35.0,0,3125.0,1.8,1.2,0.8,0.4,1.6,0.7,0.1,0.0,6.8
4,27,128740,Lorenzo Tonelli,32.0, D(C),183.0,78.0,3(1),3.0,1,350.0,1.8,1.8,0.3,2.0,2.5,1.0,0.3,0.0,7.23
5,28,90880,Kalidou Koulibaly,31.0, D(C),195.0,89.0,35,35.0,0,3066.0,1.5,1.1,0.9,0.8,3.2,0.6,0.5,0.0,7.04
6,29,2943,Christian Maggio,40.0," D(R),M(R)",184.0,79.0,6(7),6.0,7,636.0,1.3,1.0,0.3,0.2,1.5,0.9,0.3,0.0,6.71
7,30,76921,Vlad Chiriches,32.0, D(CR),184.0,75.0,7,7.0,0,583.0,1.1,2.3,0.4,0.7,2.4,0.4,0.1,0.0,6.93
8,31,13475,Marek Hamsik,35.0," M(C),FW",183.0,79.0,32(6),32.0,6,2397.0,0.9,0.4,0.3,0.0,0.4,0.6,0.1,0.0,6.91
9,32,12575,Raúl Albiol,37.0, D(C),187.0,74.0,30(1),30.0,1,2742.0,0.9,1.0,0.9,0.6,4.1,0.2,0.4,0.0,7.15
10,33,67206,José Callejón,35.0," M(LR),FW",178.0,73.0,38,38.0,0,3247.0,0.9,0.6,0.7,0.0,0.8,1.0,0.1,0.0,7.22
11,34,118169,Piotr Zielinski,28.0, M(CL),180.0,75.0,14(22),14.0,22,1659.0,0.9,0.4,0.4,0.0,0.4,0.4,0.1,0.0,6.75
12,35,83390,Lorenzo Insigne,31.0," AM(CL),FW",163.0,59.0,36(1),36.0,1,3104.0,0.8,0.5,0.3,0.0,0.1,0.5,0.0,0.0,7.51
13,36,23100,Dries Mertens,35.0," AM(CLR),FW",169.0,61.0,35(3),35.0,3,3013.0,0.7,0.1,1.0,0.0,0.2,0.8,0.1,0.0,7.21
14,37,82062,Faouzi Ghoulam,31.0, D(L),186.0,80.0,11,11.0,0,987.0,0.7,1.4,0.9,0.1,1.2,0.2,0.2,0.0,7.65
15,38,294044,Amadou Diawara,25.0, DMC,183.0,75.0,5(13),5.0,13,644.0,0.6,0.5,0.7,0.0,0.3,0.3,0.1,0.0,6.41
16,39,297577,Adam Ounas,25.0," AM(CLR),FW",172.0,65.0,0(7),0.0,7,89.0,0.6,0.0,0.0,0.0,0.3,0.4,0.0,0.0,6.33
17,40,98631,Nikola Maksimovic,30.0," D(CR),M(R)",193.0,82.0,1(1),1.0,1,95.0,0.5,0.0,0.5,1.0,1.5,0.0,0.0,0.0,6.3
18,41,203436,Marko Rog,27.0, M(C),180.0,73.0,0(28),0.0,28,259.0,0.4,0.1,0.4,0.0,0.0,0.4,0.0,0.0,6.2
19,42,72296,Emanuele Giaccherini,37.0, M(CLR),167.0,60.0,0(4),0.0,4,60.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,6.24
20,43,104257,Arkadiusz Milik,28.0," AM(C),FW",186.0,80.0,3(12),3.0,12,440.0,0.1,0.1,0.5,0.0,0.3,0.1,0.0,0.0,6.52
21,44,2987,Pepe Reina,40.0, GK,188.0,92.0,37,37.0,0,3330.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.63
22,45,70319,Luigi Sepe,31.0, GK,191.0,90.0,1,1.0,0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.74
