,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,25869,Ümit Korkmaz,37, AM(L),174,74,10(8),10,8,974,2,3,0.9,0.8,1.7,1.2,0.1,1.5,0,6.8
1,1,28553,Caio Cesar,36," AM(C),FW",186,82,15(11),15,11,1355,4,1,2.0,0.6,1.6,0.9,0.0,1.7,0,6.75
2,2,14182,Pirmin Schwegler,35, M(C),178,74,25,25,0,2162,3,2,1.0,0.7,1.6,3.0,0.0,1.4,0,7.26
3,3,6540,Patrick Ochs,38, D(R),179,71,28,28,0,2469,1,8,0.9,1.8,1.1,2.2,0.6,1.0,0,7.04
4,4,6268,Benjamin Köhler,42," D(C),M(CR),FW",172,66,21(10),21,10,1929,4,5,0.8,1.2,1.1,1.9,0.4,1.1,0,6.85
5,5,4423,Selim Teber,41, M(CR),185,83,24(5),24,5,1939,1,2,1.3,0.5,1.0,1.8,0.1,1.1,0,6.52
6,6,2258,Zlatan Bajramovic,43, M(C),182,73,7(4),7,4,705,0,0,0.7,0.4,0.7,1.4,0.0,1.2,0,6.59
7,7,21653,Marcel Heller,36, M(LR),175,70,2(7),2,7,260,0,0,0.2,0.3,0.6,0.6,0.1,0.8,0,6.2
8,8,5533,Halil Altintop,39," AM(C),FW",186,75,15,15,0,1303,3,2,1.3,1.4,0.5,1.1,0.8,2.2,0,6.81
9,9,4212,Ioannis Amanatidis,40, FW,181,80,7(1),7,1,564,3,0,2.3,0.5,0.5,1.4,0.4,1.5,0,6.85
10,10,5486,Alexander Meier,39," M(C),FW",196,96,34,34,0,3014,10,5,2.3,0.8,0.5,1.1,0.7,1.3,0,7.14
11,11,29624,Martin Fenin,35, Forward,181,70,2(15),2,15,480,2,0,0.5,0.2,0.4,0.7,0.3,0.6,0,6.26
12,12,12356,Markus Steinhöfer,36, D(R),175,69,3(2),3,2,240,0,1,0.8,0.8,0.4,0.8,0.2,0.2,0,6.69
13,13,12392,Nikos Liberopoulos,47, FW,187,82,14(7),14,7,1186,1,2,1.5,0.7,0.4,1.1,0.8,1.9,0,6.43
14,14,71852,Sebastian Jung,32, D(R),179,72,12(2),12,2,1100,1,0,0.3,0.4,0.4,1.1,0.0,0.3,0,6.54
15,15,23523,Ricardo Clark,39, M(C),178,73,3,3,0,270,0,0,2.0,0.3,0.3,2.3,0.0,0.3,0,6.82
16,16,13753,Marco Russ,37," D(C),DMC",190,88,30,30,0,2620,4,2,0.6,0.2,0.3,0.9,0.0,0.2,0,6.89
17,17,7043,Christoph Spycher,44, D(C),175,79,27,27,0,2359,0,0,0.0,0.6,0.3,1.3,0.1,0.8,0,6.52
18,18,4681,Chris,44," D(CL),M(R)",185,78,29,29,0,2578,1,2,0.5,0.4,0.2,1.8,0.0,0.4,0,7.09
19,19,2911,Maik Franz,41, D(CLR),190,87,25(2),25,2,2240,6,0,0.6,0.1,0.2,2.4,0.1,0.4,0,6.96
20,20,9680,Aleksandar Vasoski,42, D(L),180,78,7,7,0,630,0,0,0.1,0.1,0.1,1.0,0.0,0.1,0,6.88
21,21,77438,Cenk Tosun,31, FW,183,78,0(1),0,1,16,0,0,2.0,1.0,0.0,0.0,0.0,0.0,0,6.28
22,22,1350,Christoph Preuß,41, Midfielder,181,72,0(3),0,3,42,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0,6.06
23,23,7551,Jan Zimmermann,37, GK,190,86,0(1),0,1,45,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.22
24,24,33133,Juvhel Tsoumou,31, Forward,191,88,0(4),0,4,11,1,0,0.3,0.0,0.0,0.0,0.3,0.3,0,6.31
25,25,81975,Marcel Titsch Rivero,32, M(C),182,76,0(1),0,1,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,6.1
26,26,77437,Marcos Álvarez,31," AM(L),FW",178,80,0(1),0,1,4,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,6.0
27,27,36436,Nikola Petkovic,36, D(C),185,78,0(2),0,2,46,0,0,0.5,0.5,0.0,0.5,0.0,0.0,0,6.39
28,28,5475,Oka Nikolov,48, GK,187,86,31,31,0,2748,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0,6.64
29,29,23592,Ralf Fährmann,34, GK,197,98,3,3,0,270,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.85
