,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,141716,Emil Forsberg,30," AM(CLR),FW",177,76,30(2),30,2,2580,8,6,2.5,1.5,2.9,1.8,0.3,1.8,2.0,7.36
1,1,132943,Yussuf Poulsen,28," AM(R),FW",192,84,22(10),22,10,1991,7,4,1.9,0.8,1.6,1.5,0.7,1.9,2.9,6.93
2,2,93937,Massimo Bruno,29, AM(CLR),178,74,11(13),11,13,1230,2,2,2.0,1.0,1.5,0.9,0.0,0.9,1.3,6.73
3,3,92051,Marcel Sabitzer,28," M(CLR),FW",178,76,32,32,0,2780,8,5,2.6,2.1,1.3,1.7,0.2,1.6,2.1,7.11
4,4,143463,Zsolt Kalmár,27, AM(CL),185,78,0(4),0,4,69,0,0,0.8,0.0,1.0,0.8,0.3,0.5,0.5,6.28
5,5,115161,Marcel Halstenberg,31," D(CL),M(L)",188,87,22(2),22,2,1988,2,3,1.2,1.5,0.8,0.7,0.1,0.3,0.6,7.5
6,6,133886,Diego Demme,30, DMC,172,71,26(2),26,2,2190,0,2,0.4,1.3,0.8,1.9,0.0,1.3,0.8,7.17
7,7,137852,Davie Selke,27, FW,194,88,20(10),20,10,1821,10,1,1.9,0.6,0.6,1.4,1.0,1.0,1.6,6.81
8,8,37940,Stefan Ilsanker,33," D(CR),DMC",189,85,24(2),24,2,2074,1,1,0.6,0.4,0.6,1.0,0.0,0.2,1.1,7.44
9,9,115565,Anthony Jung,30," D(CL),M(L)",186,83,11(11),11,11,1108,0,0,0.4,1.1,0.5,0.6,0.0,0.5,0.2,6.66
10,10,76513,Georg Teigl,31," D(R),M(R)",183,77,7(4),7,4,699,0,0,1.2,0.4,0.5,0.9,0.0,0.5,1.2,6.65
11,11,299057,Ken Gipson,26, Defender,178,69,1(1),1,1,134,0,0,1.5,0.5,0.5,1.5,0.0,0.0,1.5,6.56
12,12,143600,Lukas Klostermann,26," D(CLR),M(R)",187,88,28(2),28,2,2481,1,4,0.8,0.5,0.3,0.5,0.1,0.4,0.9,6.9
13,13,91067,Dominik Kaiser,34, M(CR),171,69,30,30,0,2574,7,6,2.1,2.1,0.2,2.6,0.1,0.7,1.3,7.2
14,14,104917,Willi Orbán,29, D(C),186,87,32,32,0,2844,1,1,0.8,0.4,0.2,0.9,0.1,0.3,0.2,7.43
15,15,132946,Tim Sebastian,38, D(C),188,79,3(3),3,3,209,0,0,0.3,0.0,0.2,0.2,0.0,0.0,0.5,6.38
16,16,110266,Rani Khedira,28," D(C),DMC",189,86,10(9),10,9,808,0,0,0.2,0.2,0.2,1.1,0.1,0.4,0.6,6.49
17,17,86191,Atinç Nukan,29, D(C),196,86,7(5),7,5,600,1,0,0.3,0.1,0.1,0.5,0.0,0.2,0.5,6.9
18,18,67369,Péter Gulácsi,32, GK,191,86,13(1),13,1,1227,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,6.56
19,19,243509,Nils Quaschner,28," AM(L),FW",184,81,1(18),1,18,331,1,1,0.6,0.3,0.1,0.4,0.1,0.4,0.5,6.25
20,20,18639,Marvin Compper,37, D(C),185,80,22(1),22,1,1997,3,1,0.9,0.2,0.0,0.7,0.0,0.1,0.6,7.23
21,21,21083,Fabio Coltorti,41, GK,197,98,21,21,0,1833,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.54
22,22,330505,Idrissa Touré,24, Midfielder,188,76,0(1),0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
23,23,69630,Stefan Hierländer,31, Midfielder,180,73,1,1,0,77,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.87
