,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,320040,Alphonso Davies,21," D(L),M(LR)",183,75,22(1),22,1,1769,1,2,0.2,0.9,2.7,1.6,0.1,1.2,2.7,7.04
1,1,125883,Kingsley Coman,26," M(LR),FW",180,76,23(6),23,6,1767,5,10,1.8,1.6,1.9,1.2,0.2,1.3,1.7,7.11
2,2,144711,Leroy Sané,26," M(CLR),FW",183,80,18(14),18,14,1807,6,9,1.8,1.0,1.9,0.7,0.2,1.5,2.6,6.94
3,3,395252,Jamal Musiala,19, M(CL),180,68,7(19),7,19,871,6,1,1.0,0.3,1.7,0.8,0.1,1.1,1.6,6.74
4,4,104747,Bouna Sarr,30," D(R),M(CLR)",177,69,5(3),5,3,450,0,1,0.4,0.4,1.5,0.9,0.0,0.5,1.6,6.61
5,5,283323,Joshua Kimmich,27," D(CR),DMC,M(R)",177,75,25(2),25,2,2197,4,10,1.4,2.4,1.1,1.6,0.0,0.7,1.5,7.57
6,6,119501,Serge Gnabry,27," AM(CLR),FW",176,77,20(7),20,7,1654,10,2,2.2,1.4,0.9,0.8,0.2,0.9,1.9,7.18
7,7,37099,Thomas Müller,33," M(CLR),FW",185,76,31(1),31,1,2683,11,18,1.6,2.9,0.8,0.7,0.4,1.3,2.5,7.51
8,8,139186,Lucas Hernández,26, D(CL),184,79,18(5),18,5,1600,0,2,0.2,0.6,0.8,1.3,0.0,0.4,1.2,6.98
9,9,68889,Douglas Costa,32, M(CLR),172,70,3(8),3,8,316,1,1,0.4,0.5,0.8,0.2,0.3,0.6,0.9,6.41
10,10,29400,Robert Lewandowski,34, FW,185,81,28(1),28,1,2463,41,7,4.7,1.1,0.8,1.0,0.7,1.5,2.4,8.07
11,11,29809,Eric Choupo-Moting,33," M(CLR),FW",191,90,8(14),8,14,812,3,0,0.9,0.6,0.7,0.4,0.4,0.8,1.2,6.48
12,12,129983,Niklas Süle,27, D(CR),195,99,16(4),16,4,1503,1,0,1.0,0.4,0.6,0.2,0.0,0.2,0.4,6.97
13,13,412841,Christopher Scott,20, Midfielder,174,71,0(2),0,2,32,0,0,0.5,0.0,0.5,0.0,0.0,1.0,0.5,6.19
14,14,39722,David Alaba,30," D(CL),M(CL)",180,78,30(2),30,2,2676,2,3,0.7,0.9,0.5,0.3,0.0,0.4,0.6,6.79
15,15,115519,Leon Goretzka,27, M(CR),189,82,18(6),18,6,1707,5,5,1.8,0.8,0.5,0.7,0.0,0.3,1.1,7.2
16,16,323148,Marc Roca,25, DMC,184,77,2(4),2,4,175,0,0,0.5,0.2,0.3,0.3,0.0,0.3,0.5,6.09
17,17,382492,Tanguy Nianzou,20, D(C),187,83,0(6),0,6,116,0,0,0.0,0.0,0.3,0.7,0.0,0.0,0.2,6.13
18,18,134894,Corentin Tolisso,28," D(R),M(CR)",181,81,7(9),7,9,778,1,0,0.8,0.5,0.2,1.0,0.1,0.2,0.7,6.48
19,19,23589,Jérôme Boateng,34, D(CR),192,90,29,29,0,2379,1,1,0.3,0.2,0.2,0.3,0.0,0.0,0.2,6.74
20,20,259648,Benjamin Pavard,26," D(CLR),M(R)",186,81,22(2),22,2,1944,0,0,0.5,0.5,0.1,0.9,0.0,0.1,0.8,6.89
21,21,14091,Javi Martínez,34," D(C),M(C)",192,86,4(15),4,15,457,0,0,0.1,0.1,0.1,0.4,0.0,0.2,0.2,6.37
22,22,260770,Alexander Nübel,26, GK,193,86,1,1,0,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32
23,23,395401,Chris Richards,22, D(C),188,87,1(2),1,2,88,0,1,0.0,1.0,0.0,0.0,0.0,0.3,0.0,6.47
24,24,383956,Joshua Zirkzee,21, FW,193,84,1(2),1,2,92,0,0,1.3,0.3,0.0,0.3,0.3,0.3,1.3,6.1
25,25,413272,Josip Stanisic,22, D(R),186,77,1,1,0,90,0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.93
26,26,13754,Manuel Neuer,36, GK,193,93,33,33,0,2970,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.61
27,27,344198,Michaël Cuisance,23, AM(C),181,74,0(1),0,1,18,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.09
28,28,408824,Tiago Dantas,21, DMC,170,58,1(1),1,1,69,0,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,6.3
