,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,141556,Julian Brandt,26," M(CLR),FW",185,83,6(2),6,2,504,2,2,0.6,1.6,1.4,0.4,0.5,1.1,2.3,7.04
1,1,41330,Marco Reus,33," M(CLR),FW",180,71,7,7,0,572,2,2,1.7,1.0,0.4,1.4,0.3,1.0,2.3,6.76
2,2,406701,Youssoufa Moukoko,17, Forward,179,72,1(6),1,6,175,2,1,1.0,0.3,0.6,0.6,0.0,0.3,0.9,6.4
3,3,25605,Anthony Modeste,34, FW,187,84,7,7,0,588,1,0,2.0,0.7,0.0,0.4,0.7,1.0,1.6,6.75
4,4,436425,Jamie Bynoe-Gittens,18, Forward,175,0,2(2),2,2,161,1,0,1.0,0.3,0.3,1.8,0.0,0.3,1.3,6.39
5,5,312666,Marius Wolf,27," D(R),M(CLR)",188,81,5(2),5,2,440,1,1,1.1,1.3,1.1,1.1,0.3,0.7,1.4,6.99
6,6,115375,Raphaël Guerreiro,28," D(L),M(CL)",170,71,6,6,0,517,1,0,1.0,1.0,1.3,0.5,0.0,0.3,1.3,6.92
7,7,345363,Alexander Meyer,31, GK,195,90,3,3,0,270,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.59
8,8,351354,Donyell Malen,23," AM(L),FW",176,68,4,4,0,295,0,0,2.3,2.3,1.3,1.3,0.3,1.0,2.3,6.72
9,9,111212,Emre Can,28," D(CLR),DMC",186,86,0(5),0,5,100,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,6.18
10,10,389087,Giovanni Reyna,19, AM(CLR),185,79,0(4),0,4,118,0,0,0.8,0.8,0.8,0.5,0.0,1.0,1.3,6.27
11,11,336028,Gregor Kobel,24, GK,195,88,5,5,0,450,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11
12,12,379868,Jude Bellingham,19, M(CLR),186,75,8,8,0,720,0,1,2.6,1.1,2.9,3.4,0.0,2.8,2.5,7.4
13,13,438066,Justin Njinmah,21, Forward,184,75,0(1),0,1,21,0,0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,5.91
14,14,392646,Karim Adeyemi,20, FW,180,68,3(1),3,1,171,0,0,1.5,1.0,0.8,0.3,0.0,0.5,2.0,6.37
15,15,135092,Mahmoud Dahoud,26, M(C),178,68,3,3,0,184,0,0,1.0,0.3,0.7,0.3,0.0,0.7,1.3,6.82
16,16,21541,Mats Hummels,33, D(C),191,94,6,6,0,512,0,0,0.3,0.0,0.2,0.5,0.0,0.3,0.0,7.15
17,17,371275,Nico Schlotterbeck,22, D(C),191,86,8,8,0,720,0,0,0.1,0.3,0.1,0.6,0.0,0.0,0.6,6.93
18,18,129983,Niklas Süle,27, D(CR),195,99,2(3),2,3,219,0,0,0.4,0.0,0.2,0.0,0.0,0.2,0.2,6.11
19,19,326403,Salih Özcan,24, M(C),182,74,5,5,0,409,0,1,0.2,1.0,0.4,1.2,0.0,0.8,0.6,6.86
20,20,104376,Thomas Meunier,31," D(R),M(R)",191,90,6(1),6,1,519,0,0,0.6,0.7,0.6,0.4,0.1,0.6,1.1,6.72
21,21,101537,Thorgan Hazard,29," M(CLR),FW",175,71,1(6),1,6,244,0,0,0.9,0.7,0.3,0.3,0.6,0.0,0.7,6.28
22,22,437020,Tom Rothe,17, Defender,188,0,0(1),0,1,13,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.41
