,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,12187,Mousa Dembélé,35, M(CR),185,87,26(4),26,4,2211,1,3,0.8,1.9,1.8,1.2,0.0,1.3,0.9,7.23
1,1,13812,Gareth Bale,33," M(CLR),FW",185,81,33,33,0,2925,21,4,5.0,2.3,1.8,1.4,0.3,1.6,1.7,7.92
2,2,5625,Aaron Lennon,35, M(LR),165,63,33(1),33,1,2840,4,7,0.9,2.0,1.3,1.2,0.2,1.1,0.9,7.03
3,3,21778,Jan Vertonghen,35, D(CL),189,79,34,34,0,3060,4,3,1.1,0.7,0.8,0.7,0.1,0.6,0.6,7.62
4,4,68890,Sandro,33, M(C),187,82,22,22,0,1780,1,2,1.1,1.0,0.7,1.3,0.0,1.1,0.6,7.4
5,5,69778,Kyle Walker,32," D(CR),M(R)",178,70,36,36,0,3161,0,4,0.9,1.5,0.7,0.6,0.1,0.8,0.5,7.16
6,6,11580,Benoit Assou-Ekotto,38, D(L),178,70,12(3),12,3,1142,1,0,0.6,0.9,0.7,0.9,0.0,0.7,0.5,7.13
7,7,6363,Emmanuel Adebayor,38, FW,191,82,18(7),18,7,1598,5,1,1.7,1.1,0.6,1.0,0.8,2.4,1.6,6.67
8,8,71522,Andros Townsend,31," AM(LR),FW",181,77,0(5),0,5,29,0,0,0.4,1.0,0.6,0.6,0.0,0.2,0.0,6.26
9,9,4343,Rafael van der Vaart,39, M(C),176,74,1(1),1,1,85,0,0,1.0,1.0,0.5,0.5,0.0,1.5,0.0,6.22
10,10,270,Scott Parker,41, M(C),180,70,15(6),15,6,1363,0,1,0.7,0.9,0.4,1.4,0.0,1.1,0.8,6.81
11,11,2837,Jermain Defoe,39," AM(R),FW",171,65,27(7),27,7,2415,11,3,3.2,0.9,0.4,0.7,0.5,1.2,1.4,6.81
12,12,34131,Kyle Naughton,33," D(CLR),M(R)",180,73,13(1),13,1,1061,0,1,0.4,0.8,0.3,0.2,0.0,0.4,0.4,7.06
13,13,90907,Tom Carroll,30, M(CL),177,71,0(7),0,7,79,0,1,0.1,0.1,0.3,0.1,0.0,0.0,0.1,6.28
14,14,16369,Clint Dempsey,39," M(CL),FW",186,78,22(7),22,7,1999,7,4,2.4,1.1,0.3,1.6,0.4,1.7,1.2,6.94
15,15,69346,Gylfi Sigurdsson,33," M(CLR),FW",186,79,12(21),12,21,1221,3,4,1.6,0.8,0.2,0.5,0.0,0.8,0.7,6.53
16,16,41004,Lewis Holtby,32, M(CLR),176,72,4(7),4,7,508,0,2,0.9,1.2,0.2,0.3,0.0,1.1,0.7,6.5
17,17,8194,Tom Huddlestone,35, DMC,188,80,11(9),11,9,1029,0,4,1.0,1.1,0.2,0.4,0.0,0.7,0.4,6.72
18,18,36849,Jake Livermore,32," D(C),DMC",181,91,5(7),5,7,416,0,0,0.2,0.4,0.1,0.2,0.0,0.5,0.3,6.24
19,19,1554,William Gallas,45, D(C),181,69,16(3),16,3,1526,1,0,0.3,0.0,0.1,0.1,0.2,0.3,0.2,6.85
20,20,4905,Michael Dawson,38, D(C),188,76,23(4),23,4,2012,1,0,0.3,0.0,0.0,0.5,0.0,0.1,0.2,7.09
21,21,3426,Brad Friedel,51, GK,191,92,11,11,0,990,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.39
22,22,83532,Harry Kane,29," AM(C),FW",188,86,0(1),0,1,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13
23,23,25604,Hugo Lloris,35, GK,188,82,27,27,0,2430,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,6.64
24,24,80734,Iago Falque,32," AM(CLR),FW",172,70,0(1),0,1,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81
25,25,3837,Jermaine Jenas,39, M(C),180,73,0(1),0,1,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12
26,26,76499,Steven Caulker,30, D(C),191,76,17(1),17,1,1575,2,1,0.8,0.4,0.0,0.1,0.0,0.2,0.1,6.97
27,27,14805,Younes Kaboul,36, D(C),193,87,1,1,0,90,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.52
