,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,122366,Anthony Martial,26," AM(LR),FW",181,76,29(2),29,2,2632,11,4,1.8,1.2,2.7,1.8,0.5,3.1,2.4,7.23
1,1,303379,Donald Love,27," D(LR),M(CR)",178,72,0(1),0,1,53,0,0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,6.8
2,2,118244,Luke Shaw,27," D(CL),M(L)",185,75,5,5,0,450,0,1,0.2,0.8,1.2,0.6,0.2,1.2,0.4,7.36
3,3,18296,Antonio Valencia,37," D(R),M(R)",180,83,8(6),8,6,855,0,3,0.4,0.5,1.1,0.4,0.1,0.3,1.1,7.05
4,4,243254,Andreas Pereira,26, M(CLR),178,71,0(4),0,4,80,0,0,0.0,0.8,1.0,0.3,0.0,0.8,0.5,6.22
5,5,145385,Guillermo Varela,29, D(LR),173,70,3(1),3,1,315,0,0,0.3,0.3,1.0,1.8,0.0,0.8,1.0,6.83
6,6,145271,James Wilson,26," AM(CR),FW",183,73,0(1),0,1,8,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.13
7,7,35003,Chicharito,34, FW,175,73,0(1),0,1,23,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.45
8,8,110154,Memphis Depay,28," AM(CL),FW",176,78,16(13),16,13,1478,2,0,2.0,0.4,1.0,1.2,0.3,2.4,1.7,6.38
9,9,22738,Marouane Fellaini,34, M(C),194,85,12(6),12,6,1070,1,0,1.3,0.6,0.9,0.7,0.2,1.7,1.2,6.78
10,10,136454,Cameron Borthwick-Jackson,25," D(CL),M(CL)",183,78,6(4),6,4,692,0,1,0.1,0.7,0.9,0.2,0.0,0.5,0.5,6.7
11,11,3859,Wayne Rooney,36," M(CLR),FW",176,83,27(1),27,1,2410,8,6,2.6,1.5,0.9,0.5,0.5,1.9,1.8,7.06
12,12,109000,Jesse Lingard,29," AM(CLR),FW",175,62,19(6),19,6,1635,4,1,1.2,0.6,0.8,0.8,0.2,1.0,1.5,6.71
13,13,300299,Marcus Rashford,24," AM(CLR),FW",180,70,11,11,0,862,5,2,1.5,0.5,0.8,0.8,0.4,2.0,2.3,6.94
14,14,25363,Juan Mata,34, AM(CLR),170,63,34(4),34,4,2902,6,5,1.5,1.4,0.8,0.8,0.2,1.4,0.8,6.8
15,15,4567,Bastian Schweinsteiger,38," D(C),M(C)",183,79,13(5),13,5,1205,1,0,0.7,0.4,0.7,0.9,0.0,1.6,1.1,6.78
16,16,71174,Ander Herrera,33, M(C),182,71,17(10),17,10,1538,3,2,0.9,0.8,0.7,0.8,0.0,1.2,1.5,6.77
17,17,8166,Ashley Young,37," D(LR),M(LR)",175,65,11(7),11,7,1063,1,2,0.4,0.6,0.7,1.1,0.1,0.4,0.6,6.6
18,18,130334,Adnan Januzaj,27, AM(CLR),186,76,2(3),2,3,144,1,0,0.8,0.2,0.6,0.6,0.0,0.8,0.8,6.33
19,19,70033,Daley Blind,32," D(CL),DMC,M(L)",180,72,35,35,0,3117,1,1,0.1,0.7,0.6,0.4,0.0,0.3,0.5,7.14
20,20,23220,Matteo Darmian,32," D(CLR),M(LR)",182,70,24(4),24,4,1932,1,0,0.2,0.4,0.4,0.8,0.1,0.6,0.4,6.91
21,21,71345,Chris Smalling,32, D(CR),194,81,35,35,0,3150,0,1,0.5,0.2,0.3,0.4,0.0,0.3,0.3,7.17
22,22,29544,Morgan Schneiderlin,32, DMC,181,75,25(4),25,4,2205,1,0,0.4,0.3,0.3,0.5,0.0,0.4,0.7,6.92
23,23,2115,Michael Carrick,41," D(C),M(C)",188,74,22(6),22,6,1975,0,0,0.3,0.4,0.3,0.5,0.0,0.6,0.5,6.66
24,24,70050,Marcos Rojo,32, D(CL),186,82,15(1),15,1,1254,0,1,0.5,0.6,0.3,0.8,0.1,0.5,0.4,6.93
25,25,312739,Timothy Fosu-Mensah,24, D(CR),185,80,2(6),2,6,254,0,1,0.3,0.1,0.3,0.3,0.0,0.1,0.1,6.7
26,26,81726,Phil Jones,30," D(CR),DMC",180,71,6(4),6,4,529,0,0,0.1,0.0,0.2,0.2,0.0,0.2,0.3,6.68
27,27,79554,David de Gea,31, GK,192,76,34,34,0,3060,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66
28,28,302386,James Weir,27, M(C),177,71,0(1),0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
29,29,90211,Nick Powell,28," AM(CLR),FW",183,65,0(1),0,1,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03
30,30,244565,Patrick McNair,27," D(CR),M(C)",183,72,3(5),3,5,312,0,0,0.4,0.1,0.0,0.3,0.0,0.4,0.8,6.23
31,31,33831,Sergio Romero,35, GK,192,87,4,4,0,360,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35
32,32,107940,Will Keane,29," AM(C),FW",188,78,0(1),0,1,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
