,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,105962,Benjamin Mendy,28," D(L),DMC,M(L)",185,85,1,1,0,79,0,0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,6.6
1,1,97692,Raheem Sterling,27," M(CLR),FW",170,69,23(7),23,7,2127,13,5,1.9,1.4,1.8,1.2,0.3,1.8,2.1,7.2
2,2,279379,Gabriel Jesus,25," AM(LR),FW",175,73,21(7),21,7,1880,8,8,2.3,1.4,1.6,0.9,0.4,1.0,2.4,7.19
3,3,128967,João Cancelo,28," D(LR),M(R)",182,74,36,36,0,3228,1,7,2.3,1.1,1.6,0.7,0.1,0.7,1.3,7.42
4,4,113069,Jack Grealish,27," AM(CL),FW",175,68,22(4),22,4,1917,3,3,1.7,2.0,1.5,2.1,0.2,1.1,1.2,7.16
5,5,136741,Bernardo Silva,28," M(CLR),FW",173,64,33(2),33,2,2861,8,4,1.3,1.7,1.5,0.9,0.3,0.7,1.5,7.27
6,6,331254,Phil Foden,22," AM(CLR),FW",171,70,24(4),24,4,2133,9,5,2.0,1.4,1.3,0.8,0.5,1.2,1.7,7.29
7,7,73084,Kevin De Bruyne,31," M(CLR),FW",181,68,25(5),25,5,2205,15,8,2.6,2.9,1.0,0.9,0.1,0.7,1.3,7.63
8,8,349760,Ferran Torres,22," AM(LR),FW",184,77,4,4,0,305,2,1,3.3,0.3,1.0,0.3,0.3,0.5,1.0,7.23
9,9,104749,Riyad Mahrez,31," AM(CLR),FW",179,67,15(13),15,13,1493,11,5,2.2,1.4,0.9,0.5,0.1,0.8,1.5,7.0
10,10,77464,Ilkay Gündogan,31, M(C),180,80,20(7),20,7,1856,8,4,2.0,1.4,0.9,0.4,0.1,0.7,0.9,7.24
11,11,101374,John Stones,28, D(CR),188,70,12(2),12,2,1118,1,0,0.6,0.3,0.6,0.4,0.0,0.1,0.3,7.1
12,12,425576,James McAtee,19, Midfielder,0,0,0(2),0,2,19,0,0,0.5,0.0,0.5,0.0,0.0,1.0,0.5,6.13
13,13,19119,Fernandinho,37," D(CR),DMC",179,67,10(9),10,9,960,2,1,0.9,0.5,0.5,0.5,0.0,0.4,0.3,6.7
14,14,273257,Oleksandr Zinchenko,25," D(L),M(CLR)",175,64,10(5),10,5,1045,0,4,0.8,1.1,0.5,0.1,0.1,0.4,0.7,7.05
15,15,303139,Rodri,26, DMC,191,82,33,33,0,2887,7,2,1.4,0.9,0.4,0.6,0.0,0.7,0.5,7.43
16,16,69778,Kyle Walker,32," D(CR),M(R)",178,70,20,20,0,1756,0,2,0.4,0.6,0.4,0.6,0.1,0.3,0.8,6.72
17,17,395692,Cole Palmer,20, Midfielder,182,0,1(3),1,3,122,0,0,1.0,0.5,0.3,0.3,0.0,0.8,1.8,6.43
18,18,122117,Aymeric Laporte,28, D(CL),191,86,33,33,0,2836,4,0,1.1,0.3,0.2,0.3,0.1,0.2,0.1,6.9
19,19,313171,Rúben Dias,25, D(C),186,76,27(2),27,2,2404,2,4,0.6,0.5,0.1,0.3,0.1,0.1,0.3,6.95
20,20,425574,CJ Egan-Riley,19, Defender,0,0,0(1),0,1,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38
21,21,121774,Ederson,29, GK,188,86,37,37,0,3330,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.69
22,22,416803,Kayky,19, Forward,175,68,0(1),0,1,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.09
23,23,401254,Liam Delap,19, FW,0,0,0(1),0,1,9,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.49
24,24,122945,Nathan Aké,27," D(CL),DMC",180,75,10(4),10,4,921,2,0,0.4,0.1,0.0,0.1,0.0,0.2,0.3,6.92
25,25,145473,Zack Steffen,27, GK,191,86,1,1,0,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16
