,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,31388,Diego Perotti,34," M(CLR),FW",179,70,22(6),22,6,1834,4,3,1.1,1.8,2.0,2.0,0.4,2.0,0,7.27
1,1,9446,Jesús Navas,36," D(R),M(R)",172,60,32(2),32,2,2830,4,9,2.0,1.6,1.5,2.4,0.1,1.4,0,7.21
2,2,34524,Juan Cala,32, D(C),185,78,5,5,0,450,3,0,1.8,0.2,1.4,2.4,0.2,0.6,0,7.66
3,3,13471,Adriano,37," D(CLR),M(L)",172,75,23(4),23,4,2078,0,5,0.9,1.0,1.2,1.6,0.0,1.3,0,7.13
4,4,4203,Didier Zokora,41, M(C),179,72,25(1),25,1,2268,0,1,0.5,0.3,1.0,1.4,0.1,0.8,0,7.03
5,5,11118,Abdoulay Konko,38," D(LR),M(R)",184,71,17(1),17,1,1419,1,0,0.6,0.4,0.7,1.1,0.0,1.0,0,6.9
6,6,6967,Luís Fabiano,41, FW,183,81,18(5),18,5,1645,15,3,3.3,0.8,0.7,1.5,1.0,1.7,0,7.45
7,7,11381,Diego Capel,34, AM(L),173,69,14(15),14,15,1389,1,3,0.4,1.0,0.6,2.2,0.4,0.9,0,6.6
8,8,7829,Romaric,39," D(C),M(C)",187,88,10(9),10,9,863,1,1,1.0,0.8,0.6,1.0,0.0,0.5,0,6.7
9,9,9445,Renato,43, M(C),177,71,30(3),30,3,2608,4,3,0.8,1.5,0.5,0.8,0.0,0.9,0,7.08
10,10,23757,Álvaro Negredo,37, FW,186,71,25(10),25,10,2046,11,5,2.2,0.7,0.5,1.5,0.4,1.2,0,6.85
11,11,47,Frederic Kanoute,45," AM(CL),FW",192,82,20(7),20,7,1790,12,2,1.8,0.7,0.4,1.2,0.3,1.9,0,7.11
12,12,19754,Sergio Sánchez,36, D(CR),185,84,6(1),6,1,558,0,1,0.3,0.7,0.4,1.9,0.1,0.1,0,7.14
13,13,9684,Ivica Dragutinovic,46," D(C),DMC",186,83,20,20,0,1793,2,1,0.2,0.6,0.4,1.3,0.0,0.3,0,7.23
14,14,4387,Fernando Navarro,40, D(CL),177,70,26(3),26,3,2278,0,2,0.2,0.5,0.3,1.1,0.0,0.7,0,6.77
15,15,8943,Arouna Koné,38," AM(LR),FW",181,78,3(9),3,9,369,0,0,0.7,0.3,0.3,0.8,0.1,1.2,0,6.16
16,16,71309,José Carlos Fernández,35, M(LR),177,68,2(8),2,8,235,1,0,0.2,0.4,0.3,0.7,0.1,0.6,0,6.26
17,17,2352,Aldo Duscher,43," D(C),DMC",174,72,7(3),7,3,623,0,0,0.7,0.5,0.2,1.0,0.0,0.8,0,6.44
18,18,29908,Federico Fazio,35, D(C),195,85,10,10,0,826,1,0,0.7,0.1,0.2,0.8,0.0,0.3,0,7.21
19,19,5854,Marius Stankevicius,41," D(CLR),DMC",190,83,14(2),14,2,1245,0,0,0.6,0.4,0.2,0.6,0.0,0.4,0,6.58
20,20,22998,Lautaro Acosta,34," AM(LR),FW",168,68,1(5),1,5,189,0,0,0.5,0.5,0.2,1.2,0.5,1.5,0,6.12
21,21,2602,Andrés Palop,48, GK,184,75,33,33,0,2970,0,0,0.0,0.0,0.1,0.2,0.0,0.0,0,6.85
22,22,19482,Lolo,38," D(C),M(C)",182,72,9(12),9,12,925,1,1,0.7,0.3,0.0,0.7,0.0,0.8,0,6.44
23,23,2494,Julien Escudé,43," D(C),DMC",183,79,24,24,0,2149,0,2,0.6,0.2,0.0,0.9,0.0,0.5,0,6.91
24,24,86793,Antonio Luna,31," D(L),M(L)",178,68,1,1,0,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.62
25,25,75498,Enrique Carreño,35, Forward,183,80,0(1),0,1,40,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0,6.31
26,26,2565,Javier Chevantón,42, FW,178,70,0(1),0,1,11,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,5.98
27,27,25644,Javi Varas,40, GK,182,74,5,5,0,450,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0,6.33
28,28,67124,Marc Valiente,35, D(C),187,71,2(1),2,1,176,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.85
29,29,84026,Rodri,32," AM(C),FW",175,74,0(2),0,2,11,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0,6.46
30,30,3929,Sébastien Squillaci,42, D(C),185,80,14(2),14,2,1259,1,1,0.6,0.1,0.0,0.8,0.2,0.1,0,6.72
