,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,43990,Eduardo Salvio,32, M(CR),173,71,17(14),17,14,1623,3,2,1.4,0.7,1.3,0.8,0.1,1.6,0.8,6.83
1,1,7417,Diego,37, M(CLR),174,78,27(3),27,3,2210,3,3,1.9,2.5,1.2,2.4,0.3,1.9,1.2,7.12
2,2,10332,Juanfran,37, D(R),181,71,23(3),23,3,2064,0,5,0.5,0.8,1.0,1.0,0.1,0.6,0.9,7.12
3,3,6176,José Antonio Reyes,39, M(CLR),176,72,8(5),8,5,714,0,2,2.6,2.1,0.9,2.0,0.2,2.7,1.1,6.83
4,4,21501,Arda Turan,35, AM(CLR),177,76,24(9),24,9,2167,3,6,1.4,1.2,0.9,1.4,0.3,1.9,1.2,7.21
5,5,14089,Adrián López,34," M(CLR),FW",183,73,27(9),27,9,2506,7,2,1.7,0.9,0.8,0.6,0.8,1.8,1.2,6.69
6,6,22152,Filipe Luís,37, D(L),181,77,36,36,0,3240,0,3,0.5,1.1,0.8,1.2,0.1,0.8,0.5,7.38
7,7,43982,Silvio,35, D(LR),178,72,8(1),8,1,658,0,0,0.6,0.9,0.7,1.1,0.2,0.3,0.7,6.64
8,8,9253,Antonio López,41, D(L),173,65,2,2,0,160,0,0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,6.04
9,9,19177,Mario Suárez,35," D(C),M(C)",188,80,23(5),23,5,1974,0,0,0.7,0.3,0.5,0.9,0.1,0.8,0.5,6.88
10,10,18701,Radamel Falcao,36, FW,177,72,33(1),33,1,2942,24,3,3.6,1.0,0.5,1.9,1.2,2.8,1.9,7.2
11,11,81928,Pizzi,32, M(CLR),177,71,0(11),0,11,229,1,0,1.1,0.5,0.5,0.5,0.3,0.7,0.4,6.34
12,12,26059,Diego Godín,36, D(C),187,78,26(1),26,1,2256,2,3,0.9,0.2,0.2,0.4,0.2,0.1,0.2,6.85
13,13,10053,Gabi,39, M(C),180,74,30(1),30,1,2624,2,5,1.4,2.1,0.2,1.2,0.0,1.3,1.2,7.28
14,14,80764,Koke,30, M(CLR),176,77,11(14),11,14,1066,2,3,1.2,1.2,0.1,0.6,0.2,1.5,0.8,6.63
15,15,18277,Paulo Assunção,42, M(C),173,70,5(4),5,4,508,0,0,0.1,0.6,0.1,0.3,0.0,0.4,0.2,6.74
16,16,8128,Tiago,41, M(C),184,75,22(2),22,2,1731,0,0,0.7,0.4,0.1,1.3,0.0,0.6,0.7,6.94
17,17,22504,Miranda,38, D(C),186,78,25(2),25,2,2295,1,0,0.6,0.1,0.1,0.5,0.0,0.2,0.3,6.8
18,18,32273,Luis Perea,43, D(CLR),180,76,11(8),11,8,1089,0,0,0.0,0.1,0.1,0.5,0.0,0.1,0.2,6.74
19,19,35771,Álvaro Domínguez,33, D(CL),189,83,22(6),22,6,2026,3,0,0.5,0.1,0.0,0.6,0.1,0.1,0.1,6.76
20,20,32860,Fran Mérida,32, AM(C),177,74,0(3),0,3,71,0,0,1.3,2.0,0.0,0.7,0.0,0.7,0.3,6.84
21,21,109228,Pedro Martín,30, Forward,189,79,0(1),0,1,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0
22,22,32258,Sergio Asenjo,33, GK,189,87,1(1),1,1,156,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.92
23,23,73798,Thibaut Courtois,30, GK,200,96,37,37,0,3262,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.64
