,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,20241,Marcelo,34," D(L),M(L)",174,75,31(1),31,1,2719,3,5,0.9,1.4,2.0,1.8,0.0,1.4,1.1,7.51
1,1,5583,Cristiano Ronaldo,37," M(L),FW",187,83,37(1),37,1,3354,46,12,6.9,1.6,1.9,2.5,0.8,2.1,2.3,8.28
2,2,18285,Lassana Diarra,37, M(C),173,73,15(2),15,2,1147,0,0,0.5,0.5,1.2,0.8,0.0,1.9,0.9,6.99
3,3,13756,Mesut Özil,33, M(CLR),180,76,30(5),30,5,2591,4,17,0.9,2.9,1.1,1.4,0.4,1.9,1.8,7.37
4,4,23110,Ángel Di María,34," M(CLR),FW",180,75,16(7),16,7,1351,5,15,2.1,1.9,1.0,1.6,0.0,1.4,1.6,7.4
5,5,23285,Antonio Adán,35, GK,190,94,1,1,0,90,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.63
6,6,11104,Álvaro Arbeloa,39, D(LR),184,79,26,26,0,2226,0,3,0.2,0.6,0.7,2.0,0.0,1.3,0.6,7.18
7,7,19729,Gonzalo Higuaín,34, FW,186,89,18(17),18,17,1716,22,7,1.7,0.8,0.7,0.5,1.1,1.3,0.8,7.31
8,8,3577,Kaká,40," M(CL),FW",186,78,17(10),17,10,1385,5,7,1.2,1.4,0.7,1.0,0.1,1.6,0.9,6.95
9,9,20592,Fábio Coentrão,34," D(L),M(LR)",178,66,12(8),12,8,1215,0,3,0.5,0.8,0.6,0.8,0.1,0.9,0.7,7.01
10,10,23758,Esteban Granero,35, M(CLR),180,78,7(10),7,10,637,0,1,0.7,0.4,0.5,0.5,0.0,0.5,0.6,6.65
11,11,14296,Karim Benzema,34, FW,185,81,26(8),26,8,2258,21,7,2.9,1.2,0.5,0.6,0.7,1.6,1.2,7.39
12,12,5474,Hamit Altintop,39, M(CR),183,83,1(4),1,4,158,1,0,0.4,0.8,0.4,0.8,0.0,0.2,0.2,6.59
13,13,10105,Pepe,39, D(C),188,81,29,29,0,2550,1,0,0.5,0.3,0.3,1.3,0.2,0.4,0.2,7.21
14,14,13764,Sami Khedira,35, M(C),189,90,20(8),20,8,1880,2,2,1.0,0.5,0.3,0.8,0.1,0.7,0.5,6.85
15,15,6666,Ricardo Carvalho,44, D(C),183,79,7(1),7,1,602,0,1,0.1,0.4,0.3,0.9,0.0,0.1,0.3,7.01
16,16,9909,Sergio Ramos,36, D(CR),184,82,34,34,0,3055,3,4,0.7,0.6,0.2,1.1,0.1,0.4,0.5,7.39
17,17,12575,Raúl Albiol,37, D(C),187,74,5(5),5,5,611,0,0,0.4,0.3,0.2,0.3,0.0,0.0,0.3,7.0
18,18,4961,Xabi Alonso,40, M(C),183,80,35(1),35,1,3143,1,9,0.6,1.8,0.1,1.0,0.0,0.5,0.3,7.48
19,19,67206,José Callejón,35," M(LR),FW",178,73,6(20),6,20,771,5,0,1.0,0.3,0.0,0.5,0.2,0.5,0.2,6.4
20,20,91213,Álvaro Morata,29," AM(L),FW",190,84,0(1),0,1,8,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.16
21,21,2776,Iker Casillas,41, GK,185,84,37,37,0,3330,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.82
22,22,106028,Jesé,29," AM(LR),FW",178,72,0(1),0,1,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.97
23,23,14176,Nuri Sahin,34, M(C),180,73,2(2),2,2,128,0,0,0.8,0.5,0.0,0.5,0.0,0.5,0.0,6.52
24,24,93206,Raphaël Varane,29, D(C),191,81,7(2),7,2,681,1,0,0.9,0.0,0.0,0.2,0.0,0.1,0.3,6.91
