,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,11119,Lionel Messi,35," AM(CR),FW",170,72,37(1),37,1,3375,43,18,4.9,2.5,4.6,2.4,0.6,2.0,1.3,8.84
1,1,50835,Neymar,30," AM(CLR),FW",175,68,29(4),29,4,2573,22,7,2.9,1.6,3.2,2.9,0.5,2.0,1.8,7.96
2,2,9486,Andrés Iniesta,38, M(CL),171,68,19(5),19,5,1590,0,1,1.0,0.8,1.4,1.5,0.0,1.0,0.6,6.96
3,3,22221,Luis Suárez,35," AM(CLR),FW",182,86,25(2),25,2,2180,16,14,2.8,2.2,1.3,1.3,1.6,1.3,2.1,7.69
4,4,106590,Rafinha,30, M(CLR),174,71,13(11),13,11,1152,1,1,0.5,0.3,1.2,1.4,0.0,0.5,1.0,6.8
5,5,44288,Jordi Alba,33," D(L),M(L)",170,68,27,27,0,2335,1,3,0.7,1.0,0.8,0.9,0.1,0.3,1.0,7.22
6,6,5780,Dani Alves,39," D(R),M(CR)",172,70,29(1),29,1,2524,0,6,0.7,1.3,0.8,1.1,0.3,0.9,0.9,7.37
7,7,44055,Pedro,35," M(CLR),FW",169,65,15(20),15,20,1531,6,6,1.1,0.7,0.6,0.6,0.2,0.7,0.5,6.76
8,8,74533,Douglas,32," D(R),M(R)",171,70,1(1),1,1,100,0,0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,6.52
9,9,91387,Martín Montoya,31," D(LR),M(R)",175,73,6(2),6,2,588,0,0,0.4,0.4,0.5,1.0,0.0,0.4,1.0,7.02
10,10,44721,Sergio Busquets,34, DMC,189,76,29(4),29,4,2492,1,2,0.2,0.5,0.5,1.6,0.1,0.5,0.2,7.24
11,11,2302,Xavi,42, DMC,170,68,19(12),19,12,1779,2,8,0.9,1.7,0.5,0.6,0.0,0.4,0.4,7.11
12,12,13471,Adriano,37," D(CLR),M(L)",172,75,10(6),10,6,953,0,1,0.5,0.6,0.4,0.4,0.1,0.3,0.4,7.11
13,13,135242,Sandro Ramírez,27," AM(LR),FW",175,71,0(7),0,7,145,2,0,1.1,0.0,0.4,0.7,0.3,0.1,0.1,6.52
14,14,143158,Munir El Haddadi,27," AM(LR),FW",175,69,7(3),7,3,463,1,1,1.8,0.4,0.4,0.6,0.6,0.7,1.6,6.49
15,15,5881,Jeremy Mathieu,38, D(CL),189,82,23(5),23,5,2105,2,0,0.4,0.2,0.4,0.4,0.0,0.2,0.3,7.13
16,16,83686,Marc Bartra,31," D(CR),DMC",184,70,11(3),11,3,1036,1,3,0.8,0.2,0.4,0.6,0.0,0.1,0.4,7.51
17,17,90782,Sergi Roberto,30," D(R),M(CR)",178,68,4(8),4,8,507,0,0,0.3,0.3,0.3,0.5,0.0,0.2,0.3,6.7
18,18,12712,Gerard Piqué,35, D(C),194,85,26(1),26,1,2385,5,1,0.7,0.1,0.2,0.4,0.0,0.2,0.3,7.43
19,19,22732,Ivan Rakitic,34, M(C),184,78,23(9),23,9,2037,5,7,1.1,1.1,0.2,0.9,0.1,0.6,0.6,7.11
20,20,7415,Javier Mascherano,38," D(C),M(C)",174,73,26(2),26,2,2208,0,0,0.1,0.2,0.2,0.8,0.0,0.3,0.1,7.12
21,21,14199,Claudio Bravo,39, GK,184,80,37,37,0,3330,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.86
22,22,91254,Jordi Masip,33, GK,180,76,1,1,0,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75
23,23,10209,Thomas Vermaelen,36, D(CL),183,80,1,1,0,63,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84
