,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,95977,Joel Campbell,30," AM(LR),FW",178,71,16,16,0,1211,1,0,1.5,1.4,1.8,2.6,0.4,2.1,2.3,6.89
1,1,98113,Espinosa González,30, AM(CLR),173,67,3(3),3,3,289,1,0,1.0,2.0,1.3,0.5,0.0,0.5,0.3,6.72
2,2,243271,Adrián Marín,25," D(L),M(L)",181,73,4,4,0,346,0,0,0.3,0.0,1.3,0.5,0.0,0.3,1.0,7.24
3,3,110297,Denis Cheryshev,31," AM(L),FW",179,74,18(8),18,8,1693,4,9,2.5,1.3,1.2,0.8,0.2,1.1,1.4,7.36
4,4,125543,Luciano Vietto,28," AM(CLR),FW",174,69,17(15),17,15,1895,12,2,2.4,0.7,1.0,1.4,0.6,1.7,1.6,6.79
5,5,14231,Bruno Soriano,38, M(C),184,73,23(1),23,1,2087,2,1,1.0,0.8,0.8,1.2,0.1,1.1,0.4,7.43
6,6,101238,Moi Gómez,28, M(CLR),176,71,17(14),17,14,1613,4,4,0.9,0.9,0.6,0.5,0.1,1.0,1.0,6.6
7,7,14219,Ikechukwu Uche,38, FW,172,70,19(4),19,4,1386,6,1,1.8,0.9,0.6,1.5,0.6,1.4,1.9,6.77
8,8,97659,Gerard Moreno,30," AM(CR),FW",180,77,19(7),19,7,1617,7,3,1.6,0.8,0.5,1.2,0.5,1.4,1.9,6.75
9,9,28112,Giovani dos Santos,33," AM(CLR),FW",174,71,15(11),15,11,1389,1,3,1.5,0.8,0.5,1.0,0.6,0.8,0.6,6.37
10,10,243814,Eric Bailly,28, D(CR),187,77,10,10,0,829,0,0,0.2,0.2,0.5,0.9,0.0,0.2,0.2,7.1
11,11,61014,Mateo Musacchio,32, D(C),180,73,12(2),12,2,1135,3,0,0.4,0.1,0.5,0.8,0.0,0.4,0.7,7.18
12,12,9460,Cani,41, M(CLR),180,75,5(4),5,4,426,0,2,0.1,0.9,0.4,0.7,0.1,0.4,0.9,6.58
13,13,79909,Mario Gaspar,31," D(CR),M(R)",182,74,31(3),31,3,2835,3,2,1.0,0.7,0.4,0.3,0.0,0.3,0.6,7.03
14,14,79558,Víctor Ruiz,33, D(C),184,95,24(1),24,1,2205,0,2,0.3,0.1,0.4,0.6,0.1,0.2,0.2,7.18
15,15,82598,Jonathan dos Santos,32, M(CR),172,74,17(11),17,11,1632,2,1,0.5,0.9,0.4,0.6,0.1,1.0,0.8,6.75
16,16,69965,Jaume Costa,34," D(LR),M(L)",171,62,29(1),29,1,2431,1,0,0.6,0.6,0.4,1.0,0.2,0.3,0.5,6.97
17,17,83504,Tomás Pina,34, M(C),184,78,17(5),17,5,1450,0,3,0.6,0.6,0.4,1.1,0.0,0.7,0.5,6.8
18,18,102234,Manu Trigueros,30," M(CLR),FW",178,75,28(5),28,5,2428,1,1,1.2,1.3,0.3,0.8,0.0,0.8,0.5,6.87
19,19,261718,Sergio Marcos,30, M(C),178,68,5(2),5,2,481,0,0,0.4,1.0,0.3,0.7,0.0,0.4,0.9,6.85
20,20,76810,Gabriel Paulista,31, D(CR),185,72,18(1),18,1,1607,0,0,0.7,0.2,0.2,0.7,0.1,0.2,0.3,7.11
21,21,22056,Bojan Jokic,36," D(CL),M(L)",176,77,6(1),6,1,552,0,0,0.1,0.6,0.1,0.4,0.0,0.0,0.4,6.55
22,22,44389,Chechu Dorado,40, D(C),180,70,13(2),13,2,1151,0,0,0.1,0.3,0.1,0.1,0.0,0.0,0.3,6.65
23,23,28133,Antonio Rukavina,38," D(LR),M(R)",177,74,15(6),15,6,1408,0,0,0.2,0.4,0.0,0.5,0.0,0.1,0.2,6.54
24,24,280663,Aleix García,25, DMC,173,68,0(1),0,1,12,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.96
25,25,276489,Alfonso Pedraza,26," D(L),M(L)",184,73,0(2),0,2,42,0,0,0.5,0.0,0.0,0.5,0.0,1.0,0.5,6.12
26,26,278172,Fran Sol,30, FW,181,77,0(2),0,2,17,0,0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,5.88
27,27,106860,Juan Carlos Sánchez,35, GK,182,72,5(1),5,1,366,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.3,6.38
28,28,32258,Sergio Asenjo,33, GK,189,87,34,34,0,3055,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.93
