,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,91978,Geoffrey Kondogbia,29," D(C),DMC",188,80,5,5,0,441,0,0,0.8,0.0,2.2,2.0,0.0,0.2,0.4,7.19
1,1,247995,Gonçalo Guedes,25," AM(CLR),FW",179,68,27(4),27,4,2301,5,5,1.6,1.1,2.1,2.2,0.1,1.6,1.7,6.83
2,2,367780,Lee Kang-In,21," AM(CR),FW",173,68,15(9),15,9,1267,0,4,1.0,0.9,1.6,1.8,0.1,1.1,1.0,6.61
3,3,392548,Guillem Molina,22, Defender,183,71,1(1),1,1,153,0,0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,6.22
4,4,400357,Yunus Musah,19, AM(CR),178,75,17(15),17,15,1535,1,0,0.2,0.3,1.0,0.9,0.1,0.6,1.4,6.33
5,5,119817,José Gayà,27," D(L),M(L)",172,66,32(1),32,1,2848,1,7,0.7,1.1,1.0,0.9,0.4,0.5,1.2,6.72
6,6,367180,Thierry Correia,23," D(R),M(R)",176,69,25(4),25,4,2140,1,1,0.3,0.6,0.9,1.3,0.1,0.4,0.7,6.7
7,7,313542,Carlos Soler,25, M(CLR),180,76,31(1),31,1,2737,11,8,1.2,1.4,0.8,1.2,0.0,0.4,0.9,7.05
8,8,346183,Uros Racic,24, DMC,193,81,25(6),25,6,2191,1,1,1.1,0.3,0.8,0.8,0.0,0.5,0.9,6.68
9,9,387480,Vicente Esquerdo,23, Midfielder,182,75,3(1),3,1,233,0,0,0.3,0.5,0.5,0.0,0.0,0.3,1.0,6.49
10,10,344119,Maximiliano Gómez,26, FW,186,91,31,31,0,2699,7,1,1.7,0.4,0.5,2.3,1.0,0.7,1.8,6.9
11,11,131051,Jason,28, M(R),178,65,4(13),4,13,434,0,0,0.3,0.4,0.5,0.9,0.0,0.4,0.9,6.14
12,12,110297,Denis Cheryshev,31," AM(L),FW",179,74,13(8),13,8,1105,0,3,1.0,0.8,0.4,0.7,0.1,0.5,1.1,6.42
13,13,369713,Christian Oliva,26, DMC,178,77,1(8),1,8,193,0,2,0.2,0.2,0.3,0.3,0.0,0.1,0.3,6.25
14,14,369560,Álex Blanco,23, M(L),175,70,6(7),6,7,580,1,0,0.5,0.6,0.3,0.6,0.2,1.3,1.5,6.26
15,15,377204,Manu Vallejo,25, FW,167,72,9(21),9,21,940,5,0,0.6,0.2,0.3,0.7,0.1,0.4,1.2,6.33
16,16,322095,Mouctar Diakhaby,25, D(C),189,78,24(2),24,2,2082,1,0,0.4,0.0,0.3,0.3,0.2,0.0,0.4,6.49
17,17,27254,Daniel Wass,33," D(LR),M(CLR)",181,74,35,35,0,2991,4,1,1.1,1.1,0.3,0.9,0.2,0.4,0.8,6.81
18,18,312580,Toni Lato,24, D(L),171,64,8(7),8,7,727,1,0,0.1,0.2,0.2,0.3,0.1,0.3,0.4,6.24
19,19,76810,Gabriel Paulista,31, D(CR),185,72,31,31,0,2717,4,1,0.5,0.2,0.2,0.8,0.0,0.1,0.3,6.82
20,20,19453,Kevin Gameiro,35, FW,172,70,10(17),10,17,1070,4,1,0.6,0.2,0.1,0.3,0.3,0.6,0.9,6.24
21,21,68852,Eliaquim Mangala,31, D(C),188,84,4(3),4,3,320,0,0,0.3,0.0,0.1,0.3,0.3,0.1,0.0,6.37
22,22,329681,Patrick Cutrone,24, FW,183,75,0(7),0,7,100,0,0,0.4,0.1,0.1,0.1,0.1,0.0,0.6,6.03
23,23,392686,Hugo Guillamón,22," D(C),DMC",178,62,21(4),21,4,1991,1,0,0.3,0.0,0.0,1.1,0.0,0.2,0.6,6.58
24,24,136810,Jaume Doménech,31, GK,185,73,28,28,0,2520,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71
25,25,94831,Cristiano Piccini,30, D(R),189,86,0(3),0,3,65,0,0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,6.08
26,26,369558,Ferro,25, D(C),191,83,2(1),2,1,181,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,5.93
27,27,90811,Jasper Cillessen,33, GK,185,83,10,10,0,900,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6.84
28,28,396456,Koba Koindredi,20, Midfielder,184,0,0(2),0,2,13,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6.02
29,29,323250,Rubén Sobrino,30," AM(CLR),FW",185,73,0(5),0,5,45,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,6.03
