,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,14061,Stéphane Sessegnon,38, M(CLR),172,72,27(2),27,2,2358,4,5,2.3,2.2,1.9,3.4,0.0,2.6,0,7.2
1,1,32166,Younousse Sankharé,33, M(C),184,80,7(15),7,15,761,1,2,0.7,0.9,0.7,1.1,0.1,0.8,0,6.54
2,2,1117,Péguy Luyindula,43," AM(C),FW",178,72,23(5),23,5,2135,6,2,1.7,0.8,0.6,1.4,0.8,2.3,0,6.79
3,3,20751,Ceará,42, D(LR),175,75,26(3),26,3,2319,0,1,0.7,0.7,0.6,0.7,0.0,0.6,0,6.93
4,4,1043,Ludovic Giuly,46," D(C),M(C)",164,62,25(6),25,6,1977,3,4,1.6,0.8,0.6,0.6,0.5,1.4,0,6.72
5,5,497,Claude Makelele,49," D(C),M(CR)",174,70,31,31,0,2709,1,2,0.4,0.5,0.5,1.4,0.0,1.3,0,6.82
6,6,21755,Guillaume Hoarau,38, FW,192,85,17(5),17,5,1546,6,3,2.7,1.1,0.5,1.3,0.5,1.8,0,7.17
7,7,14240,Christophe Jallet,38," D(LR),M(L)",178,70,24(11),24,11,2365,3,7,1.0,1.5,0.4,1.0,0.1,0.8,0,7.14
8,8,14116,Clément Chantôme,35, M(C),180,71,11(13),11,13,1016,2,1,0.8,0.5,0.4,1.2,0.0,1.0,0,6.55
9,9,19248,Mevlüt Erdinç,35, FW,181,85,30(1),30,1,2429,15,2,2.9,1.0,0.4,1.2,0.6,2.2,0,7.07
10,10,605,Mateja Kezman,43, AM(L),182,74,3(10),3,10,389,2,1,1.3,0.7,0.4,0.5,0.2,0.8,0,6.48
11,11,1551,Zoumana Camara,43, D(C),182,76,22(1),22,1,1986,0,0,0.1,0.0,0.3,0.7,0.0,0.3,0,6.83
12,12,29576,Granddi N'Goyi,34, M(C),185,77,8(8),8,8,780,0,0,0.3,0.3,0.3,0.4,0.1,0.6,0,6.32
13,13,10193,Jérémy Clément,38, M(C),180,76,33(1),33,1,2872,3,2,0.6,1.0,0.3,1.0,0.0,1.1,0,7.04
14,14,68278,Jean-Eudes Maurice,36, Forward,180,73,3(20),3,20,553,1,1,0.6,0.4,0.3,0.7,0.1,0.6,0,6.25
15,15,1735,Sylvain Armand,42, D(CL),182,82,33,33,0,2967,2,0,0.6,0.5,0.2,1.2,0.0,0.6,0,7.03
16,16,29575,Mamadou Sakho,32, D(C),187,83,32,32,0,2827,0,1,0.2,0.1,0.1,0.8,0.0,0.3,0,6.84
17,17,42948,Apoula Edel,36, GK,184,80,22(1),22,1,1985,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0,6.93
18,18,2349,Gregory Coupet,49, GK,181,80,16,16,0,1435,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0,6.78
19,19,5991,Grégory Bourillon,38," D(C),DMC",187,74,2(4),2,4,232,0,0,0.0,0.2,0.0,0.3,0.0,0.2,0,6.2
20,20,6409,Sammy Traore,46," D(L),DMC",192,82,22(1),22,1,1895,0,0,0.2,0.0,0.0,0.1,0.0,0.1,0,6.65
21,21,66291,Tripy Makonda,32, D(C),180,70,1,1,0,90,0,0,1.0,2.0,0.0,1.0,0.0,2.0,0,6.16
