,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,73078,Alexandre Lacazette,31," M(CLR),FW",175,73,27(4),27,4,2289,3,4,1.2,1.1,1.2,1.9,0.1,1.5,2.1,6.95
1,1,2113,Steed Malbranque,42, M(C),171,75,30(1),30,1,2501,2,7,1.0,1.5,1.1,1.3,0.0,1.3,1.5,7.07
2,2,95423,Rachid Ghezzal,30, AM(CLR),182,70,10(4),10,4,835,1,1,1.0,0.6,1.0,0.9,0.2,1.6,1.4,6.73
3,3,79562,Clément Grenier,31, M(CL),186,72,20(8),20,8,1804,7,6,1.6,1.6,0.8,1.1,0.1,1.5,1.3,7.02
4,4,14308,Bafétimbi Gomis,37, FW,184,77,29(8),29,8,2607,16,4,2.8,0.7,0.7,2.0,1.7,1.9,2.4,6.77
5,5,5369,Michel Bastos,39," D(L),M(CLR)",179,71,7(5),7,5,724,5,0,1.6,1.8,0.7,0.4,0.7,1.1,1.3,7.03
6,6,89931,Samuel Umtiti,28, D(CL),182,75,25(1),25,1,2259,1,0,0.3,0.2,0.6,1.2,0.0,0.3,0.5,7.1
7,7,17432,Mouhamadou Dabo,35, D(LR),176,65,29(1),29,1,2573,0,1,0.2,0.4,0.6,1.4,0.1,0.5,0.5,6.93
8,8,8006,Yoann Gourcuff,36, M(CL),185,82,15(3),15,3,1221,3,2,1.4,1.1,0.6,1.3,0.2,1.1,1.8,6.94
9,9,35958,Aly Cissokho,35," D(L),M(L)",181,75,2,2,0,180,0,0,0.0,0.5,0.5,1.0,0.0,1.0,0.5,6.74
10,10,44755,Gueida Fofana,31," D(R),DMC",182,74,17(10),17,10,1693,2,2,0.7,0.6,0.5,0.5,0.0,0.6,0.8,6.81
11,11,2223,Anthony Réveillere,42, D(LR),181,76,27,27,0,2326,1,1,0.3,1.0,0.4,0.4,0.1,0.9,0.4,6.95
12,12,79560,Maxime Gonalons,33," D(C),M(C)",187,76,35,35,0,3134,3,0,0.5,0.3,0.4,1.5,0.0,1.0,0.8,7.28
13,13,36641,Fabián Monzón,35," D(L),M(L)",179,75,2(3),2,3,200,0,1,0.4,0.2,0.4,0.6,0.0,0.0,0.4,6.34
14,14,14488,Milan Bisevac,39, D(C),185,81,29(1),29,1,2576,0,0,0.1,0.1,0.3,0.8,0.0,0.1,0.1,6.82
15,15,14342,Lisandro López,39," AM(CL),FW",174,74,26(5),26,5,2266,11,2,2.6,1.1,0.3,0.8,0.6,1.2,1.4,6.81
16,16,6890,Jimmy Briand,37," M(LR),FW",181,84,8(7),8,7,722,1,1,0.7,0.6,0.3,0.9,0.2,0.6,1.2,6.32
17,17,114168,Yassine Benzia,28," AM(CLR),FW",179,77,3(13),3,13,324,0,1,0.8,0.5,0.2,1.0,0.0,0.9,0.9,6.34
18,18,19663,Arnold Mvuemba,37, DMC,172,67,5(12),5,12,596,1,0,0.6,0.5,0.2,0.2,0.0,0.6,0.1,6.36
19,19,29106,Dejan Lovren,33, D(C),188,84,18,18,0,1561,1,0,0.6,0.1,0.1,1.2,0.0,0.3,0.4,6.87
20,20,108585,Alassane Plea,29," AM(CLR),FW",181,79,0(1),0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
21,21,71833,Anthony Lopes,32, GK,184,81,5,5,0,450,0,0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,7.66
22,22,122366,Anthony Martial,26," AM(LR),FW",181,76,0(3),0,3,47,0,0,0.7,0.0,0.0,0.7,0.0,0.3,1.0,5.96
23,23,33630,Bakary Koné,34, D(C),188,80,14,14,0,1260,1,0,0.4,0.1,0.0,0.9,0.0,0.1,0.1,7.02
24,24,121849,Clinton N'Jie,29," AM(LR),FW",176,73,0(4),0,4,38,0,0,0.0,0.0,0.0,0.5,0.3,0.5,0.0,6.03
25,25,9242,Cris,45, D(C),184,76,2,2,0,175,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,7.42
26,26,129827,Fares Bahlouli,27, Midfielder,182,82,0(1),0,1,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17
27,27,25604,Hugo Lloris,35, GK,188,82,2,2,0,180,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18
28,28,42248,Jérémy Pied,33," D(LR),M(CLR)",174,69,0(1),0,1,18,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.17
29,29,95422,Jordan Ferri,30, M(C),173,73,0(7),0,7,142,0,0,0.0,0.0,0.0,0.3,0.0,0.0,1.3,6.18
30,30,2446,Rémy Vercoutre,42, GK,185,78,31,31,0,2790,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6.8
