,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,299513,Ousmane Dembélé,25," AM(CLR),FW",178,67,22(4),22,4,1937,12,5,2.2,1.7,4.1,1.2,0.3,2.3,2.5,7.55
1,1,93307,Paul-Georges Ntep,30," AM(LR),FW",180,80,11(3),11,3,927,2,3,1.5,1.5,2.2,1.6,0.4,1.6,1.9,6.98
2,2,91989,Juan Quintero,29, AM(C),168,67,9(3),9,3,817,1,2,1.3,1.3,2.2,0.8,0.0,1.5,1.3,6.73
3,3,280766,Jérémie Boga,25," AM(CLR),FW",172,68,6(21),6,21,967,2,1,0.8,0.4,2.0,0.6,0.3,0.9,0.9,6.5
4,4,77931,Yacouba Sylla,31, DMC,184,79,18(2),18,2,1500,0,1,0.5,0.5,1.4,1.0,0.1,1.6,1.2,6.84
5,5,69611,Ermir Lenjani,33," D(L),M(L)",175,65,0(1),0,1,77,0,0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,6.29
6,6,34011,Ludovic Baal,36," D(L),M(L)",176,75,18(4),18,4,1521,0,3,0.1,0.7,1.0,1.0,0.0,1.7,1.1,6.76
7,7,43415,Benjamin André,32," D(R),M(CLR)",180,76,30(2),30,2,2639,0,2,0.7,0.8,0.9,2.2,0.1,2.4,1.2,7.25
8,8,110424,Pedro Henrique,32," AM(LR),FW",179,72,15(8),15,8,1217,3,1,1.6,0.5,0.7,1.3,0.4,1.1,1.0,6.66
9,9,30524,Kamil Grosicki,34, AM(LR),180,78,14(19),14,19,1525,9,3,1.5,0.8,0.7,0.2,0.2,1.1,1.3,6.62
10,10,29594,Cheikh M'Bengue,34," D(CL),M(L)",182,79,21(2),21,2,1897,0,0,0.2,0.4,0.7,1.0,0.2,0.9,0.6,6.99
11,11,116317,Abdoulaye Doucouré,29, M(C),184,75,11(5),11,5,944,2,2,1.3,1.3,0.6,0.3,0.3,1.8,0.8,6.76
12,12,8006,Yoann Gourcuff,36, M(CL),185,82,8(4),8,4,626,2,0,0.8,0.8,0.6,0.8,0.2,1.9,0.6,6.55
13,13,67474,Pedro Mendes,32, D(CR),186,78,21(1),21,1,1853,0,0,0.4,0.3,0.5,1.4,0.0,0.2,0.6,6.84
14,14,27976,Giovanni Sio,33," AM(LR),FW",180,78,28(6),28,6,2605,7,7,2.1,0.9,0.5,1.1,0.9,1.5,2.5,6.66
15,15,121720,Mexer,34, D(C),188,79,16,16,0,1310,0,0,0.3,0.0,0.4,0.4,0.0,0.3,0.4,6.67
16,16,1735,Sylvain Armand,42, D(CL),182,82,33(1),33,1,2991,1,1,0.4,0.4,0.4,0.5,0.0,0.4,0.1,6.87
17,17,22418,Gelson Fernandes,36, DMC,179,70,33,33,0,2902,1,1,0.2,0.2,0.3,0.5,0.0,0.8,0.5,6.87
18,18,302294,Sébastien Salles-Lamonge,26, Midfielder,170,67,1(2),1,2,108,0,0,1.0,1.3,0.3,0.3,0.0,1.7,0.0,6.35
19,19,129648,Steven Moreira,28," D(LR),M(R)",178,72,14(2),14,2,1228,0,0,0.1,0.6,0.3,0.3,0.1,0.9,0.6,6.52
20,20,43031,Fallou Diagne,33," D(CR),DMC",185,75,21(1),21,1,1860,5,0,0.7,0.1,0.3,0.6,0.1,0.2,0.3,7.02
21,21,82622,Abdoulaye Diallo,30, GK,191,82,7,7,0,630,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,6.74
22,22,298545,Joris Gnagnon,25, D(C),182,89,2(5),2,5,224,0,0,0.4,0.1,0.1,0.4,0.1,0.4,0.0,6.17
23,23,23618,Romain Danzé,36," D(R),M(CR)",184,73,19(2),19,2,1617,0,3,0.3,0.7,0.1,0.3,0.2,0.4,0.4,6.82
24,24,109941,Mehdi Zeffane,30," D(LR),M(R)",176,73,9(7),9,7,812,1,1,0.8,0.4,0.1,0.6,0.1,0.9,0.8,6.54
25,25,29586,Benoît Costil,35, GK,188,88,31,31,0,2790,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.62
26,26,139837,Kermit Erasmus,32, Forward,167,63,0(2),0,2,33,0,0,0.0,1.5,0.0,0.0,1.0,0.5,0.0,6.2
27,27,30781,Mouhamadou Bezannier,35, FW,192,80,0(1),0,1,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.05
28,28,297541,Nicolas Janvier,24, M(C),171,71,0(3),0,3,27,0,0,0.3,0.7,0.0,0.7,0.0,0.3,0.7,6.15
29,29,16032,Ola Toivonen,36," AM(C),FW",189,78,0(1),0,1,16,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
30,30,129819,Wesley Saïd,27," AM(CLR),FW",171,75,0(1),0,1,9,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.23
