,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,135891,Allan Saint-Maximin,25," AM(CLR),FW",173,67,34,34,0,2914,6,3,2.2,1.7,4.2,2.0,0.2,2.4,3.6,7.21
1,1,361816,Youcef Atal,26," D(R),M(R)",176,69,25(4),25,4,2261,6,0,1.2,0.8,3.5,2.0,0.3,1.1,2.8,7.48
2,2,294056,Danilo Barbosa,26," D(C),DMC",183,74,18(4),18,4,1552,0,0,1.0,0.5,1.5,1.5,0.0,1.8,1.9,6.61
3,3,336074,Myziane Maolida,23," AM(LR),FW",183,80,10(4),10,4,956,0,3,1.3,1.4,1.4,0.5,0.2,1.9,2.7,6.54
4,4,236520,Mickaël Le Bihan,32, FW,185,85,2(3),2,3,203,1,0,1.0,0.2,1.2,0.6,0.2,1.0,0.6,6.38
5,5,124721,Adrien Tameze,28, M(C),180,78,34(3),34,3,2951,0,3,0.5,0.7,1.1,1.0,0.0,0.9,1.2,6.8
6,6,333437,Bassem Srarfi,25," D(L),M(LR)",176,71,8(14),8,14,813,1,0,0.5,0.5,1.0,1.0,0.2,0.4,1.0,6.38
7,7,300634,Jean-Victor Makengo,24, AM(CL),177,75,11(14),11,14,1025,1,0,0.5,0.5,1.0,0.5,0.0,1.3,1.1,6.35
8,8,344645,Ignatius Ganago,23," AM(LR),FW",179,82,9(11),9,11,1034,2,0,1.4,0.6,0.8,0.6,0.1,0.8,1.3,6.45
9,9,329246,Patrick Burner,26, D(R),168,61,15(2),15,2,1354,0,0,0.5,0.3,0.8,0.7,0.0,0.6,1.2,6.7
10,10,147810,Racine Coly,26," D(L),M(L)",185,70,6(3),6,3,503,0,1,0.4,0.3,0.7,0.7,0.0,0.9,1.1,6.43
11,11,123873,Wylan Cyprien,27, M(C),180,75,27(2),27,2,2364,4,2,1.8,2.1,0.7,1.7,0.0,0.8,1.0,6.91
12,12,368271,Eddy Sylvestre,23, AM(R),174,69,3(2),3,2,266,0,1,0.4,0.4,0.6,1.2,0.0,1.2,2.0,6.25
13,13,329559,Maxime Pelican,24, Forward,178,65,1(1),1,1,91,0,0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,6.0
14,14,301243,Pierre Lees-Melou,29, M(CLR),185,69,26(4),26,4,2393,2,1,1.3,1.0,0.5,1.1,0.0,0.8,1.1,6.85
15,15,260809,Olivier Boscagli,24," D(CL),DMC",181,68,10(4),10,4,863,0,1,0.3,0.8,0.4,1.6,0.0,0.3,0.7,6.67
16,16,372370,Assil Jaziri,23, Midfielder,0,0,0(3),0,3,34,0,0,1.3,0.3,0.3,0.3,0.0,0.0,0.3,6.27
17,17,33799,Mario Balotelli,32, FW,189,88,9(1),9,1,759,0,1,3.3,0.8,0.3,1.5,0.3,0.9,3.0,6.33
18,18,125326,Rémi Walter,27, M(CR),174,73,8(11),8,11,828,2,0,0.5,0.5,0.3,0.7,0.0,0.6,0.6,6.35
19,19,322747,Malang Sarr,23, D(CL),182,73,34(1),34,1,2995,1,1,0.3,0.2,0.3,0.9,0.0,0.3,0.7,6.85
20,20,351344,Andy Pelmard,22, D(CR),180,69,4,4,0,278,0,0,0.0,0.3,0.3,0.5,0.0,0.3,0.8,6.31
21,21,112220,Christophe Hérelle,30, D(CR),188,75,33,33,0,2938,0,0,0.5,0.2,0.2,1.4,0.0,0.2,0.5,7.07
22,22,318485,Ihsan Sacko,25, AM(L),183,70,4(9),4,9,441,0,1,0.5,0.4,0.2,0.5,0.3,0.6,1.6,6.13
23,23,349700,Mohamed Lamine Diaby,21, Forward,188,82,2(4),2,4,161,0,0,0.3,0.2,0.2,0.5,0.5,0.0,0.8,6.08
24,24,6683,Dante,38, D(C),188,87,36,36,0,3227,1,1,0.6,0.2,0.1,0.4,0.0,0.1,0.3,6.87
25,25,14240,Christophe Jallet,38," D(LR),M(L)",178,70,11(3),11,3,886,1,0,0.3,0.2,0.1,0.2,0.0,0.2,0.9,6.67
26,26,369714,Paul Wade,22, Midfielder,179,67,0(1),0,1,7,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.87
27,27,373108,Pedro Brazão,19, AM(C),172,64,0(1),0,1,13,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.13
28,28,130304,Walter Benítez,29, GK,191,91,35,35,0,3150,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.05
29,29,140569,Yoan Cardinale,28, GK,181,84,3,3,0,270,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12
