,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,296576,Gelson Martins,27, M(LR),173,72,20(3),20,3,1562,3,2,1.1,0.8,1.7,1.6,0.2,1.3,2.5,6.88
1,1,361284,Sofiane Diop,22, AM(CLR),175,65,24(8),24,8,2036,7,1,1.4,0.9,1.4,1.8,0.1,1.1,1.7,6.95
2,2,345409,Henry Onyekuru,25," AM(LR),FW",175,70,2(2),2,2,141,0,1,0.5,0.8,1.0,0.8,0.5,0.5,1.0,6.48
3,3,335692,Krépin Diatta,23," M(LR),FW",173,68,3(9),3,9,384,1,0,0.3,0.2,1.0,0.7,0.3,0.8,0.6,6.41
4,4,362470,Youssouf Fofana,23, DMC,176,0,35,35,0,2883,0,3,1.0,0.8,0.9,0.9,0.0,0.7,1.3,6.81
5,5,244560,Aleksandr Golovin,26, M(CLR),180,69,12(9),12,9,1072,5,9,1.3,1.7,0.9,0.6,0.1,0.6,1.4,7.16
6,6,89946,Wissam Ben Yedder,32," AM(C),FW",170,68,32(5),32,5,2626,20,7,2.2,1.1,0.8,1.1,0.5,1.2,1.9,7.06
7,7,353423,Aurélien Tchouaméni,22, DMC,185,80,36,36,0,3073,2,3,1.5,0.5,0.6,1.7,0.0,0.9,1.4,7.16
8,8,320313,Caio Henrique,25," D(L),M(CL)",178,68,26(5),26,5,2376,0,4,0.2,0.8,0.5,0.4,0.1,0.2,1.2,6.78
9,9,29072,Stevan Jovetic,32," AM(CL),FW",183,79,6(23),6,23,790,6,0,1.6,0.4,0.5,0.5,0.1,0.4,0.8,6.5
10,10,367162,Giulian Biancone,22," D(CLR),M(LR)",187,0,1(1),1,1,92,0,0,0.5,1.0,0.5,1.0,0.0,1.0,0.5,6.69
11,11,92812,Kevin Volland,30," AM(CLR),FW",179,85,34(1),34,1,2789,16,7,1.6,0.9,0.5,1.3,0.4,1.1,2.3,7.06
12,12,398373,Eliot Matazo,20, DMC,0,0,3(7),3,7,313,1,1,0.3,0.3,0.4,0.3,0.0,0.2,0.5,6.27
13,13,236546,Ruben Aguilar,29," D(R),M(R)",172,71,27(6),27,6,2233,1,3,0.2,1.2,0.4,1.1,0.0,0.4,1.2,6.85
14,14,332270,Pietro Pellegri,21, FW,196,78,0(16),0,16,222,1,0,0.6,0.1,0.3,0.6,0.3,0.4,0.6,6.07
15,15,8040,Cesc Fàbregas,35," M(CL),FW",180,77,7(14),7,14,875,2,3,0.5,1.2,0.3,0.6,0.0,0.4,0.8,6.65
16,16,300426,Axel Disasi,24, D(C),190,86,24(5),24,5,2017,3,0,0.6,0.1,0.3,0.7,0.0,0.1,0.2,6.63
17,17,10454,Djibril Sidibé,30," D(CLR),M(R)",182,71,21(9),21,9,1979,0,2,0.2,0.8,0.3,0.7,0.0,0.2,0.7,6.76
18,18,398372,Chrislain Matsima,20, Defender,192,0,3(6),3,6,349,0,0,0.4,0.2,0.2,0.1,0.0,0.2,0.1,6.27
19,19,328968,Fodé Ballo-Touré,25," D(L),M(L)",182,70,6(18),6,18,649,0,3,0.1,0.3,0.1,0.5,0.0,0.2,0.3,6.28
20,20,365406,Benoît Badiashile,21, D(C),194,75,32(3),32,3,2873,2,1,0.7,0.2,0.1,0.4,0.1,0.1,0.4,6.79
21,21,369712,Florentino,23, DMC,183,73,2(7),2,7,238,0,0,0.1,0.3,0.1,0.2,0.0,0.1,0.2,6.14
22,22,121417,Guillermo Maripán,28, D(C),193,84,22(6),22,6,2088,5,1,0.5,0.1,0.1,0.3,0.0,0.0,0.3,6.8
23,23,89928,Benjamin Lecomte,31, GK,186,78,28,28,0,2520,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.52
24,24,398374,Enzo Millot,20, Midfielder,174,66,0(2),0,2,39,0,0,1.0,0.5,0.0,0.5,0.0,0.5,0.5,6.37
25,25,139111,Jean-Eudes Aholou,28, DMC,186,71,0(2),0,2,34,0,0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,6.25
26,26,303208,Radoslaw Majecki,22, GK,194,75,1,1,0,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15
27,27,383864,Strahinja Pavlovic,21, D(C),194,86,0(1),0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
28,28,21682,Vito Mannone,34, GK,188,77,9,9,0,810,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.23
29,29,345987,Willem Geubbels,21, Forward,185,72,2(12),2,12,287,1,0,0.4,0.2,0.0,0.1,0.1,0.2,1.0,6.15
