,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,12141,Jaime Valdés,41, AM(C),172,66,25(8),25,8,2217,7,2,1.8,1.7,2.1,1.9,0.2,2.1,0,7.15
1,1,15438,Fabio Ceravolo,35, FW,180,73,9(18),9,18,1145,3,0,0.8,0.7,0.9,0.9,0.2,1.6,0,6.44
2,2,10705,Edgar Barreto,38, M(C),180,79,3(1),3,1,300,0,0,2.5,1.5,0.8,1.3,0.0,0.0,0,7.05
3,3,25485,Tiberio Guarente,36, DMC,180,67,32,32,0,2816,1,6,1.9,1.2,0.5,1.2,0.0,0.7,0,7.1
4,4,12492,György Garics,38," D(R),M(R)",183,76,28(2),28,2,2549,0,0,0.6,0.8,0.5,0.6,0.0,1.1,0,6.72
5,5,34333,Miguel Layún,34," D(LR),M(CLR)",180,76,0(2),0,2,31,0,0,0.5,0.5,0.5,0.5,0.0,0.5,0,6.51
6,6,18723,Federico Peluso,38," D(CL),M(L)",187,82,17(7),17,7,1675,1,1,0.3,0.4,0.5,1.7,0.0,0.3,0,6.84
7,7,10433,Ferreira Pinto,42," D(C),M(R)",178,70,21(2),21,2,1527,3,1,1.5,1.3,0.4,0.7,0.3,1.0,0,6.97
8,8,13901,Robert Acquafresca,35, FW,184,67,10(2),10,2,881,1,0,1.8,0.5,0.4,1.6,1.2,0.5,0,6.48
9,9,23043,Simone Padoin,38," D(LR),M(CLR)",179,73,36,36,0,3224,2,2,0.9,0.9,0.4,1.9,0.1,1.1,0,6.73
10,10,1963,Sergio Volpi,48, Midfielder,174,69,1(4),1,4,142,0,0,0.4,0.2,0.4,0.6,0.0,0.2,0,6.47
11,11,10860,Fabio Caserta,44," D(C),DMC",180,71,5(9),5,9,552,0,1,1.3,0.8,0.4,1.1,0.0,0.9,0,6.49
12,12,151,Cristiano Doni,49, AM(CL),185,79,23(7),23,7,2035,2,3,2.4,1.5,0.3,3.1,0.1,1.7,0,6.82
13,13,5612,Simone Tiribocchi,44," AM(L),FW",180,79,28(9),28,9,2484,11,2,2.2,0.6,0.3,1.4,1.5,1.4,0,6.7
14,14,6638,Gianpaolo Bellini,42, D(LR),178,75,29,29,0,2547,1,0,0.3,0.7,0.2,1.3,0.0,0.7,0,7.06
15,15,1136,Nicola Amoruso,48," AM(L),FW",186,75,12(3),12,3,1047,1,0,1.0,1.2,0.2,1.9,0.5,2.7,0,6.52
16,16,1969,Diego De Ascentis,46, M(CR),178,77,14(3),14,3,1130,1,1,0.4,0.8,0.2,1.0,0.0,0.6,0,6.63
17,17,13720,Paolo Bianco,45, D(C),184,77,20(1),20,1,1863,0,0,0.3,0.0,0.1,1.0,0.0,0.1,0,6.67
18,18,17953,Ferdinando Coppola,44, GK,188,86,7(1),7,1,673,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0,6.52
19,19,11348,Leonardo Talamonti,40, D(CL),183,77,15(2),15,2,1312,0,0,0.2,0.2,0.1,1.4,0.0,0.1,0,6.85
20,20,12542,Daniele Capelli,36, D(CR),184,82,10,10,0,830,0,1,0.2,0.7,0.1,0.6,0.1,0.1,0,6.79
21,21,2565,Javier Chevantón,42, FW,178,70,3(9),3,9,388,2,1,1.5,0.3,0.1,1.0,0.7,2.2,0,6.3
22,22,42879,Andrea Consigli,35, GK,189,82,31,31,0,2748,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0,6.78
23,23,23313,Christian Tiboni,34, Forward,189,78,1(1),1,1,94,0,0,0.5,0.0,0.0,0.0,0.0,1.0,0,5.99
24,24,40384,Giacomo Bonaventura,33, M(CLR),180,75,0(1),0,1,11,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0,6.32
25,25,35640,Ivan Radovanovic,34," D(C),DMC",186,80,3(9),3,9,418,0,0,0.7,0.2,0.0,0.7,0.0,0.4,0,6.35
26,26,74921,Manolo Gabbiadini,30," AM(CLR),FW",181,75,0(2),0,2,23,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0,6.13
27,27,15845,Maximiliano Pellegrino,42," D(L),DMC",189,81,6,6,0,473,0,0,0.0,0.0,0.0,0.8,0.0,0.0,0,6.58
28,28,32396,Nicola Madonna,35, Defender,182,72,2(4),2,4,148,0,0,0.2,0.2,0.0,0.8,0.3,0.5,0,6.07
29,29,6167,Paolo Zanetti,39, Midfielder,184,76,2,2,0,99,0,0,0.5,0.0,0.0,0.0,0.0,1.0,0,6.08
30,30,1657,Thomas Manfredini,42, D(C),182,84,26,26,0,2217,1,2,0.6,0.4,0.0,1.5,0.2,0.1,0,7.19
