,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,4580,Mirko Vucinic,39, FW,186,76,29(3),29,3,2312,8,8,3.2,1.7,1.6,1.5,0.4,3.8,2.4,7.36
1,1,2579,Andrea Pirlo,43, M(C),177,68,37,37,0,3318,3,13,2.1,3.4,1.1,1.8,0.0,1.9,0.7,7.88
2,2,72296,Emanuele Giaccherini,37, M(CLR),167,60,9(14),9,14,1198,1,2,1.3,1.6,1.0,0.7,0.2,1.4,0.9,6.83
3,3,20211,Claudio Marchisio,36, M(C),180,74,35(1),35,1,3047,9,3,2.1,1.4,0.9,0.8,0.1,1.6,0.8,7.43
4,4,12722,Paolo De Ceglie,36," D(L),M(CL)",184,75,16(5),16,5,1351,1,2,0.7,0.7,0.8,1.1,0.1,1.0,0.5,6.98
5,5,14044,Eljero Elia,35," AM(LR),FW",176,70,1(3),1,3,94,0,0,1.0,0.3,0.8,0.8,0.0,1.0,1.3,6.32
6,6,9894,Simone Pepe,39, M(C),178,73,25(6),25,6,2207,6,3,2.0,1.5,0.7,1.3,0.5,1.1,0.8,7.01
7,7,484,Alessandro Del Piero,47," AM(CL),FW",173,73,4(19),4,19,501,3,2,1.3,1.0,0.6,0.8,0.5,1.2,0.3,6.57
8,8,25008,Arturo Vidal,35, M(CR),180,75,30(3),30,3,2639,7,3,2.3,1.5,0.6,1.6,0.1,2.2,1.2,7.68
9,9,9730,Fabio Quagliarella,39, FW,180,79,9(14),9,14,882,4,0,2.1,0.8,0.5,1.3,0.3,1.2,0.7,6.7
10,10,9991,Giorgio Chiellini,38, D(C),187,85,34,34,0,3025,2,1,1.0,0.9,0.5,1.9,0.0,0.7,0.4,7.78
11,11,4644,Marco Borriello,40, FW,180,73,6(7),6,7,587,2,1,1.9,0.7,0.5,1.2,0.9,2.1,1.3,6.65
12,12,31161,Marcelo Estigarribia,35," D(L),M(CLR)",181,71,9(5),9,5,722,1,1,1.1,0.6,0.4,0.6,0.0,0.6,0.6,6.68
13,13,10119,Milos Krasic,37, M(R),182,74,4(3),4,3,304,1,0,0.7,0.6,0.4,1.0,0.9,0.9,0.7,6.46
14,14,15302,Stephan Lichtsteiner,38," D(R),M(R)",182,72,34(1),34,1,2966,2,2,0.5,0.7,0.4,1.5,0.1,0.7,0.9,6.97
15,15,30635,Martín Cáceres,35," D(CLR),M(R)",180,78,6(5),6,5,710,1,0,0.7,0.5,0.4,0.4,0.1,0.7,0.5,6.88
16,16,25079,Alessandro Matri,38, FW,183,80,23(8),23,8,1925,10,4,2.2,1.2,0.4,1.0,1.3,1.6,1.6,6.77
17,17,23043,Simone Padoin,38," D(LR),M(CLR)",179,73,3(3),3,3,300,1,0,1.2,0.8,0.3,0.7,0.0,0.5,0.7,6.8
18,18,20664,Leonardo Bonucci,35, D(C),190,85,29(4),29,4,2727,3,1,0.3,0.3,0.3,0.4,0.0,0.0,0.5,7.24
19,19,6075,Andrea Barzagli,41, D(CR),187,87,34(1),34,1,3014,1,0,0.3,0.1,0.2,0.8,0.0,0.2,0.3,7.23
20,20,3328,Gianluigi Buffon,44, GK,192,84,35,35,0,3150,0,0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,6.92
21,21,2833,Fabio Grosso,44, D(CL),190,82,2,2,0,180,0,0,0.5,1.5,0.0,0.5,0.0,1.0,1.0,7.06
22,22,79316,Luca Marrone,32," D(C),DMC",186,75,1(2),1,2,112,1,1,0.7,0.3,0.0,0.3,0.0,0.3,0.0,7.07
23,23,9956,Marco Storari,45, GK,187,76,3,3,0,270,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57
24,24,6165,Michele Pazienza,40, DMC,178,75,1(7),1,7,143,0,0,0.3,0.3,0.0,0.3,0.0,0.3,0.0,6.33
