,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,33799,Mario Balotelli,32, FW,189,88,12(1),12,1,1145,12,0,5.9,1.5,3.0,5.2,0.7,2.3,2.3,8.23
1,1,26854,Kevin Constant,35," D(L),M(CL)",184,80,20(5),20,5,1870,0,1,0.3,0.9,2.4,1.0,0.0,0.7,0.6,7.2
2,2,23158,Alexandre Pato,33," M(CLR),FW",175,72,3(1),3,1,210,0,1,0.5,1.0,2.0,1.0,1.3,1.8,0.5,6.34
3,3,70087,Stephan El Shaarawy,29," AM(CLR),FW",178,72,34(3),34,3,2836,16,4,2.8,1.5,1.2,0.9,0.5,1.4,1.4,7.32
4,4,23206,Ignazio Abate,35," D(R),M(R)",180,73,25(2),25,2,2292,0,2,0.3,1.0,1.2,0.7,0.1,0.6,0.7,7.13
5,5,17491,Urby Emanuelson,36," D(L),M(CLR)",176,68,8(4),8,4,740,1,3,1.1,2.1,1.2,1.5,0.3,1.4,0.8,6.96
6,6,58761,M'Baye Niang,27," AM(LR),FW",184,75,9(11),9,11,869,0,1,1.3,0.7,1.2,1.1,0.2,1.2,1.3,6.68
7,7,31402,Bojan,32," AM(CLR),FW",170,65,5(14),5,14,730,3,2,1.3,1.3,1.1,0.7,0.0,0.8,1.0,6.7
8,8,14247,Robinho,38," AM(CLR),FW",172,60,11(12),11,12,1021,2,5,0.9,1.6,1.1,1.1,0.4,0.9,1.2,6.78
9,9,9974,Riccardo Montolivo,37, M(C),182,79,31(1),31,1,2702,4,2,1.8,1.1,1.0,1.3,0.0,1.3,0.7,7.47
10,10,2796,Cristian Zaccardo,40, D(CR),184,77,0(1),0,1,45,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.95
11,11,10015,Djamel Mesbah,37," D(L),M(L)",179,75,1,1,0,90,0,0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,6.22
12,12,107275,Mattia De Sciglio,29," D(CLR),M(LR)",182,78,25(2),25,2,2225,0,2,0.3,1.1,0.9,0.7,0.0,0.6,0.5,7.28
13,13,11867,Kevin-Prince Boateng,35," M(CLR),FW",187,85,25(4),25,4,2135,2,4,3.2,1.8,0.7,1.8,0.3,1.1,1.4,7.01
14,14,5869,Luca Antonini,40," D(CL),M(L)",182,70,5(1),5,1,425,0,0,0.2,1.0,0.7,0.7,0.5,0.7,0.8,6.75
15,15,2303,Philippe Mexes,40, D(C),187,82,25,25,0,2188,1,2,0.7,0.6,0.6,0.4,0.0,0.1,0.4,7.32
16,16,6321,Mathieu Flamini,38, M(C),178,67,15(3),15,3,1294,4,1,1.5,0.5,0.6,0.8,0.1,0.4,0.7,7.13
17,17,14063,Cristián Zapata,36, D(C),187,82,22(1),22,1,1930,0,1,0.2,0.3,0.5,0.6,0.0,0.4,0.3,7.26
18,18,5689,Mario Yepes,46, D(C),186,83,13(1),13,1,1179,0,0,0.4,0.4,0.4,1.1,0.1,0.2,0.1,7.29
19,19,191,Massimo Ambrosini,45, M(C),182,72,17(4),17,4,1244,0,1,0.8,0.4,0.4,1.0,0.0,0.6,0.5,6.88
20,20,6166,Sulley Muntari,38, M(C),179,76,11(4),11,4,969,1,0,1.5,0.5,0.4,0.5,0.0,1.0,0.6,6.89
21,21,4608,Nigel de Jong,37, M(C),174,72,10(2),10,2,893,1,0,0.5,0.6,0.3,1.0,0.1,0.7,0.3,6.94
22,22,19553,Antonio Nocerino,37, M(C),175,74,20(6),20,6,1702,2,1,1.1,0.8,0.2,1.1,0.2,0.8,0.8,6.43
23,23,9975,Giampaolo Pazzini,38, FW,180,77,15(15),15,15,1624,15,3,1.8,0.6,0.2,1.6,0.4,1.4,1.0,6.84
24,24,54968,Francesco Acerbi,34, D(C),192,88,5(1),5,1,471,0,0,0.5,0.0,0.2,0.7,0.0,0.3,0.2,7.08
25,25,31792,Bakaye Traoré,37, M(C),185,72,1(6),1,6,111,0,0,0.7,0.3,0.1,0.4,0.0,0.6,0.1,6.16
26,26,2247,Daniele Bonera,41, D(CR),183,84,13,13,0,1130,0,0,0.2,0.2,0.1,1.2,0.0,0.0,0.0,7.03
27,27,2533,Christian Abbiati,45, GK,191,92,28,28,0,2445,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.78
28,28,6022,Marco Amelia,40, GK,190,90,10(1),10,1,976,0,0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,6.32
