,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,41237,Jonathan Biabiany,34," M(LR),FW",177,73,7(13),7,13,861,1,2,1.0,1.0,2.0,0.7,0.1,0.9,1.3,6.87
1,1,91978,Geoffrey Kondogbia,29," D(C),DMC",188,80,23(3),23,3,1995,1,0,1.5,0.6,2.0,1.5,0.0,1.3,1.1,7.02
2,2,29072,Stevan Jovetic,32," AM(CL),FW",183,79,18(8),18,8,1532,6,2,2.7,1.2,1.6,2.0,0.4,1.7,1.8,6.89
3,3,87449,Marcelo Brozovic,29, M(CR),181,68,25(7),25,7,2388,4,5,1.8,1.6,1.5,0.9,0.1,1.2,1.4,7.06
4,4,22701,Fredy Guarín,36, M(CR),183,77,11(5),11,5,971,1,1,1.8,0.8,1.4,0.4,0.0,1.4,0.6,6.71
5,5,14871,Rodrigo Palacio,40," AM(CLR),FW",180,75,15(12),15,12,1399,2,4,0.6,1.1,1.2,2.0,0.6,1.0,1.3,6.65
6,6,68034,Adem Ljajic,31," AM(CLR),FW",182,80,16(9),16,9,1445,3,3,1.5,2.2,1.2,0.8,0.3,1.0,1.0,6.82
7,7,125793,Alex Telles,29," D(L),M(L)",181,71,18(3),18,3,1578,0,1,0.6,1.2,1.1,0.6,0.0,0.5,0.5,7.08
8,8,64271,Danilo D'Ambrosio,34," D(CLR),M(LR)",180,75,18(2),18,2,1616,2,0,0.4,0.5,1.0,0.9,0.2,0.5,1.0,6.79
9,9,91387,Martín Montoya,31," D(LR),M(R)",175,73,3,3,0,256,0,0,0.0,1.0,1.0,2.0,0.0,0.0,1.7,6.93
10,10,70524,Ivan Perisic,33," M(CLR),FW",186,80,26(8),26,8,2409,7,6,2.0,0.9,0.8,0.4,0.3,0.7,1.3,6.89
11,11,44642,Davide Santon,31, D(LR),187,77,11(1),11,1,978,0,1,0.3,0.4,0.7,0.8,0.1,0.3,0.6,6.75
12,12,84603,Juan Jesus,31, D(CL),185,83,16(3),16,3,1414,0,0,0.2,0.5,0.6,0.5,0.1,0.4,0.2,6.79
13,13,22377,Éder,35," AM(CLR),FW",179,72,8(6),8,6,749,1,0,1.5,0.3,0.6,1.4,0.2,0.4,0.9,6.47
14,14,109565,Jeison Murillo,30, D(C),182,78,32(2),32,2,2843,2,1,0.6,0.2,0.6,1.2,0.1,0.2,0.4,7.01
15,15,17108,Hernanes,37, M(C),180,78,0(2),0,2,50,0,0,1.0,1.0,0.5,0.5,0.0,0.5,0.0,6.79
16,16,13551,Felipe Melo,39," D(C),M(C)",185,84,21(5),21,5,1775,1,1,0.9,0.4,0.5,1.0,0.1,0.7,0.7,6.85
17,17,37188,Yuto Nagatomo,36," D(LR),M(LR)",170,68,19(3),19,3,1649,0,0,0.3,0.5,0.5,0.9,0.0,0.5,0.6,6.68
18,18,22504,Miranda,38, D(C),186,78,31(1),31,1,2743,1,3,0.3,0.2,0.4,1.1,0.0,0.3,0.2,6.96
19,19,106964,Mauro Icardi,29, FW,181,75,32(1),32,1,2600,16,4,1.7,1.0,0.3,1.2,0.5,0.5,1.5,6.97
20,20,29390,Gary Medel,35," D(C),DMC",171,65,28(2),28,2,2416,1,1,0.4,0.4,0.3,0.8,0.0,0.3,0.3,6.83
21,21,27421,Andrea Ranocchia,34, D(C),195,81,1(9),1,9,210,0,0,0.0,0.1,0.0,0.3,0.0,0.0,0.1,6.27
22,22,249865,Assane Gnoukouri,26, M(C),180,77,1(1),1,1,57,0,0,1.0,0.5,0.0,0.0,0.0,0.5,2.0,6.17
23,23,312847,Fabio Della Giovanna,25, Defender,184,74,0(1),0,1,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08
24,24,296723,Ionut Radu,25, GK,188,70,0(1),0,1,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.97
25,25,19676,Juan Carrizo,38, GK,187,87,2,2,0,162,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.86
26,26,294136,Rey Manaj,25, FW,182,76,0(4),0,4,33,0,0,0.5,0.3,0.0,0.8,0.3,0.5,0.0,5.99
27,27,9972,Samir Handanovic,38, GK,193,92,36,36,0,3240,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6.99
