,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,101955,Emerson,28," D(L),M(L)",176,63,23(2),23,2,1966,0,1,0.7,1.2,1.8,1.8,0.0,1.0,1.0,7.37
1,1,102073,Bruno Peres,32," D(LR),M(LR)",178,72,24(6),24,6,2225,2,2,1.2,1.1,1.7,1.3,0.1,1.0,1.2,7.03
2,2,31388,Diego Perotti,34," M(CLR),FW",179,70,20(12),20,12,1750,8,6,1.5,1.4,1.7,1.6,0.0,0.7,1.1,7.16
3,3,108226,Mohamed Salah,30," AM(CLR),FW",175,71,29(2),29,2,2487,15,11,2.6,2.3,1.2,0.8,0.8,1.8,1.8,7.48
4,4,70087,Stephan El Shaarawy,29," AM(CLR),FW",178,72,19(13),19,13,1628,8,4,2.0,0.6,1.1,0.9,0.5,1.0,1.1,6.89
5,5,24845,Edin Dzeko,36, FW,193,80,33(4),33,4,3056,29,9,4.8,1.2,0.9,1.4,0.7,1.6,2.0,7.85
6,6,52380,Radja Nainggolan,34, M(C),176,65,35(2),35,2,3044,11,5,2.4,1.9,0.8,1.5,0.2,1.3,1.9,7.37
7,7,104010,Antonio Rüdiger,29, D(CR),190,85,25(1),25,1,2206,0,2,0.4,0.5,0.6,0.9,0.1,0.5,0.5,6.86
8,8,29908,Federico Fazio,35, D(C),195,85,35(2),35,2,3117,2,1,0.6,0.2,0.5,0.5,0.0,0.1,0.2,7.5
9,9,93700,Leandro Paredes,28, DMC,180,75,15(12),15,12,1469,3,1,1.1,1.6,0.5,0.9,0.0,0.5,0.3,7.12
10,10,242791,Gerson,25, M(CLR),184,78,2(2),2,2,132,0,0,0.0,0.3,0.5,0.5,0.0,0.8,0.8,6.29
11,11,35954,Kevin Strootman,32, DMC,186,78,31(2),31,2,2789,4,7,0.7,1.7,0.5,0.8,0.0,0.8,1.0,7.29
12,12,101596,Alessandro Florenzi,31," D(R),M(CLR)",173,67,8(1),8,1,750,0,3,1.4,1.6,0.4,1.3,0.0,0.8,1.6,7.21
13,13,97452,Juan Iturbe,29, AM(LR),172,64,0(5),0,5,38,0,0,1.0,0.0,0.4,0.0,0.0,0.2,0.2,6.14
14,14,5202,Daniele De Rossi,39," D(C),M(C)",184,83,27(4),27,4,2346,4,4,0.6,0.9,0.4,0.8,0.1,0.3,0.4,7.07
15,15,70149,Kostas Manolas,31, D(C),189,83,32(1),32,1,2780,0,2,0.5,0.2,0.3,0.6,0.0,0.2,0.2,7.09
16,16,106931,Mário Rui,31," D(L),M(L)",170,67,3(2),3,2,344,0,0,0.4,0.8,0.2,1.2,0.0,1.4,1.2,6.71
17,17,79562,Clément Grenier,31, M(CL),186,72,1(5),1,5,150,0,1,0.2,1.3,0.2,0.3,0.0,0.5,0.0,6.5
18,18,183,Francesco Totti,46," AM(CL),FW",180,82,1(17),1,17,364,2,3,1.1,1.3,0.1,0.4,0.0,0.4,0.3,6.45
19,19,10209,Thomas Vermaelen,36, D(CL),183,80,4(5),4,5,388,0,0,0.0,0.1,0.1,0.1,0.1,0.0,0.3,6.46
20,20,84603,Juan Jesus,31, D(CL),185,83,13(7),13,7,1189,0,0,0.2,0.2,0.1,0.4,0.0,0.2,0.4,6.68
21,21,73379,Wojciech Szczesny,32, GK,195,90,38,38,0,3420,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,6.99
