,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,349561,André-Frank Zambo Anguissa,26, M(C),184,78,21(4),21,4,1925,0,2,0.8,0.9,1.8,1.1,0.0,0.9,1.8,7.05
1,1,297577,Adam Ounas,25," AM(CLR),FW",172,65,1(14),1,14,312,0,0,0.9,0.8,1.6,0.7,0.0,0.7,1.3,6.4
2,2,83390,Lorenzo Insigne,31," AM(CL),FW",163,59,28(4),28,4,2311,11,9,2.9,2.0,1.3,0.7,0.2,0.9,1.6,7.09
3,3,298510,Victor Osimhen,23, FW,185,78,23(4),23,4,1993,14,2,3.4,0.6,1.1,1.4,0.7,1.2,2.8,7.22
4,4,318511,Hirving Lozano,27," AM(LR),FW",175,70,20(10),20,10,1622,5,5,1.7,0.9,1.0,1.1,0.5,1.1,1.7,6.85
5,5,90880,Kalidou Koulibaly,31, D(C),195,89,27,27,0,2406,3,3,0.4,0.4,0.7,0.4,0.0,0.1,0.6,7.08
6,6,339579,Eljif Elmas,23, M(CLR),182,68,12(25),12,25,1601,3,5,0.9,0.6,0.6,0.8,0.1,0.6,0.6,6.54
7,7,122683,Matteo Politano,29," AM(CLR),FW",171,67,20(13),20,13,1659,3,4,1.3,1.0,0.6,0.8,0.1,0.6,0.9,6.56
8,8,122469,Giovanni Di Lorenzo,29," D(CLR),M(R)",183,83,33,33,0,2873,1,5,0.6,1.0,0.6,1.4,0.2,0.8,0.7,7.04
9,9,23100,Dries Mertens,35," AM(CLR),FW",169,61,16(14),16,14,1389,11,1,1.5,1.1,0.6,0.7,0.2,0.3,0.8,6.86
10,10,111892,Stanislav Lobotka,27, DMC,170,68,19(4),19,4,1687,1,0,0.1,0.7,0.6,1.5,0.0,0.5,0.6,6.73
11,11,423515,Alessandro Zanoli,22, D(R),0,0,5(7),5,7,453,0,0,0.0,0.2,0.5,0.2,0.0,0.2,0.4,6.34
12,12,118169,Piotr Zielinski,28, M(CL),180,75,26(9),26,9,2099,6,5,1.2,1.4,0.5,0.8,0.0,0.5,1.1,6.71
13,13,106931,Mário Rui,31," D(L),M(L)",170,67,34,34,0,3002,0,6,0.9,1.2,0.4,1.8,0.1,0.4,0.7,6.98
14,14,122296,Andrea Petagna,27, FW,190,85,4(20),4,20,574,3,1,0.5,0.4,0.4,0.6,0.1,0.6,0.9,6.34
15,15,294193,Fabián Ruiz,26, M(CL),189,70,29(3),29,3,2398,7,4,1.3,1.0,0.4,0.6,0.0,0.3,0.9,7.1
16,16,86512,Kevin Malcuit,31," D(R),M(R)",178,77,2(6),2,6,286,0,1,0.1,0.3,0.4,0.6,0.0,0.3,0.6,6.27
17,17,133886,Diego Demme,30, DMC,172,71,7(12),7,12,686,1,0,0.1,0.3,0.2,0.4,0.0,0.3,0.6,6.37
18,18,295358,Amir Rrahmani,28, D(CL),192,87,33,33,0,2928,4,0,0.7,0.2,0.2,0.7,0.0,0.2,0.3,6.83
19,19,82062,Faouzi Ghoulam,31, D(L),186,80,3(11),3,11,325,0,0,0.2,0.5,0.1,0.1,0.0,0.1,0.1,6.28
20,20,84603,Juan Jesus,31, D(CL),185,83,14(7),14,7,1273,1,0,0.2,0.2,0.0,0.1,0.1,0.0,0.1,6.51
21,21,36745,David Ospina,34, GK,183,80,31,31,0,2790,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.82
22,22,241022,Alex Meret,25, GK,190,82,7,7,0,620,0,0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,6.87
23,23,299271,Axel Tuanzebe,24, D(CR),186,75,0(1),0,1,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12
24,24,362440,Davide Marfella,23, Goalkeeper,0,0,0(1),0,1,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41
25,25,369883,Gianluca Gaetano,22, Midfielder,181,71,0(2),0,2,19,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,6.28
26,26,70149,Kostas Manolas,31, D(C),189,83,3(1),3,1,312,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43
