,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,26,61610,Ricardo Rodríguez,30.0," D(CL),M(L)",181.0,78.0,34,34.0,0,3060.0,9.0,2.2,45.9,80.4,2.1,5.4,0.1,8.01
1,27,73084,Kevin De Bruyne,31.0," M(CLR),FW",181.0,68.0,16,16.0,0,1420.0,6.0,3.1,42.4,74.2,1.8,3.9,0.3,7.71
2,28,3467,Ivica Olic,43.0," AM(LR),FW",182.0,85.0,28(4),28.0,4,2409.0,5.0,0.8,16.6,69.4,0.1,0.4,0.0,7.16
3,29,70524,Ivan Perisic,33.0," M(CLR),FW",186.0,80.0,24(9),24.0,9,2214.0,4.0,0.8,26.1,71.7,0.2,2.2,0.0,7.17
4,30,7417,Diego,37.0, M(CLR),174.0,78.0,15,15.0,0,1274.0,2.0,2.3,46.2,81.8,1.4,3.9,0.1,7.73
5,31,43369,Luiz Gustavo,35.0," D(C),M(C)",187.0,78.0,29,29.0,0,2543.0,2.0,0.7,48.2,86.6,0.1,5.1,0.0,7.35
6,32,108919,Maximilian Arnold,28.0, M(CR),184.0,74.0,27(1),27.0,1,2252.0,2.0,1.3,21.9,81.0,0.1,1.0,0.1,6.81
7,33,6540,Patrick Ochs,38.0, D(R),179.0,71.0,14(3),14.0,3,1306.0,2.0,1.0,38.4,79.6,0.9,2.2,0.1,6.94
8,34,100591,Robin Knoche,30.0, D(C),189.0,84.0,30(2),30.0,2,2783.0,2.0,0.3,56.1,83.6,0.0,7.0,0.1,7.25
9,35,14172,Naldo,40.0, D(C),198.0,91.0,33,33.0,0,2970.0,2.0,0.4,50.8,80.8,0.0,6.5,0.0,7.54
10,36,91029,Willi Evseev,30.0, Midfielder,177.0,73.0,0(3),0.0,3,14.0,2.0,0.7,1.0,100.0,0.0,0.0,0.3,6.68
11,37,22652,Vieirinha,36.0," D(R),M(LR)",172.0,70.0,7(4),7.0,4,654.0,1.0,1.0,25.3,84.2,0.4,1.6,0.3,6.97
12,38,20626,Christian Träsch,35.0," D(R),M(C)",180.0,75.0,21(1),21.0,1,1826.0,1.0,1.1,43.3,78.6,0.8,2.8,0.0,7.1
13,39,82362,Daniel Caligiuri,34.0," D(R),M(CLR),FW",182.0,80.0,9(15),9.0,15,1112.0,1.0,0.6,17.3,70.4,0.0,0.8,0.1,6.73
14,40,10154,Marcel Schäfer,38.0," D(L),M(L)",184.0,75.0,5(16),5.0,16,516.0,1.0,0.4,6.1,74.2,0.3,0.2,0.0,6.45
15,41,34323,Bas Dost,33.0, FW,196.0,89.0,6(7),6.0,7,602.0,0.0,0.5,13.6,66.1,0.0,0.1,0.0,6.63
16,42,115573,Junior Malanda,28.0, DMC,181.0,78.0,5(2),5.0,2,405.0,0.0,0.6,28.0,81.1,0.0,2.7,0.0,6.98
17,43,10714,Diego Benaglio,39.0, GK,194.0,89.0,29,29.0,0,2566.0,0.0,0.0,33.7,66.0,0.0,10.6,0.0,6.7
18,44,27976,Giovanni Sio,33.0," AM(LR),FW",180.0,78.0,0(1),0.0,1,11.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,5.76
19,45,86497,Koo Ja-Cheol,33.0, M(CLR),183.0,74.0,8(2),8.0,2,594.0,0.0,0.5,25.9,88.8,0.2,2.1,0.0,6.45
20,46,12225,Jan Polák,41.0, M(C),181.0,80.0,8(10),8.0,10,830.0,0.0,0.6,21.4,84.5,0.0,2.3,0.0,6.53
21,47,16954,Makoto Hasebe,38.0," D(CR),M(CR)",180.0,72.0,0(1),0.0,1,7.0,0.0,0.0,4.0,75.0,0.0,1.0,0.0,5.76
22,48,51428,Max Grün,35.0, GK,190.0,85.0,5(1),5.0,1,497.0,0.0,0.2,28.7,54.1,0.0,7.7,0.0,6.01
23,49,63012,Slobodan Medojevic,31.0, DMC,182.0,77.0,16(4),16.0,4,1362.0,0.0,0.4,27.2,81.6,0.0,1.5,0.1,6.49
24,50,133431,Stefan Kutschke,33.0, FW,194.0,95.0,0(8),0.0,8,84.0,0.0,0.1,2.4,47.4,0.0,0.0,0.0,6.25
25,51,77114,Timm Klose,34.0, D(C),193.0,87.0,5(5),5.0,5,373.0,0.0,0.0,23.9,85.4,0.0,2.7,0.0,6.52
