,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,27,299513,Ousmane Dembélé,25.0," AM(CLR),FW",178.0,67.0,22(10),22.0,10,2042.0,12.0,2.0,23.8,67.0,1.0,1.1,0.2,7.44
1,28,302692,Christian Pulisic,24.0," M(CLR),FW",172.0,69.0,15(14),15.0,14,1518.0,6.0,0.9,18.2,73.2,0.2,0.4,0.0,6.88
2,29,13423,Gonzalo Castro,35.0," D(L),M(CR)",172.0,72.0,23(5),23.0,5,1927.0,6.0,1.5,49.9,84.0,0.5,2.3,0.0,6.97
3,30,42862,Shinji Kagawa,33.0, M(CL),175.0,68.0,13(8),13.0,8,1259.0,6.0,1.7,32.4,85.3,0.2,1.2,0.1,6.82
4,31,41330,Marco Reus,33.0," M(CLR),FW",180.0,71.0,16(1),16.0,1,1190.0,4.0,1.4,24.5,75.5,0.5,0.9,0.1,7.15
5,32,83686,Marc Bartra,31.0," D(CR),DMC",184.0,70.0,18(1),18.0,1,1561.0,3.0,0.5,74.2,82.3,0.0,3.6,0.1,7.24
6,33,115375,Raphaël Guerreiro,28.0," D(L),M(CL)",170.0,71.0,17(7),17.0,7,1483.0,3.0,1.1,40.3,80.1,0.9,1.6,0.0,7.18
7,34,77461,André Schürrle,31.0," M(CLR),FW",184.0,73.0,8(7),8.0,7,745.0,2.0,1.1,16.7,72.1,0.5,0.4,0.0,6.89
8,35,317999,Emre Mor,25.0," AM(CLR),FW",169.0,64.0,5(7),5.0,7,476.0,2.0,0.8,11.3,75.0,0.4,0.3,0.0,6.71
9,36,115165,Erik Durm,30.0," D(LR),M(LR)",182.0,70.0,10(3),10.0,3,976.0,2.0,1.2,35.0,73.0,0.4,1.6,0.0,6.8
10,37,44120,Pierre-Emerick Aubameyang,33.0," M(CLR),FW",187.0,80.0,31(1),31.0,1,2782.0,2.0,0.8,16.2,69.7,0.2,0.2,0.0,7.42
11,38,24420,Adrián Ramos,36.0, FW,184.0,78.0,4(3),4.0,3,356.0,1.0,0.7,11.4,66.3,0.0,0.3,0.0,7.02
12,39,11090,Lukasz Piszczek,37.0," D(CR),M(R)",184.0,79.0,23(2),23.0,2,2036.0,1.0,0.7,50.1,80.5,0.4,1.7,0.1,7.1
13,40,43364,Marcel Schmelzer,34.0," D(CL),M(L)",180.0,74.0,25(1),25.0,1,2195.0,1.0,0.8,56.8,82.6,0.4,1.2,0.0,6.94
14,41,80382,Mario Götze,30.0," M(CLR),FW",176.0,75.0,9(2),9.0,2,763.0,1.0,1.3,35.4,82.5,0.5,0.6,0.0,6.7
15,42,110182,Matthias Ginter,28.0," D(CR),DMC",191.0,86.0,26(3),26.0,3,2475.0,1.0,0.3,74.1,87.2,0.1,2.1,0.0,6.8
16,43,22589,Sven Bender,33.0," D(C),M(C)",186.0,79.0,3(3),3.0,3,273.0,1.0,0.2,42.8,93.0,0.0,1.5,0.0,6.49
17,44,306672,Dzenis Burnic,24.0, M(C),180.0,73.0,1,1.0,0,90.0,0.0,1.0,76.0,80.3,0.0,5.0,0.0,6.33
18,45,312843,Felix Passlack,24.0," D(LR),M(CR)",170.0,74.0,6(4),6.0,4,534.0,0.0,0.4,37.6,89.6,0.4,1.1,0.0,6.62
19,46,66209,Park Joo-Ho,35.0," D(L),DMC",175.0,71.0,1(1),1.0,1,65.0,0.0,1.0,15.0,93.3,1.0,0.0,0.0,6.29
20,47,142318,Julian Weigl,27.0," D(C),DMC",186.0,72.0,27(3),27.0,3,2416.0,0.0,0.2,67.6,89.5,0.0,2.7,0.0,7.07
21,48,238916,Mikel Merino,26.0, M(C),188.0,83.0,2(6),2.0,6,293.0,0.0,0.4,43.8,83.7,0.0,1.8,0.1,6.54
22,49,14176,Nuri Sahin,34.0, M(C),180.0,73.0,4(1),4.0,1,232.0,0.0,0.4,40.0,88.0,0.0,2.4,0.0,6.59
23,50,63936,Roman Bürki,31.0, GK,187.0,85.0,27,27.0,0,2430.0,0.0,0.0,33.5,74.4,0.0,4.6,0.0,6.67
24,51,5490,Roman Weidenfeller,42.0, GK,190.0,90.0,7,7.0,0,630.0,0.0,0.0,24.1,75.7,0.0,2.9,0.0,6.06
25,52,65581,Sebastian Rode,31.0," D(R),M(C)",180.0,71.0,5(9),5.0,9,575.0,0.0,0.6,31.6,88.9,0.1,1.7,0.0,6.46
26,53,22210,Sokratis Papastathopoulos,34.0, D(CR),186.0,85.0,26,26.0,0,2300.0,0.0,0.2,74.1,87.8,0.0,4.8,0.0,7.21
