,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,30,37099,Thomas Müller,33.0," M(CLR),FW",185.0,76.0,32,32.0,0,2578.0,18.0,2.6,42.9,77.0,0.6,0.8,0.2,7.34
1,31,283323,Joshua Kimmich,27.0," D(CR),DMC,M(R)",177.0,75.0,28,28.0,0,2478.0,11.0,2.9,84.2,88.0,2.4,5.0,0.3,7.6
2,32,144711,Leroy Sané,26.0," M(CLR),FW",183.0,80.0,22(10),22.0,10,1982.0,7.0,1.6,29.5,84.1,0.5,0.7,0.1,7.17
3,33,327721,Dayot Upamecano,23.0, D(C),186.0,90.0,25(3),25.0,3,2210.0,6.0,0.4,80.7,90.1,0.0,5.2,0.1,6.98
4,34,395252,Jamal Musiala,19.0, M(CL),180.0,68.0,12(18),12.0,18,1458.0,5.0,0.9,23.0,84.8,0.0,0.3,0.1,6.94
5,35,119501,Serge Gnabry,27.0," AM(CLR),FW",176.0,77.0,25(9),25.0,9,2192.0,5.0,1.4,35.8,82.0,0.5,0.8,0.2,7.3
6,36,320040,Alphonso Davies,21.0," D(L),M(LR)",183.0,75.0,20(2),20.0,2,1744.0,3.0,1.5,51.4,84.3,0.4,0.9,0.2,7.31
7,37,115519,Leon Goretzka,27.0, M(CR),189.0,82.0,19,19.0,0,1407.0,3.0,1.5,43.8,83.9,0.2,1.5,0.0,7.08
8,38,29400,Robert Lewandowski,34.0, FW,185.0,81.0,34,34.0,0,2952.0,3.0,1.1,21.6,77.4,0.1,0.4,0.1,7.89
9,39,29809,Eric Choupo-Moting,33.0," M(CLR),FW",191.0,90.0,1(19),1.0,19,363.0,2.0,0.3,6.8,75.0,0.0,0.1,0.0,6.49
10,40,125883,Kingsley Coman,26.0," M(LR),FW",180.0,76.0,16(5),16.0,5,1369.0,2.0,1.1,28.8,84.1,1.0,1.1,0.1,7.13
11,41,129983,Niklas Süle,27.0, D(CR),195.0,99.0,19(9),19.0,9,1835.0,2.0,0.4,61.9,90.1,0.1,3.9,0.0,6.81
12,42,259648,Benjamin Pavard,26.0," D(CLR),M(R)",186.0,81.0,24(1),24.0,1,2080.0,1.0,0.7,77.1,88.1,0.4,3.2,0.0,6.87
13,43,134894,Corentin Tolisso,28.0," D(R),M(CR)",181.0,81.0,8(7),8.0,7,705.0,1.0,1.1,36.1,87.6,0.1,2.3,0.3,6.72
14,44,139186,Lucas Hernández,26.0, D(CL),184.0,79.0,25,25.0,0,2041.0,1.0,0.4,76.7,89.6,0.1,3.2,0.0,6.94
15,45,92051,Marcel Sabitzer,28.0," M(CLR),FW",178.0,76.0,8(17),8.0,17,900.0,1.0,0.4,26.4,82.4,0.1,1.0,0.0,6.38
16,46,382492,Tanguy Nianzou,20.0, D(C),187.0,83.0,6(11),6.0,11,577.0,1.0,0.3,31.5,91.2,0.1,1.4,0.0,6.52
17,47,104747,Bouna Sarr,30.0," D(R),M(CLR)",177.0,69.0,0(5),0.0,5,59.0,0.0,0.0,6.4,75.0,0.0,0.0,0.0,6.46
18,48,395401,Chris Richards,22.0, D(C),188.0,87.0,0(1),0.0,1,2.0,0.0,0.0,3.0,100.0,0.0,1.0,0.0,6.02
19,49,342549,Christian Früchtl,22.0, Goalkeeper,193.0,84.0,0(1),0.0,1,9.0,0.0,0.0,4.0,100.0,0.0,1.0,0.0,6.02
20,50,424368,Gabriel Vidovic,18.0, Midfielder,180.0,0.0,0(3),0.0,3,33.0,0.0,0.7,6.7,75.0,0.0,0.3,0.0,6.2
21,51,413272,Josip Stanisic,22.0, D(R),186.0,77.0,6(7),6.0,7,646.0,0.0,0.2,39.8,87.0,0.2,1.4,0.0,6.59
22,52,430702,Lucas Copado,18.0, Forward,0.0,0.0,0(1),0.0,1,16.0,0.0,0.0,4.0,75.0,0.0,0.0,0.0,6.24
23,53,397465,Malik Tillman,20.0, Forward,187.0,71.0,1(3),1.0,3,103.0,0.0,0.8,10.0,77.5,0.0,0.3,0.3,6.3
24,54,13754,Manuel Neuer,36.0, GK,193.0,93.0,28,28.0,0,2511.0,0.0,0.0,38.9,86.2,0.0,6.5,0.0,6.74
25,55,323148,Marc Roca,25.0, DMC,184.0,77.0,4(5),4.0,5,378.0,0.0,0.6,31.4,88.0,0.2,1.3,0.0,6.51
26,56,344198,Michaël Cuisance,23.0, AM(C),181.0,74.0,0(1),0.0,1,12.0,0.0,1.0,11.0,90.9,0.0,1.0,1.0,6.59
27,57,342489,Omar Richards,24.0," D(L),M(L)",174.0,69.0,5(7),5.0,7,437.0,0.0,0.3,25.3,86.5,0.1,0.4,0.0,6.54
28,58,430703,Paul Wanner,16.0, Midfielder,185.0,72.0,0(4),0.0,4,36.0,0.0,0.3,2.8,90.9,0.0,0.0,0.0,6.1
29,59,35506,Sven Ulreich,34.0, GK,192.0,87.0,6,6.0,0,540.0,0.0,0.0,34.0,82.8,0.0,4.8,0.0,6.22
