,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,22,333542,Randal Kolo Muani,23.0," AM(R),FW",187.0,73.0,7(1),7.0,1,601.0,5.0,1.3,13.9,64.9,0.0,0.5,0.0,6.85
1,23,344166,Daichi Kamada,26.0," AM(CLR),FW",184.0,76.0,6(1),6.0,1,531.0,2.0,1.1,31.9,83.0,0.7,0.9,0.1,7.3
2,24,65581,Sebastian Rode,31.0," D(R),M(C)",180.0,71.0,6,6.0,0,356.0,1.0,0.5,26.8,83.2,0.0,1.7,0.2,6.96
3,25,262262,Almamy Touré,26.0," D(CR),M(R)",183.0,81.0,2,2.0,0,163.0,0.0,0.0,49.0,80.6,0.0,1.0,0.0,6.39
4,26,403747,Ansgar Knauff,20.0, M(R),180.0,73.0,5(3),5.0,3,454.0,0.0,0.1,20.8,60.2,0.3,0.3,0.0,6.49
5,27,130897,Christopher Lenz,28.0," D(L),M(L)",181.0,81.0,2(4),2.0,4,277.0,0.0,1.0,21.0,84.1,1.0,1.5,0.0,6.63
6,28,317630,Djibril Sow,25.0, M(C),184.0,77.0,7(1),7.0,1,654.0,0.0,0.6,41.6,84.7,0.0,1.1,0.0,6.58
7,29,372927,Éric Ebimbe,21.0, AM(CR),183.0,66.0,0(3),0.0,3,100.0,0.0,0.3,14.7,79.5,0.0,0.3,0.0,6.38
8,30,323450,Evan Ndicka,23.0, D(CL),192.0,80.0,8,8.0,0,713.0,0.0,0.0,52.4,89.3,0.0,2.4,0.0,6.72
9,31,423881,Faride Alidou,21.0, AM(L),186.0,84.0,0(4),0.0,4,79.0,0.0,0.3,6.5,73.1,0.3,0.3,0.0,6.14
10,32,105995,Filip Kostic,29.0," M(LR),FW",184.0,84.0,1,1.0,0,74.0,0.0,1.0,26.0,69.2,1.0,1.0,0.0,5.93
11,33,401803,Hrvoje Smolcic,22.0, D(C),180.0,83.0,0(2),0.0,2,10.0,0.0,0.0,5.5,63.6,0.0,0.0,0.0,6.16
12,34,403646,Jesper Lindstrøm,22.0," AM(CR),FW",182.0,66.0,5(2),5.0,2,402.0,0.0,0.1,14.6,71.6,0.1,0.0,0.0,6.63
13,35,66424,Kevin Trapp,32.0, GK,189.0,88.0,8,8.0,0,720.0,0.0,0.0,23.1,62.7,0.0,3.6,0.0,6.45
14,36,402665,Kristijan Jakic,25.0, DMC,181.0,75.0,5(2),5.0,2,495.0,0.0,0.4,35.3,72.1,0.1,2.1,0.0,6.67
15,37,332268,Luca Pellegrini,23.0," D(L),M(L)",178.0,72.0,4,4.0,0,305.0,0.0,0.5,43.3,72.3,0.8,4.5,0.3,6.83
16,38,125654,Lucas Alario,29.0, FW,184.0,78.0,1(3),1.0,3,117.0,0.0,0.0,5.3,81.0,0.0,0.3,0.0,6.23
17,39,366558,Tuta,23.0, D(C),185.0,81.0,8,8.0,0,711.0,0.0,0.1,55.5,81.5,0.0,2.3,0.0,6.74
18,40,16954,Makoto Hasebe,38.0," D(CR),M(CR)",180.0,72.0,2(2),2.0,2,206.0,0.0,0.0,30.5,85.2,0.0,1.8,0.0,6.68
19,41,80382,Mario Götze,30.0," M(CLR),FW",176.0,75.0,8,8.0,0,653.0,0.0,1.1,37.9,73.9,0.5,1.1,0.4,6.87
20,42,145777,Rafael Borré,27.0, FW,174.0,70.0,3(5),3.0,5,249.0,0.0,0.1,10.3,76.8,0.0,0.4,0.0,6.12
21,43,69467,Timothy Chandler,32.0," D(R),M(LR)",187.0,84.0,0(3),0.0,3,33.0,0.0,0.3,5.3,81.3,0.0,1.0,0.0,6.11
