,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,31,1982,Craig Bellamy,43.0, AM(R),175.0,68.0,26(6),26.0,6,2379.0,8.0,1.6,28.6,80.8,1.0,0.8,0.2,7.2
1,32,14167,Carlos Tevez,38.0," AM(CL),FW",173.0,75.0,32(3),32.0,3,2871.0,7.0,1.5,31.9,81.7,0.2,2.3,0.4,7.57
2,33,188,Gareth Barry,41.0, M(C),185.0,87.0,34,34.0,0,2996.0,7.0,1.5,52.1,77.5,0.8,4.1,0.1,7.41
3,34,2703,Shaun Wright-Phillips,40.0, M(LR),168.0,64.0,19(11),19.0,11,1748.0,7.0,1.1,17.1,72.1,0.5,0.8,0.0,7.0
4,35,14269,Adam Johnson,35.0, M(CLR),175.0,63.0,14(2),14.0,2,1180.0,5.0,2.1,26.5,80.4,1.3,1.5,0.1,7.23
5,36,6363,Emmanuel Adebayor,38.0, FW,191.0,82.0,25(1),25.0,1,2212.0,3.0,1.4,31.4,78.2,0.1,1.1,0.0,7.37
6,37,2910,Martin Petrov,43.0," M(CL),FW",180.0,77.0,8(8),8.0,8,724.0,3.0,1.3,24.8,81.1,1.1,2.3,0.1,6.79
7,38,14247,Robinho,38.0," AM(CLR),FW",172.0,60.0,6(4),6.0,4,542.0,3.0,0.6,23.1,81.4,0.1,1.0,0.2,6.68
8,39,14169,Stephen Ireland,36.0, M(C),173.0,67.0,16(6),16.0,6,1453.0,2.0,1.0,31.8,76.0,0.1,2.1,0.4,6.81
9,40,3987,Benjani,44.0, FW,188.0,78.0,1(1),1.0,1,126.0,1.0,1.0,16.0,71.9,0.0,0.0,0.0,6.89
10,41,8137,Joleon Lescott,40.0, D(CL),190.0,89.0,17(1),17.0,1,1565.0,1.0,0.2,35.4,73.2,0.1,2.1,0.0,7.02
11,42,14168,Micah Richards,34.0, D(CR),180.0,83.0,19(4),19.0,4,1647.0,1.0,0.3,24.8,76.5,0.1,0.7,0.0,7.01
12,43,11669,Nedum Onuoha,35.0, D(CR),183.0,94.0,5(5),5.0,5,571.0,1.0,0.3,23.8,71.8,0.0,1.1,0.0,6.73
13,44,14244,Pablo Zabaleta,37.0," D(R),DMC,M(R)",176.0,74.0,23(4),23.0,4,2102.0,1.0,0.6,39.0,75.7,0.6,2.4,0.0,7.13
14,45,341,Patrick Vieira,46.0," D(C),DMC",192.0,82.0,8(5),8.0,5,815.0,1.0,1.2,41.5,77.4,0.0,3.7,0.3,7.03
15,46,10136,Vincent Kompany,36.0, D(C),193.0,85.0,21(4),21.0,4,1913.0,1.0,0.3,38.8,81.1,0.0,3.9,0.0,7.26
16,47,83211,Abdisalam Abdulkadir Ibrahim,31.0, M(C),185.0,71.0,0(1),0.0,1,14.0,0.0,0.0,6.0,66.7,0.0,1.0,0.0,6.16
17,48,85465,Alex Nimely,31.0, Forward,180.0,74.0,0(1),0.0,1,7.0,0.0,1.0,4.0,100.0,0.0,0.0,0.0,6.07
18,49,83032,Dedryck Boyata,31.0, D(C),188.0,84.0,1(2),1.0,2,124.0,0.0,0.0,13.0,71.8,0.0,0.7,0.0,6.33
19,50,83394,Greg Cunningham,31.0," D(CL),M(L)",183.0,77.0,0(2),0.0,2,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,6.0
20,51,43073,Gunnar Nielsen,35.0, GK,191.0,85.0,0(1),0.0,1,14.0,0.0,0.0,9.0,22.2,0.0,1.0,0.0,6.42
21,52,6210,Javier Garrido,37.0, D(CL),180.0,76.0,7(2),7.0,2,634.0,0.0,0.1,42.7,82.3,0.4,2.4,0.0,6.88
22,53,3817,Kolo Touré,41.0, D(C),183.0,74.0,31,31.0,0,2711.0,0.0,0.2,37.5,79.1,0.0,3.2,0.0,7.29
23,54,31212,Marton Fülöp,39.0, GK,196.0,92.0,3,3.0,0,270.0,0.0,0.0,26.3,35.4,0.0,5.3,0.0,7.04
24,55,22606,Michael Johnson,34.0, Midfielder,183.0,80.0,0(1),0.0,1,1.0,0.0,0.0,3.0,66.7,0.0,0.0,0.0,5.99
25,56,4608,Nigel de Jong,37.0, M(C),174.0,72.0,30(4),30.0,4,2631.0,0.0,0.4,40.3,84.9,0.0,3.7,0.0,6.98
26,57,831,Richard Dunne,43.0, D(C),188.0,89.0,2,2.0,0,180.0,0.0,0.0,37.0,85.1,0.0,1.5,0.0,7.61
27,58,954,Roque Santa Cruz,41.0, FW,191.0,93.0,6(13),6.0,13,636.0,0.0,0.4,15.9,70.5,0.1,0.5,0.0,6.51
28,59,1034,Shay Given,46.0, GK,185.0,84.0,35,35.0,0,3136.0,0.0,0.0,29.7,43.2,0.0,8.2,0.0,6.68
29,60,130,Sylvinho,48.0, D(C),173.0,66.0,6(3),6.0,3,484.0,0.0,0.3,34.1,82.4,0.3,0.8,0.0,6.53
30,61,836,Wayne Bridge,42.0, D(L),178.0,69.0,23,23.0,0,1897.0,0.0,0.3,41.9,73.6,0.0,3.3,0.0,7.01
