,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,24,8040,Cesc Fàbregas,35.0," M(CL),FW",180.0,77.0,13(16),13.0,16,1328.0,12.0,2.1,45.7,84.5,0.7,3.3,0.2,7.05
1,25,44055,Pedro,35.0," M(CLR),FW",169.0,65.0,26(9),26.0,9,2151.0,9.0,1.2,27.0,82.7,0.3,0.9,0.1,7.13
2,26,24248,Diego Costa,33.0, FW,188.0,83.0,35,35.0,0,3090.0,7.0,1.2,29.5,75.2,0.0,0.8,0.2,7.41
3,27,38128,Nemanja Matic,34.0, DMC,194.0,85.0,30(5),30.0,5,2697.0,7.0,0.7,53.3,87.7,0.0,4.0,0.1,7.01
4,28,33404,Eden Hazard,31.0," M(CLR),FW",175.0,74.0,36,36.0,0,3007.0,5.0,2.4,48.6,84.2,0.5,3.2,0.1,7.81
5,29,25931,César Azpilicueta,33.0," D(CLR),M(R)",178.0,76.0,38,38.0,0,3420.0,4.0,0.6,64.7,87.3,0.2,3.0,0.1,7.21
6,30,84008,Marcos Alonso,31.0," D(CL),M(L)",188.0,84.0,30(1),30.0,1,2694.0,3.0,0.8,40.3,77.8,0.5,1.7,0.1,7.41
7,31,33064,Victor Moses,31.0, M(CLR),177.0,79.0,29(5),29.0,5,2498.0,2.0,0.8,29.7,79.2,0.5,0.9,0.0,7.22
8,32,29463,Willian,34.0, AM(CLR),174.0,76.0,15(19),15.0,19,1531.0,2.0,1.5,22.8,83.5,1.0,0.9,0.1,6.89
9,33,106086,Kurt Zouma,27.0, D(CR),190.0,96.0,3(6),3.0,6,247.0,1.0,0.1,14.2,80.5,0.0,0.9,0.0,6.23
10,34,97803,Michy Batshuayi,29.0, FW,184.0,76.0,1(19),1.0,19,239.0,1.0,0.1,4.0,83.8,0.0,0.3,0.0,6.34
11,35,122945,Nathan Aké,27.0," D(CL),DMC",180.0,75.0,1(1),1.0,1,98.0,1.0,0.5,29.5,93.2,0.0,1.0,0.0,6.65
12,36,92729,Nathaniel Chalobah,27.0, DMC,187.0,80.0,1(9),1.0,9,159.0,1.0,0.4,10.3,82.5,0.0,0.7,0.1,6.28
13,37,114075,N'Golo Kanté,31.0, DMC,168.0,68.0,35,35.0,0,3139.0,1.0,0.6,60.6,88.8,0.0,3.9,0.1,7.23
14,38,41065,Oscar,31.0, M(CLR),179.0,70.0,5(4),5.0,4,456.0,1.0,1.7,27.3,84.1,0.4,2.7,0.1,6.65
15,39,23122,Asmir Begovic,35.0, GK,199.0,101.0,2,2.0,0,180.0,0.0,0.0,23.0,76.1,0.0,4.5,0.0,5.67
16,40,15338,Branislav Ivanovic,38.0, D(CR),185.0,80.0,6(7),6.0,7,584.0,0.0,0.2,25.4,82.7,0.2,2.1,0.0,6.55
17,41,27586,David Luiz,35.0," D(C),DMC",189.0,84.0,33,33.0,0,2956.0,0.0,0.3,47.6,83.6,0.1,4.8,0.1,7.16
18,42,11981,Gary Cahill,36.0, D(C),193.0,86.0,36(1),36.0,1,3296.0,0.0,0.1,50.0,88.4,0.0,3.0,0.0,7.06
19,43,70,John Terry,41.0, D(C),187.0,90.0,6(3),6.0,3,494.0,0.0,0.2,35.6,92.2,0.0,1.1,0.0,6.35
20,44,315543,Ola Aina,25.0," D(CLR),M(LR)",184.0,82.0,0(3),0.0,3,25.0,0.0,0.0,5.3,87.5,0.0,0.0,0.0,6.12
21,45,132838,Kenedy,26.0," D(L),M(LR)",182.0,77.0,1,1.0,0,75.0,0.0,1.0,22.0,59.1,0.0,1.0,0.0,6.4
22,46,255777,Ruben Loftus-Cheek,26.0, M(CLR),191.0,88.0,0(6),0.0,6,31.0,0.0,0.0,4.2,84.0,0.0,0.0,0.0,6.09
23,47,73798,Thibaut Courtois,30.0, GK,200.0,96.0,36,36.0,0,3240.0,0.0,0.0,22.0,66.2,0.0,4.8,0.0,6.74
