,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,28,73078,Alexandre Lacazette,31.0," M(CLR),FW",175.0,73.0,27(8),27.0,8,2507.0,8.0,0.9,22.0,74.2,0.1,0.5,0.1,7.17
1,29,26820,Aaron Ramsey,31.0, M(CLR),178.0,76.0,14(14),14.0,14,1331.0,6.0,0.9,27.6,82.0,0.2,0.9,0.0,6.7
2,30,136824,Alex Iwobi,26.0, M(CLR),180.0,75.0,22(13),22.0,13,1976.0,6.0,1.1,27.2,77.8,0.3,0.8,0.0,6.62
3,31,125211,Héctor Bellerín,27.0," D(R),M(R)",178.0,74.0,18(1),18.0,1,1535.0,5.0,0.4,41.3,84.2,0.5,1.3,0.1,6.71
4,32,44120,Pierre-Emerick Aubameyang,33.0," M(CLR),FW",187.0,80.0,30(6),30.0,6,2733.0,5.0,0.9,19.2,74.0,0.3,0.3,0.0,7.1
5,33,110260,Sead Kolasinac,29.0," D(CL),DMC,M(L)",183.0,85.0,22(2),22.0,2,1891.0,5.0,1.3,40.5,77.7,0.5,0.8,0.0,6.61
6,34,28421,Henrikh Mkhitaryan,33.0," M(CLR),FW",177.0,75.0,19(6),19.0,6,1645.0,4.0,1.2,31.8,79.9,0.3,0.8,0.2,6.88
7,35,23072,Nacho Monreal,36.0," D(CL),M(L)",179.0,72.0,21(1),21.0,1,1861.0,3.0,0.5,53.1,87.6,0.2,1.4,0.0,6.97
8,36,89401,Granit Xhaka,30.0," D(L),M(C)",186.0,80.0,29,29.0,0,2502.0,2.0,1.4,77.4,85.3,1.1,5.5,0.1,7.03
9,37,248109,Lucas Torreira,26.0, DMC,166.0,65.0,24(10),24.0,10,2381.0,2.0,0.5,46.8,87.4,0.2,1.8,0.0,6.72
10,38,13756,Mesut Özil,33.0, M(CLR),180.0,76.0,20(4),20.0,4,1742.0,2.0,1.9,46.6,88.6,0.8,1.2,0.1,6.78
11,39,22210,Sokratis Papastathopoulos,34.0, D(CR),186.0,85.0,25,25.0,0,2199.0,2.0,0.2,55.5,89.4,0.0,4.1,0.0,6.82
12,40,255169,Ainsley Maitland-Niles,25.0," D(LR),M(CLR)",177.0,71.0,11(5),11.0,5,986.0,1.0,0.4,28.2,78.5,0.1,0.9,0.0,6.64
13,41,39308,Danny Welbeck,31.0," AM(CLR),FW",185.0,73.0,1(7),1.0,7,148.0,1.0,0.6,6.8,74.1,0.0,0.1,0.0,6.39
14,42,92173,Bernd Leno,30.0, GK,189.0,82.0,31(1),31.0,1,2833.0,0.0,0.0,28.8,69.2,0.0,4.9,0.0,6.68
15,43,367185,Bukayo Saka,21.0," D(L),M(CLR)",178.0,65.0,0(1),0.0,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
16,44,91879,Carl Jenkinson,30.0, D(R),185.0,77.0,2(1),2.0,1,167.0,0.0,0.3,25.0,77.3,0.0,0.0,0.0,6.31
17,45,106525,Denis Suárez,28.0, M(CLR),176.0,69.0,0(4),0.0,4,67.0,0.0,0.0,8.5,91.2,0.0,0.0,0.0,6.16
18,46,345845,Eddie Nketiah,23.0, FW,175.0,72.0,0(5),0.0,5,63.0,0.0,0.2,4.0,90.0,0.0,0.0,0.0,6.29
19,47,342563,Joe Willock,23.0, M(C),179.0,71.0,1(1),1.0,1,64.0,0.0,0.0,7.5,80.0,0.0,0.5,0.0,6.15
20,48,351127,Konstantinos Mavropanos,24.0, D(C),194.0,94.0,3(1),3.0,1,150.0,0.0,0.3,34.3,92.7,0.0,3.3,0.0,6.61
21,49,30051,Laurent Koscielny,37.0, D(C),186.0,75.0,13(4),13.0,4,1330.0,0.0,0.1,52.4,91.9,0.0,3.5,0.0,6.92
22,50,328983,Mattéo Guendouzi,23.0, M(C),185.0,68.0,23(10),23.0,10,2144.0,0.0,0.5,48.4,87.7,0.0,2.4,0.2,6.55
23,51,125209,Mohamed Elneny,30.0, DMC,179.0,72.0,5(3),5.0,3,381.0,0.0,0.6,34.8,90.6,0.1,1.9,0.0,6.44
24,52,6775,Petr Cech,40.0, GK,196.0,90.0,7,7.0,0,588.0,0.0,0.0,32.0,68.3,0.0,5.4,0.0,7.05
25,53,288795,Rob Holding,27.0, D(CR),189.0,81.0,9(1),9.0,1,807.0,0.0,0.2,61.4,87.5,0.0,3.4,0.0,6.74
26,54,80921,Shkodran Mustafi,30.0, D(CR),184.0,82.0,31,31.0,0,2617.0,0.0,0.2,56.9,81.9,0.0,3.2,0.1,7.05
27,55,15302,Stephan Lichtsteiner,38.0," D(R),M(R)",182.0,72.0,10(4),10.0,4,941.0,0.0,0.2,34.3,78.5,0.1,1.0,0.0,6.27
