,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,29,123761,Bruno Fernandes,28.0, M(CLR),179.0,69.0,35(2),35.0,2,3110.0,12.0,2.6,57.1,78.3,1.1,3.8,0.2,7.43
1,30,300299,Marcus Rashford,24.0," AM(CLR),FW",180.0,70.0,33(4),33.0,4,2928.0,9.0,1.2,32.1,82.1,0.2,0.9,0.0,7.13
2,31,118244,Luke Shaw,27.0," D(CL),M(L)",185.0,75.0,30(2),30.0,2,2657.0,5.0,2.3,50.3,85.0,1.8,0.9,0.0,7.03
3,32,331924,Aaron Wan-Bissaka,24.0," D(R),M(R)",183.0,72.0,34,34.0,0,3060.0,4.0,0.9,53.1,84.9,0.4,0.8,0.0,7.15
4,33,122366,Anthony Martial,26.0," AM(LR),FW",181.0,76.0,17(5),17.0,5,1488.0,3.0,0.8,21.9,84.4,0.0,0.2,0.0,6.84
5,34,24328,Edinson Cavani,35.0," AM(LR),FW",184.0,71.0,13(13),13.0,13,1372.0,3.0,0.5,12.9,77.4,0.0,0.5,0.1,6.67
6,35,97752,Paul Pogba,29.0, M(CL),191.0,84.0,21(5),21.0,5,1896.0,3.0,1.0,51.3,83.0,0.1,3.7,0.1,7.06
7,36,125793,Alex Telles,29.0," D(L),M(L)",181.0,71.0,8(1),8.0,1,692.0,2.0,1.3,50.9,84.7,1.3,1.6,0.1,6.97
8,37,25363,Juan Mata,34.0, AM(CLR),170.0,63.0,6(3),6.0,3,510.0,2.0,0.9,31.8,85.7,0.4,0.7,0.1,6.54
9,38,367782,Mason Greenwood,21.0," AM(R),FW",181.0,70.0,21(10),21.0,10,1826.0,2.0,0.5,23.0,85.0,0.2,0.8,0.1,6.72
10,39,386634,Amad Diallo,20.0, AM(R),173.0,72.0,2(1),2.0,1,167.0,1.0,0.7,21.0,82.5,0.0,0.7,0.3,6.78
11,40,302313,Daniel James,24.0," AM(CLR),FW",171.0,76.0,11(4),11.0,4,914.0,1.0,0.7,19.2,81.3,0.1,0.1,0.0,6.61
12,41,275035,Donny van de Beek,25.0, M(C),184.0,76.0,4(15),4.0,15,515.0,1.0,0.2,14.4,86.1,0.0,0.3,0.0,6.35
13,42,99487,Harry Maguire,29.0, D(C),194.0,100.0,34,34.0,0,3048.0,1.0,0.2,65.5,87.3,0.0,4.5,0.0,7.04
14,43,336915,Scott McTominay,25.0," D(C),DMC",193.0,88.0,24(8),24.0,8,2128.0,1.0,0.5,40.6,87.0,0.1,2.1,0.0,6.93
15,44,100008,Victor Lindelöf,28.0, D(CR),187.0,80.0,29,29.0,0,2586.0,1.0,0.2,64.3,89.8,0.0,2.1,0.0,6.69
16,45,413211,Anthony Elanga,20.0, AM(LR),178.0,0.0,2,2.0,0,156.0,0.0,0.5,26.5,75.5,0.5,1.0,0.0,6.93
17,46,299271,Axel Tuanzebe,24.0, D(CR),186.0,75.0,4(5),4.0,5,402.0,0.0,0.0,29.2,88.6,0.0,1.9,0.0,6.26
18,47,384143,Brandon Williams,22.0," D(L),M(L)",171.0,63.0,2(2),2.0,2,187.0,0.0,0.3,30.8,84.6,0.3,0.5,0.0,6.21
19,48,79554,David de Gea,31.0, GK,192.0,76.0,26,26.0,0,2296.0,0.0,0.0,19.3,75.4,0.0,3.2,0.0,6.47
20,49,304008,Dean Henderson,25.0, GK,188.0,85.0,12(1),12.0,1,1125.0,0.0,0.0,19.8,67.4,0.0,2.2,0.0,6.65
21,50,243814,Eric Bailly,28.0, D(CR),187.0,77.0,10(2),10.0,2,915.0,0.0,0.0,46.8,88.3,0.0,1.7,0.0,6.41
22,51,114397,Fred,29.0, M(C),169.0,64.0,27(3),27.0,3,2397.0,0.0,0.8,60.2,87.7,0.0,3.3,0.1,6.92
23,52,416207,Hannibal Mejbri,19.0, Midfielder,177.0,0.0,0(1),0.0,1,8.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,6.17
24,53,38128,Nemanja Matic,34.0, DMC,194.0,85.0,12(8),12.0,8,1102.0,0.0,0.4,50.8,90.3,0.1,2.7,0.0,6.58
25,54,31376,Odion Ighalo,33.0," AM(C),FW",181.0,73.0,0(1),0.0,1,9.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,5.74
26,55,410512,Shola Shoretire,18.0, Forward,170.0,0.0,0(2),0.0,2,9.0,0.0,0.0,3.0,83.3,0.0,0.0,0.0,6.01
27,56,312739,Timothy Fosu-Mensah,24.0, D(CR),185.0,80.0,1,1.0,0,81.0,0.0,2.0,66.0,90.9,1.0,1.0,0.0,6.92
28,57,413631,William Fish,19.0, Defender,185.0,0.0,0(1),0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
