,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,24,83532,Harry Kane,29.0," AM(C),FW",188.0,86.0,35,35.0,0,3087.0,14.0,1.4,25.9,69.9,0.2,1.9,0.1,7.79
1,25,91909,Son Heung-Min,30.0," M(CLR),FW",183.0,78.0,36(1),36.0,1,3127.0,10.0,2.0,28.6,83.4,1.0,0.8,0.0,7.27
2,26,92508,Lucas Moura,30.0," AM(CLR),FW",172.0,72.0,14(16),14.0,16,1403.0,4.0,0.5,19.0,75.2,0.2,0.2,0.0,6.63
3,27,101859,Pierre-Emile Højbjerg,27.0, M(C),187.0,84.0,38,38.0,0,3420.0,4.0,0.4,72.8,88.5,0.0,2.8,0.0,6.95
4,28,83683,Sèrge Aurier,29.0," D(CLR),M(R)",176.0,76.0,19,19.0,0,1609.0,3.0,0.9,41.7,80.8,0.5,1.1,0.1,7.06
5,29,362275,Sergio Reguilón,25.0," D(L),M(L)",178.0,68.0,26(1),26.0,1,2249.0,3.0,0.6,44.4,77.3,0.6,1.4,0.0,6.72
6,30,279425,Steven Bergwijn,24.0," AM(CLR),FW",178.0,78.0,13(8),13.0,8,1214.0,3.0,0.6,19.8,83.7,0.0,0.1,0.0,6.49
7,31,13812,Gareth Bale,33.0," M(CLR),FW",185.0,81.0,10(10),10.0,10,923.0,2.0,1.1,18.3,73.2,0.6,1.5,0.1,7.3
8,32,94042,Matt Doherty,30.0," D(LR),M(LR)",185.0,80.0,13(4),13.0,4,1239.0,2.0,0.6,39.8,80.5,0.5,1.2,0.0,6.75
9,33,321389,Tanguy Ndombélé,25.0, M(C),181.0,76.0,28(5),28.0,5,2108.0,2.0,0.4,35.5,85.6,0.1,0.6,0.1,6.86
10,34,103837,Ben Davies,29.0," D(CL),M(L)",181.0,76.0,14(6),14.0,6,1340.0,1.0,0.4,32.3,79.2,0.3,1.1,0.0,6.56
11,35,131519,Dele Alli,26.0," M(CL),FW",188.0,76.0,7(8),7.0,8,619.0,1.0,0.6,22.0,81.8,0.1,0.3,0.1,6.49
12,36,303908,Giovani Lo Celso,26.0," M(CR),FW",177.0,68.0,11(7),11.0,7,950.0,1.0,0.8,31.7,81.4,0.2,1.1,0.1,6.62
13,37,363077,Carlos Vinícius,27.0, FW,190.0,86.0,3(6),3.0,6,306.0,0.0,0.2,5.1,52.2,0.0,0.1,0.0,6.37
14,38,407154,Dane Scarlett,18.0, FW,180.0,76.0,0(1),0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
15,39,322655,Davinson Sánchez,26.0, D(C),187.0,81.0,17(1),17.0,1,1487.0,0.0,0.1,57.0,84.5,0.0,2.1,0.0,6.67
16,40,117973,Eric Dier,28.0," D(CR),DMC",188.0,88.0,28,28.0,0,2520.0,0.0,0.2,63.9,83.2,0.0,4.0,0.0,6.66
17,41,75830,Erik Lamela,30.0," AM(CLR),FW",181.0,79.0,5(18),5.0,18,708.0,0.0,0.4,14.7,83.1,0.1,0.3,0.0,6.36
18,42,143990,Harry Winks,26.0, DMC,178.0,65.0,9(6),9.0,6,861.0,0.0,0.3,45.4,84.9,0.1,1.7,0.0,6.37
19,43,25604,Hugo Lloris,35.0, GK,188.0,82.0,38,38.0,0,3420.0,0.0,0.0,23.6,69.3,0.0,4.8,0.0,6.75
20,44,384063,Japhet Tanganga,23.0, D(CR),184.0,76.0,6,6.0,0,489.0,0.0,0.2,33.2,80.9,0.2,0.5,0.2,6.7
21,45,302312,Joe Rodon,24.0, D(C),180.0,70.0,8(4),8.0,4,732.0,0.0,0.0,35.8,88.1,0.0,1.3,0.0,6.57
22,46,29595,Moussa Sissoko,33.0, M(CR),187.0,83.0,15(10),15.0,10,1577.0,0.0,0.2,30.4,84.4,0.0,1.2,0.0,6.44
23,47,69933,Toby Alderweireld,33.0, D(CR),186.0,81.0,25,25.0,0,2241.0,0.0,0.3,57.5,82.5,0.0,4.4,0.1,6.86
