,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,27,25363,Juan Mata,34.0, AM(CLR),170.0,63.0,31(2),31.0,2,2592.0,12.0,2.2,44.0,86.0,1.1,1.8,0.4,7.19
1,28,3283,Joaquín,41.0," M(CLR),FW",179.0,75.0,24(6),24.0,6,2073.0,7.0,1.9,35.0,83.6,0.9,1.0,0.2,7.19
2,29,29571,Pablo Hernández,37.0, M(CLR),173.0,64.0,20(7),20.0,7,1774.0,6.0,1.2,30.9,79.3,0.6,2.0,0.5,6.98
3,30,33724,Éver Banega,34.0, M(C),174.0,77.0,19(9),19.0,9,1745.0,4.0,0.9,54.7,86.9,0.5,4.5,0.3,7.09
4,31,5881,Jeremy Mathieu,38.0, D(CL),189.0,82.0,27(2),27.0,2,2216.0,3.0,0.6,33.6,77.7,0.6,1.1,0.0,7.1
5,32,22033,Jonas,38.0," AM(CLR),FW",181.0,73.0,8(5),8.0,5,689.0,3.0,0.5,22.2,80.3,0.1,0.3,0.2,6.8
6,33,18275,Roberto Soldado,37.0, FW,180.0,74.0,26(8),26.0,8,2418.0,3.0,1.1,19.3,77.9,0.1,0.2,0.1,7.04
7,34,9294,Aritz Aduriz,41.0, FW,181.0,77.0,20(9),20.0,9,1856.0,2.0,0.6,19.9,73.5,0.1,0.2,0.0,6.92
8,35,23957,Bruno,42.0," D(R),M(R)",181.0,76.0,17(2),17.0,2,1538.0,2.0,0.6,41.6,81.2,0.3,1.5,0.1,6.89
9,36,6687,Miguel Brito,42.0, D(R),179.0,78.0,20(4),20.0,4,1827.0,2.0,0.7,39.2,76.1,0.7,1.4,0.2,6.9
10,37,10110,Ricardo Costa,41.0, D(C),183.0,80.0,29,29.0,0,2501.0,2.0,0.1,34.3,83.6,0.0,3.2,0.0,6.93
11,38,42834,Alberto Costa,37.0, M(C),176.0,77.0,17(7),17.0,7,1624.0,1.0,1.3,47.3,80.5,1.2,4.4,0.4,6.98
12,39,10717,Chori Domínguez,41.0," AM(C),FW",176.0,69.0,3(6),3.0,6,326.0,1.0,0.3,16.2,75.3,0.4,0.7,0.2,6.36
13,40,879,David Albelda,45.0, M(C),181.0,77.0,12(4),12.0,4,1066.0,1.0,0.3,35.0,78.4,0.1,2.3,0.1,6.7
14,41,12476,Manuel Fernandes,36.0, M(CL),176.0,75.0,5(2),5.0,2,481.0,1.0,0.7,40.3,86.5,0.7,3.6,0.0,6.85
15,42,22167,Mehmet Topal,36.0," D(C),M(C)",187.0,82.0,21(2),21.0,2,1830.0,1.0,0.2,43.1,86.1,0.1,3.9,0.0,6.89
16,43,35202,Ángel Dealbert,39.0, D(C),185.0,80.0,10(4),10.0,4,994.0,0.0,0.1,33.6,84.7,0.0,4.4,0.1,6.74
17,44,9426,César,51.0, GK,185.0,82.0,15,15.0,0,1270.0,0.0,0.1,36.8,58.2,0.0,10.8,0.0,7.13
18,45,5999,David Navarro,42.0, D(C),188.0,82.0,17(1),17.0,1,1340.0,0.0,0.1,28.1,81.8,0.0,3.2,0.0,6.69
19,46,82989,Isco,30.0," M(CLR),FW",176.0,79.0,0(4),0.0,4,61.0,0.0,0.5,7.3,75.9,0.0,0.0,0.0,6.15
20,47,14525,Hedwiges Maduro,37.0, DMC,185.0,79.0,17(1),17.0,1,1481.0,0.0,0.4,40.5,84.0,0.0,4.0,0.2,6.85
21,48,44288,Jordi Alba,33.0," D(L),M(L)",170.0,68.0,14(13),14.0,13,1412.0,0.0,0.3,26.7,78.4,0.2,0.8,0.1,6.89
22,49,5854,Marius Stankevicius,41.0," D(CLR),DMC",190.0,83.0,19(2),19.0,2,1700.0,0.0,0.1,42.5,79.9,0.1,5.0,0.1,6.99
23,50,9418,Miguel Ángel Moyá,38.0, GK,188.0,83.0,4,4.0,0,360.0,0.0,0.0,31.5,54.8,0.0,9.8,0.0,6.95
24,51,34239,Sofiane Feghouli,32.0, M(CR),177.0,75.0,0(3),0.0,3,28.0,0.0,0.3,6.0,72.2,0.3,0.0,0.0,6.18
25,52,33866,Vicente Guaita,35.0, GK,190.0,81.0,19(2),19.0,2,1793.0,0.0,0.0,28.1,58.5,0.0,8.1,0.0,6.93
26,53,956,Vicente,41.0, AM(C),175.0,72.0,5(9),5.0,9,562.0,0.0,0.9,18.2,78.8,0.9,0.6,0.1,6.66
