,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,28,94868,Pablo Sarabia,30.0," D(L),M(CLR),FW",174.0,70.0,22(12),22.0,12,2134.0,8.0,1.4,28.7,79.1,1.1,1.0,0.1,6.93
1,29,91430,Vitolo,32.0," M(CLR),FW",185.0,80.0,25(5),25.0,5,2336.0,6.0,1.5,39.7,83.9,0.2,1.4,0.0,7.08
2,30,29072,Stevan Jovetic,32.0," AM(CL),FW",183.0,79.0,12(9),12.0,9,1206.0,4.0,1.0,20.0,72.1,0.1,0.5,0.0,6.84
3,31,89946,Wissam Ben Yedder,32.0," AM(C),FW",170.0,68.0,20(11),20.0,11,1667.0,4.0,0.8,13.5,75.2,0.1,0.3,0.0,6.73
4,32,102439,Franco Vázquez,33.0," AM(CLR),FW",187.0,82.0,26(4),26.0,4,2092.0,3.0,1.0,30.6,77.5,0.5,1.5,0.2,7.03
5,33,125543,Luciano Vietto,28.0," AM(CLR),FW",174.0,69.0,14(7),14.0,7,1313.0,3.0,0.8,19.6,80.8,0.2,0.4,0.0,6.68
6,34,13298,Samir Nasri,35.0, M(CLR),175.0,75.0,22(1),22.0,1,1845.0,3.0,1.6,65.0,89.5,0.7,2.0,0.1,6.92
7,35,89856,Sergio Escudero,33.0," D(L),M(L)",176.0,65.0,25(1),25.0,1,2282.0,3.0,0.9,47.6,82.2,0.5,1.8,0.0,7.21
8,36,39935,Steven Nzonzi,33.0, M(C),196.0,75.0,34(1),34.0,1,3067.0,3.0,0.6,79.8,89.9,0.1,4.5,0.1,7.13
9,37,40266,Hiroshi Kiyotake,32.0, AM(CLR),172.0,66.0,3(1),3.0,1,286.0,2.0,1.5,33.0,79.5,0.8,1.3,0.0,6.75
10,38,40771,Mariano,36.0," D(R),M(R)",185.0,77.0,29(2),29.0,2,2643.0,2.0,1.2,41.8,81.1,1.0,2.4,0.0,6.9
11,39,34052,Vicente Iborra,34.0, M(C),190.0,80.0,12(19),12.0,19,1473.0,2.0,0.5,30.8,82.1,0.0,2.0,0.0,6.8
12,40,35689,Gabriel Mercado,35.0, D(CR),180.0,81.0,26(3),26.0,3,2188.0,1.0,0.2,36.9,79.7,0.0,1.7,0.0,6.67
13,41,19193,Nicolás Pareja,38.0, D(C),181.0,75.0,27,27.0,0,2168.0,1.0,0.2,43.4,81.2,0.1,3.9,0.1,6.82
14,42,40237,Ganso,32.0, AM(C),184.0,79.0,5(5),5.0,5,485.0,1.0,0.7,32.9,86.6,0.0,1.2,0.2,6.72
15,43,26877,Adil Rami,36.0, D(C),190.0,90.0,21,21.0,0,1785.0,0.0,0.1,45.8,83.7,0.0,4.1,0.0,6.78
16,44,140812,Carlos Fernández,26.0," AM(C),FW",185.0,72.0,1(2),1.0,2,88.0,0.0,0.0,3.3,60.0,0.0,0.0,0.0,6.35
17,45,236511,Clément Lenglet,27.0, D(C),186.0,81.0,15(2),15.0,2,1359.0,0.0,0.1,51.6,82.5,0.1,4.3,0.0,6.8
18,46,43824,Daniel Carriço,34.0," D(C),DMC",180.0,79.0,6,6.0,0,454.0,0.0,0.2,37.3,81.3,0.2,1.2,0.0,6.34
19,47,243262,David Soria,29.0, GK,192.0,85.0,1,1.0,0,90.0,0.0,0.0,19.0,84.2,0.0,4.0,0.0,7.01
20,48,316957,Diego González,27.0, D(CL),185.0,83.0,0(3),0.0,3,31.0,0.0,0.0,2.7,75.0,0.0,0.3,0.0,6.23
21,49,125378,Joaquín Correa,28.0," AM(CL),FW",189.0,75.0,15(11),15.0,11,1312.0,0.0,0.5,18.1,82.6,0.2,0.4,0.0,6.65
22,50,130446,Matías Kranevitter,29.0, DMC,178.0,74.0,14(7),14.0,7,1283.0,0.0,0.1,31.9,90.9,0.0,2.0,0.0,6.52
23,51,10623,Michael Krohn-Dehli,39.0, M(CLR),171.0,70.0,2,2.0,0,172.0,0.0,0.5,86.5,90.8,0.0,1.0,0.0,6.61
24,52,22627,Salvatore Sirigu,35.0, GK,192.0,80.0,2,2.0,0,178.0,0.0,0.0,43.5,69.0,0.0,7.5,0.0,6.04
25,53,109338,Sergio Rico,29.0, GK,195.0,90.0,35,35.0,0,3150.0,0.0,0.0,28.3,60.5,0.0,6.6,0.0,6.82
26,54,44417,Timothée Kolodziejczak,31.0," D(CL),M(L)",185.0,75.0,3(2),3.0,2,329.0,0.0,0.2,43.2,85.6,0.2,2.8,0.0,6.74
27,55,303907,Walter Montoya,29.0, AM(CR),172.0,73.0,1(3),1.0,3,111.0,0.0,0.3,10.0,82.5,0.0,0.3,0.0,6.25
