,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,24,14296,Karim Benzema,34.0, FW,185.0,81.0,25(7),25.0,7,2156.0,10.0,1.4,27.1,82.9,0.1,0.9,0.1,7.0
1,25,82989,Isco,30.0," M(CLR),FW",176.0,79.0,21(9),21.0,9,1781.0,7.0,1.6,50.7,88.8,0.8,1.9,0.2,7.16
2,26,144511,Lucas Vázquez,31.0," D(R),M(R)",173.0,70.0,16(17),16.0,17,1670.0,7.0,1.5,27.2,86.7,0.7,1.0,0.0,6.91
3,27,31772,Toni Kroos,32.0, M(C),183.0,76.0,26(1),26.0,1,2268.0,7.0,2.4,76.7,93.1,1.7,6.2,0.1,7.47
4,28,20874,Luka Modric,37.0, M(C),172.0,66.0,23(3),23.0,3,1976.0,6.0,1.5,59.5,89.9,0.1,4.8,0.3,7.29
5,29,20241,Marcelo,34.0," D(L),M(L)",174.0,75.0,26(2),26.0,2,2262.0,6.0,2.0,57.4,84.6,1.1,3.4,0.0,7.07
6,30,137467,Marco Asensio,26.0," AM(CLR),FW",182.0,76.0,19(13),19.0,13,1839.0,6.0,1.6,35.4,90.2,0.7,1.2,0.1,7.02
7,31,5583,Cristiano Ronaldo,37.0," M(L),FW",187.0,83.0,27,27.0,0,2293.0,5.0,1.4,27.1,81.6,0.3,0.5,0.1,7.94
8,32,88526,Casemiro,30.0, DMC,185.0,84.0,30,30.0,0,2601.0,3.0,0.8,58.2,88.4,0.1,5.1,0.1,7.49
9,33,106883,Daniel Carvajal,30.0, D(R),173.0,73.0,25,25.0,0,2223.0,2.0,1.4,62.7,87.2,1.0,3.2,0.0,7.06
10,34,13812,Gareth Bale,33.0," M(CLR),FW",185.0,81.0,20(6),20.0,6,1803.0,2.0,1.6,26.8,82.5,0.6,1.4,0.0,7.49
11,35,278721,Borja Mayoral,25.0, FW,182.0,74.0,3(11),3.0,11,338.0,1.0,0.1,8.6,84.2,0.0,0.1,0.0,6.52
12,36,93894,Mateo Kovacic,28.0, M(CL),178.0,78.0,10(11),10.0,11,989.0,1.0,0.5,37.7,93.7,0.0,1.9,0.0,6.73
13,37,93206,Raphaël Varane,29.0, D(C),191.0,81.0,27,27.0,0,2324.0,1.0,0.3,49.3,90.8,0.0,3.7,0.0,6.85
14,38,9909,Sergio Ramos,36.0, D(CR),184.0,82.0,26,26.0,0,2292.0,1.0,0.5,72.5,90.3,0.0,6.1,0.1,7.09
15,39,320834,Achraf Hakimi,23.0," D(LR),M(R)",181.0,73.0,8(1),8.0,1,757.0,0.0,0.6,45.2,86.5,0.3,1.0,0.0,7.34
16,40,144890,Dani Ceballos,26.0, M(CL),179.0,70.0,4(8),4.0,8,397.0,0.0,0.3,31.1,93.6,0.0,1.9,0.0,6.57
17,41,23154,Kiko Casilla,36.0, GK,190.0,86.0,10,10.0,0,900.0,0.0,0.0,21.9,75.3,0.0,4.3,0.0,6.53
18,42,238901,Jesús Vallejo,25.0, D(CR),184.0,79.0,7,7.0,0,630.0,0.0,0.0,52.3,87.2,0.0,3.1,0.0,6.95
19,43,106875,Nacho,32.0, D(CLR),180.0,76.0,22(5),22.0,5,2073.0,0.0,0.2,41.1,90.8,0.2,1.9,0.0,6.9
20,44,65901,Keylor Navas,35.0, GK,185.0,80.0,27,27.0,0,2430.0,0.0,0.0,21.1,76.0,0.0,3.9,0.0,6.94
21,45,320833,Luca Zidane,24.0, GK,183.0,78.0,1,1.0,0,90.0,0.0,0.0,26.0,92.3,0.0,2.0,0.0,6.17
22,46,254582,Marcos Llorente,27.0," D(R),M(CR),FW",184.0,74.0,5(8),5.0,8,540.0,0.0,0.2,33.0,93.5,0.0,1.8,0.0,6.45
23,47,303115,Theo Hernández,24.0," D(L),M(L)",184.0,81.0,10(3),10.0,3,963.0,0.0,0.6,42.4,87.3,0.6,0.6,0.0,6.98
