,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,27,115472,Yannick Carrasco,29.0," M(CLR),FW",185.0,73.0,28(6),28.0,6,2594.0,6.0,1.6,30.1,80.6,1.2,0.7,0.1,7.08
1,28,127604,Ángel Correa,27.0," AM(CLR),FW",171.0,70.0,21(15),21.0,15,1860.0,5.0,0.7,16.6,76.5,0.1,0.3,0.0,6.67
2,29,132962,Thomas Lemar,26.0, AM(CLR),171.0,63.0,17(7),17.0,7,1450.0,5.0,1.3,28.3,85.3,1.0,1.2,0.0,6.8
3,30,80241,Antoine Griezmann,31.0," AM(CLR),FW",176.0,73.0,21(5),21.0,5,1709.0,4.0,1.0,25.3,80.7,0.2,0.7,0.1,6.8
4,31,362431,João Félix,22.0," AM(CL),FW",181.0,70.0,13(11),13.0,11,1267.0,4.0,0.8,17.5,75.0,0.1,1.0,0.2,6.91
5,32,362758,Matheus Cunha,23.0," AM(CL),FW",184.0,76.0,8(21),8.0,21,1053.0,4.0,0.3,7.1,71.0,0.1,0.1,0.1,6.53
6,33,91978,Geoffrey Kondogbia,29.0," D(C),DMC",188.0,80.0,21(7),21.0,7,1885.0,2.0,0.4,35.5,86.0,0.0,2.6,0.0,6.81
7,34,80764,Koke,30.0, M(CLR),176.0,77.0,29(2),29.0,2,2512.0,2.0,0.8,55.6,86.5,0.2,2.3,0.1,6.66
8,35,22221,Luis Suárez,35.0," AM(CLR),FW",182.0,86.0,20(15),20.0,15,1837.0,2.0,0.4,14.0,73.7,0.0,0.6,0.1,6.54
9,36,254582,Marcos Llorente,27.0," D(R),M(CR),FW",184.0,74.0,29,29.0,0,2456.0,2.0,0.9,37.6,84.8,0.4,1.3,0.0,6.67
10,37,326646,Renan Lodi,24.0," D(L),M(L)",173.0,68.0,13(16),13.0,16,1181.0,2.0,0.4,16.9,81.6,0.3,0.4,0.0,6.47
11,38,77059,Sime Vrsaljko,30.0," D(LR),M(R)",181.0,76.0,10(11),10.0,11,910.0,2.0,0.1,21.7,77.2,0.2,1.0,0.0,6.53
12,39,102173,Felipe,33.0, D(C),190.0,83.0,15(11),15.0,11,1499.0,1.0,0.2,29.7,81.8,0.0,1.5,0.0,6.52
13,40,135914,José Giménez,27.0, D(CR),185.0,80.0,24,24.0,0,2047.0,1.0,0.2,38.5,88.6,0.0,3.1,0.0,6.82
14,41,344156,Mario Hermoso,27.0, D(CL),184.0,75.0,22(5),22.0,5,1872.0,1.0,0.3,43.9,87.0,0.2,3.7,0.0,6.54
15,42,125547,Rodrigo de Paul,28.0," AM(CLR),FW",180.0,70.0,24(12),24.0,12,2155.0,1.0,1.4,35.8,81.9,0.9,2.8,0.3,6.8
16,43,112161,Saúl Ñíguez,27.0," D(CL),M(CLR)",184.0,76.0,2(1),2.0,1,200.0,1.0,0.3,30.3,86.8,0.0,2.3,0.0,6.81
17,44,89928,Benjamin Lecomte,31.0, GK,186.0,78.0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
18,45,427360,Carlos Martín,20.0, Forward,0.0,0.0,0(1),0.0,1,5.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,6.3
19,46,27254,Daniel Wass,33.0," D(LR),M(CLR)",181.0,74.0,0(1),0.0,1,45.0,0.0,0.0,17.0,76.5,0.0,0.0,0.0,6.17
20,47,422918,Giuliano Simeone,19.0, Forward,0.0,0.0,0(1),0.0,1,1.0,0.0,0.0,3.0,33.3,0.0,0.0,0.0,6.0
21,48,103476,Héctor Herrera,32.0, M(C),185.0,80.0,8(13),8.0,13,852.0,0.0,0.5,31.1,84.8,0.1,1.5,0.0,6.49
22,49,76662,Jan Oblak,29.0, GK,188.0,87.0,38,38.0,0,3420.0,0.0,0.0,24.7,51.9,0.0,5.4,0.0,6.35
23,50,422917,Javier Serrano,19.0, Midfielder,0.0,0.0,1(4),1.0,4,67.0,0.0,0.0,7.4,78.4,0.0,0.2,0.0,5.97
24,51,83078,Kieran Trippier,32.0," D(LR),M(R)",178.0,71.0,12(3),12.0,3,979.0,0.0,0.5,42.0,78.7,0.5,2.7,0.0,6.57
25,52,361812,Reinildo,28.0," D(CL),M(L)",180.0,73.0,15(2),15.0,2,1300.0,0.0,0.2,34.2,83.6,0.0,1.1,0.0,6.77
26,53,77564,Stefan Savic,31.0, D(C),187.0,81.0,28,28.0,0,2440.0,0.0,0.1,49.1,82.3,0.0,3.8,0.0,6.8
