,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,38,299513,Ousmane Dembélé,25.0," AM(CLR),FW",178.0,67.0,15(6),15.0,6,1413.0,13.0,2.1,31.7,84.4,1.4,1.1,0.3,7.46
1,39,44288,Jordi Alba,33.0," D(L),M(L)",170.0,68.0,30,30.0,0,2648.0,10.0,1.9,79.7,86.6,0.8,3.3,0.2,6.99
2,40,422937,Gavi,18.0, AM(CL),173.0,70.0,28(6),28.0,6,2331.0,5.0,0.6,35.2,89.3,0.2,1.0,0.2,6.79
3,41,349760,Ferran Torres,22.0," AM(LR),FW",184.0,77.0,17(1),17.0,1,1418.0,4.0,0.7,31.8,84.6,0.0,1.3,0.0,6.88
4,42,5780,Dani Alves,39.0," D(R),M(CR)",172.0,70.0,13(1),13.0,1,1103.0,3.0,1.6,65.4,88.0,1.6,2.8,0.3,7.03
5,43,279423,Frenkie de Jong,25.0," D(C),DMC",180.0,74.0,30(2),30.0,2,2486.0,3.0,1.3,51.2,91.3,0.2,2.3,0.2,6.91
6,44,379205,Sergiño Dest,21.0," D(LR),M(R)",175.0,62.0,17(4),17.0,4,1516.0,3.0,0.9,38.9,92.4,0.3,0.7,0.0,6.76
7,45,140088,Adama Traoré,26.0," M(CLR),FW",178.0,86.0,4(7),4.0,7,379.0,2.0,0.6,11.6,85.2,1.0,0.3,0.0,6.74
8,46,110154,Memphis Depay,28.0," AM(CL),FW",176.0,78.0,20(8),20.0,8,1850.0,2.0,1.6,28.9,82.1,1.3,0.6,0.0,7.1
9,47,236511,Clément Lenglet,27.0, D(C),186.0,81.0,7(14),7.0,14,818.0,1.0,0.1,38.7,91.0,0.0,2.3,0.0,6.3
10,48,73494,Martin Braithwaite,31.0," AM(CLR),FW",177.0,73.0,3(1),3.0,1,237.0,1.0,0.5,13.5,81.5,0.0,0.3,0.0,6.93
11,49,422939,Nico González,20.0, DMC,188.0,85.0,12(15),12.0,15,1111.0,1.0,0.5,24.9,90.0,0.1,0.4,0.1,6.53
12,50,397469,Óscar Mingueza,23.0, D(CR),184.0,75.0,9(10),9.0,10,892.0,1.0,0.5,34.4,89.3,0.5,1.3,0.1,6.49
13,51,402197,Pedri,19.0, AM(C),174.0,60.0,10(2),10.0,2,891.0,1.0,1.3,48.3,86.5,0.6,3.0,0.2,7.12
14,52,44120,Pierre-Emerick Aubameyang,33.0," M(CLR),FW",187.0,80.0,13(4),13.0,4,1092.0,1.0,0.5,13.7,75.5,0.0,0.3,0.1,6.98
15,53,90782,Sergi Roberto,30.0," D(R),M(CR)",178.0,68.0,4(5),4.0,5,400.0,1.0,0.4,26.4,92.0,0.1,0.2,0.0,6.53
16,54,427283,Abdessamad Ezzalzouli,20.0, AM(L),0.0,0.0,6(4),6.0,4,582.0,0.0,0.6,16.8,76.2,0.2,0.2,0.0,6.94
17,55,422938,Alejandro Balde,18.0, D(L),175.0,69.0,2(3),2.0,3,188.0,0.0,0.2,27.8,95.7,0.4,0.0,0.0,6.14
18,56,427284,Álvaro Sanz,21.0, Midfielder,0.0,0.0,0(2),0.0,2,27.0,0.0,0.5,6.0,83.3,0.0,0.0,0.0,6.01
19,57,382234,Ansu Fati,19.0, AM(L),178.0,66.0,3(7),3.0,7,334.0,0.0,0.2,15.4,85.1,0.1,0.2,0.0,6.7
20,58,80241,Antoine Griezmann,31.0," AM(CLR),FW",176.0,73.0,3,3.0,0,264.0,0.0,0.0,33.7,85.1,0.0,3.3,0.0,7.15
21,59,328512,Emerson Royal,23.0," D(R),M(R)",181.0,79.0,1(2),1.0,2,90.0,0.0,0.0,17.3,86.5,0.0,0.3,0.0,6.28
22,60,368091,Eric García,21.0, D(C),182.0,76.0,23(3),23.0,3,2044.0,0.0,0.2,64.3,93.2,0.0,3.3,0.0,6.62
23,61,430512,Estanis Pedrola,19.0, Forward,0.0,0.0,0(1),0.0,1,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.07
24,62,396158,Ferran Jutglà,23.0, FW,176.0,77.0,4(2),4.0,2,303.0,0.0,0.3,18.8,85.0,0.3,0.5,0.0,6.52
25,63,12712,Gerard Piqué,35.0, D(C),194.0,85.0,25(2),25.0,2,2097.0,0.0,0.2,62.1,90.0,0.0,4.4,0.0,6.93
