,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,31,23236,Julien Féret,40.0, M(C),187.0,76.0,33(4),33.0,4,2804.0,6.0,2.1,36.2,74.2,1.0,2.6,0.3,7.21
1,32,90103,Romain Alessandrini,33.0," AM(CLR),FW",173.0,70.0,20(2),20.0,2,1581.0,6.0,1.1,21.2,76.6,1.2,1.0,0.1,7.3
2,33,15334,Jonathan Pitroipa,36.0," M(LR),FW",176.0,60.0,32,32.0,0,2830.0,5.0,1.0,27.3,79.7,0.1,0.5,0.1,6.89
3,34,19248,Mevlüt Erdinç,35.0, FW,181.0,85.0,28(4),28.0,4,2330.0,4.0,0.8,19.8,66.7,0.1,0.3,0.1,6.72
4,35,5973,Jean Makoun,39.0, M(C),173.0,65.0,28,28.0,0,2400.0,3.0,1.0,49.3,81.5,0.1,3.9,0.1,6.94
5,36,69807,Kévin Théophile-Catherine,32.0, D(CLR),183.0,86.0,29,29.0,0,2610.0,2.0,0.6,26.8,74.7,0.9,1.7,0.0,7.03
6,37,107678,Abdoulaye Sané,29.0, Forward,184.0,73.0,0(15),0.0,15,210.0,1.0,0.3,3.8,80.7,0.2,0.1,0.0,6.17
7,38,96486,Chris Mavinga,31.0, D(CL),183.0,81.0,27,27.0,0,2328.0,1.0,0.6,29.7,79.1,0.4,1.3,0.1,6.97
8,39,67370,John Boye,35.0, D(C),184.0,73.0,23(1),23.0,1,2086.0,1.0,0.2,26.5,84.3,0.0,3.1,0.0,7.21
9,40,23618,Romain Danzé,36.0," D(R),M(CR)",184.0,73.0,26(6),26.0,6,2422.0,1.0,0.9,31.3,76.2,0.4,1.8,0.1,6.76
10,41,129648,Steven Moreira,28.0," D(LR),M(R)",178.0,72.0,3,3.0,0,227.0,1.0,1.3,26.7,88.8,1.3,2.0,0.0,6.5
11,42,90061,Vincent Pajot,32.0, M(C),180.0,68.0,23(4),23.0,4,2054.0,1.0,0.4,37.4,83.7,0.1,2.6,0.0,6.89
12,43,116317,Abdoulaye Doucouré,29.0, M(C),184.0,75.0,4,4.0,0,319.0,0.0,0.5,37.8,81.5,0.0,2.0,0.0,7.18
13,44,4028,Alou Diarra,41.0," D(C),M(C)",190.0,79.0,9(3),9.0,3,757.0,0.0,0.2,20.3,85.6,0.0,1.1,0.0,6.65
14,45,31142,Anders Konradsen,32.0, DMC,183.0,76.0,1(5),1.0,5,184.0,0.0,0.5,13.5,79.0,0.0,0.8,0.0,6.13
15,46,116318,Axel Ngando,29.0, AM(C),179.0,71.0,0(4),0.0,4,65.0,0.0,0.0,10.8,86.0,0.0,1.0,0.0,6.15
16,47,29586,Benoît Costil,35.0, GK,188.0,88.0,37,37.0,0,3266.0,0.0,0.0,18.9,44.9,0.0,5.8,0.0,6.66
17,48,105139,Cheick Diarra,30.0, FW,176.0,79.0,6(11),6.0,11,592.0,0.0,0.5,9.6,77.4,0.1,0.4,0.1,6.13
18,49,43868,Cheikh N'Diaye,37.0, Goalkeeper,192.0,81.0,1(1),1.0,1,152.0,0.0,0.0,22.5,37.8,0.0,5.5,0.0,7.66
19,50,101084,Dimitri Foulquier,29.0," D(CLR),M(R)",183.0,72.0,8(7),8.0,7,795.0,0.0,0.3,14.7,76.9,0.1,1.3,0.0,6.59
20,51,128589,Ejike Uzoenyi,30.0, Midfielder,168.0,62.0,0(1),0.0,1,3.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,5.68
21,52,10452,Herita Ilunga,40.0, D(C),180.0,74.0,4(1),4.0,1,353.0,0.0,0.0,26.8,91.0,0.0,2.2,0.0,6.69
22,53,36413,Jean-Armel Kana-Biyik,33.0, D(C),184.0,86.0,30,30.0,0,2619.0,0.0,0.2,26.4,83.2,0.0,2.7,0.0,6.86
23,54,27355,Jires Kembo-Ekoko,34.0," M(LR),FW",179.0,75.0,1,1.0,0,30.0,0.0,1.0,8.0,100.0,1.0,0.0,0.0,5.22
24,55,4777,John Mensah,39.0," D(CL),DMC",178.0,79.0,3(1),3.0,1,259.0,0.0,0.0,11.3,73.3,0.0,0.8,0.0,6.81
25,56,129998,Kevin Beauverger,28.0, Defender,171.0,68.0,0(1),0.0,1,29.0,0.0,0.0,6.0,66.7,0.0,1.0,0.0,6.14
26,57,23284,Onyekachi Apam,35.0, D(C),176.0,84.0,8(3),8.0,3,749.0,0.0,0.2,20.5,80.9,0.0,1.4,0.0,6.47
27,58,83572,Sadio Diallo,31.0," M(CL),FW",182.0,75.0,18(17),18.0,17,1711.0,0.0,0.8,23.9,83.1,0.3,1.7,0.0,6.37
28,59,8009,Víctor Montaño,38.0, FW,177.0,76.0,3(7),3.0,7,360.0,0.0,0.4,12.9,71.3,0.1,0.4,0.0,6.31
29,60,33886,Yann M'Vila,32.0, M(C),182.0,80.0,11(5),11.0,5,1013.0,0.0,0.3,44.8,85.5,0.0,5.6,0.1,6.69
30,61,80471,Yassine Jebbour,31.0, D(LR),180.0,70.0,2(3),2.0,3,214.0,0.0,0.0,13.6,85.3,0.0,0.6,0.0,6.27
