,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,31,135891,Allan Saint-Maximin,25.0," AM(CLR),FW",173.0,67.0,26(4),26.0,4,2265.0,7.0,1.5,27.8,78.5,0.5,0.9,0.0,7.15
1,32,301243,Pierre Lees-Melou,29.0, M(CLR),185.0,69.0,33(1),33.0,1,2898.0,6.0,1.7,44.2,84.8,1.0,2.4,0.0,7.05
2,33,108585,Alassane Plea,29.0," AM(CLR),FW",181.0,79.0,34(1),34.0,1,3042.0,5.0,0.9,29.1,79.6,0.0,1.0,0.1,7.14
3,34,136262,Jean Michaël Seri,31.0, M(C),168.0,69.0,30(1),30.0,1,2623.0,5.0,2.1,86.3,90.4,1.0,5.3,0.0,6.92
4,35,236523,Maxime Le Marchand,32.0, D(CL),185.0,78.0,29,29.0,0,2536.0,3.0,0.4,62.8,88.6,0.2,2.6,0.0,6.85
5,36,80465,Arnaud Souquet,30.0," D(CR),M(R)",179.0,74.0,27(2),27.0,2,2415.0,2.0,0.4,47.3,87.7,0.5,2.1,0.0,6.95
6,37,123873,Wylan Cyprien,27.0, M(C),180.0,75.0,10(6),10.0,6,946.0,2.0,1.0,49.6,89.9,0.8,2.8,0.1,6.63
7,38,124721,Adrien Tameze,28.0, M(C),180.0,78.0,19(7),19.0,7,1683.0,1.0,0.3,50.5,91.4,0.0,2.5,0.0,6.91
8,39,318485,Ihsan Sacko,25.0, AM(L),183.0,70.0,3(5),3.0,5,257.0,1.0,0.3,10.6,78.8,0.0,0.0,0.1,6.31
9,40,33799,Mario Balotelli,32.0, FW,189.0,88.0,26(2),26.0,2,2279.0,1.0,1.2,27.4,76.5,0.1,1.9,0.2,7.24
10,41,90278,Nampalys Mendy,30.0, M(C),167.0,73.0,11(3),11.0,3,967.0,1.0,0.1,53.0,90.7,0.0,2.6,0.0,6.27
11,42,236515,Arnaud Lusamba,25.0, AM(C),180.0,74.0,1(3),1.0,3,160.0,0.0,0.8,23.0,81.5,0.0,1.3,0.0,6.59
12,43,333437,Bassem Srarfi,25.0," D(L),M(LR)",176.0,71.0,10(16),10.0,16,865.0,0.0,0.3,13.7,84.3,0.1,0.5,0.0,6.41
13,44,14240,Christophe Jallet,38.0," D(LR),M(L)",178.0,70.0,13(2),13.0,2,1174.0,0.0,0.6,47.3,86.9,0.1,2.1,0.0,6.65
14,45,6683,Dante,38.0, D(C),188.0,87.0,33,33.0,0,2920.0,0.0,0.2,70.5,91.9,0.0,5.1,0.0,6.71
15,46,342545,Hicham Mahou,23.0, Midfielder,177.0,64.0,0(3),0.0,3,53.0,0.0,0.0,8.3,80.0,0.0,0.3,0.0,6.12
16,47,344645,Ignatius Ganago,23.0," AM(LR),FW",179.0,82.0,0(6),0.0,6,63.0,0.0,0.2,3.2,68.4,0.0,0.2,0.0,6.2
17,48,300634,Jean-Victor Makengo,24.0, AM(CL),177.0,75.0,2(3),2.0,3,244.0,0.0,0.0,21.0,90.5,0.2,0.8,0.0,6.4
18,49,322747,Malang Sarr,23.0, D(CL),182.0,73.0,13(8),13.0,8,1320.0,0.0,0.2,50.8,89.3,0.0,3.6,0.0,6.59
19,50,131382,Marlon Santos,27.0, D(C),182.0,80.0,22(1),22.0,1,1930.0,0.0,0.2,60.7,94.6,0.0,2.9,0.0,6.56
20,51,236520,Mickaël Le Bihan,32.0, FW,185.0,85.0,0(7),0.0,7,100.0,0.0,0.4,6.4,91.1,0.0,0.4,0.0,6.07
21,52,329246,Patrick Burner,26.0, D(R),168.0,61.0,10(3),10.0,3,896.0,0.0,0.8,41.3,87.9,0.3,1.5,0.0,6.8
22,53,147810,Racine Coly,26.0," D(L),M(L)",185.0,70.0,7,7.0,0,618.0,0.0,0.1,53.1,87.6,0.4,1.1,0.0,6.98
23,54,125326,Rémi Walter,27.0, M(CR),174.0,73.0,6(2),6.0,2,492.0,0.0,0.5,28.8,88.7,0.1,1.4,0.0,6.64
24,55,331466,Romain Perraud,25.0," D(L),M(L)",173.0,68.0,0(1),0.0,1,1.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,6.0
25,56,93721,Valentin Eysseric,30.0," AM(CLR),FW",181.0,73.0,1,1.0,0,90.0,0.0,2.0,66.0,83.3,3.0,3.0,0.0,6.74
26,57,238921,Vincent Koziello,26.0, M(C),168.0,58.0,10(5),10.0,5,810.0,0.0,0.5,39.3,94.1,0.0,2.3,0.0,6.43
27,58,322749,Vincent Marcel,25.0, Midfielder,180.0,65.0,0(2),0.0,2,48.0,0.0,0.0,9.5,78.9,0.0,0.0,0.0,6.05
28,59,130304,Walter Benítez,29.0, GK,191.0,91.0,28,28.0,0,2520.0,0.0,0.0,21.9,69.8,0.0,4.6,0.0,6.6
29,60,4923,Wesley Sneijder,38.0, AM(CL),171.0,67.0,4(1),4.0,1,400.0,0.0,2.2,56.4,84.4,1.4,2.4,0.2,6.67
30,61,140569,Yoan Cardinale,28.0, GK,181.0,84.0,10,10.0,0,900.0,0.0,0.0,24.7,80.6,0.0,5.7,0.0,6.24
