,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,30,23110,Ángel Di María,34.0," M(CLR),FW",180.0,75.0,28(2),28.0,2,2339.0,11.0,1.8,42.1,78.8,1.0,1.7,0.2,7.52
1,31,5780,Dani Alves,39.0," D(R),M(CR)",172.0,70.0,19(4),19.0,4,1625.0,7.0,1.4,63.1,85.6,0.7,2.2,0.3,7.02
2,32,96449,Julian Draxler,29.0," AM(CLR),FW",185.0,72.0,22(9),22.0,9,2046.0,7.0,1.3,49.5,89.8,0.4,1.3,0.1,7.02
3,33,300713,Kylian Mbappé,23.0," AM(LR),FW",178.0,73.0,24(5),24.0,5,2344.0,7.0,1.6,26.9,79.4,0.2,0.6,0.1,8.0
4,34,50835,Neymar,30.0," AM(CLR),FW",175.0,68.0,16(1),16.0,1,1444.0,7.0,2.5,57.8,81.1,1.0,2.5,0.9,8.26
5,35,353397,Moussa Diaby,23.0," M(CLR),FW",170.0,68.0,10(15),10.0,15,1131.0,6.0,0.8,20.6,83.3,0.1,0.2,0.1,6.62
6,36,24328,Edinson Cavani,35.0," AM(LR),FW",184.0,71.0,20(1),20.0,1,1676.0,5.0,0.6,16.7,76.3,0.0,0.3,0.0,7.44
7,37,104376,Thomas Meunier,31.0," D(R),M(R)",191.0,90.0,19(3),19.0,3,1615.0,3.0,0.9,37.5,84.5,0.5,1.2,0.0,7.07
8,38,300945,Christopher Nkunku,24.0," M(CLR),FW",175.0,73.0,13(9),13.0,9,1155.0,2.0,0.8,27.9,91.0,0.1,0.4,0.2,6.88
9,39,361283,Colin Dagba,24.0, D(R),170.0,62.0,9(8),9.0,8,914.0,2.0,0.8,33.8,93.0,0.3,0.2,0.1,6.5
10,40,106894,Juan Bernat,29.0," D(L),M(CL)",177.0,67.0,21(4),21.0,4,1838.0,2.0,0.8,41.6,90.8,0.4,0.6,0.0,6.84
11,41,92795,Layvin Kurzawa,30.0," D(L),M(L)",182.0,74.0,11(8),11.0,8,1011.0,2.0,0.6,24.9,84.4,0.2,0.2,0.0,6.67
12,42,93700,Leandro Paredes,28.0, DMC,180.0,75.0,14(2),14.0,2,1250.0,2.0,1.1,79.1,92.1,0.7,4.5,0.3,6.95
13,43,91961,Marco Verratti,29.0, M(C),165.0,60.0,23(3),23.0,3,1887.0,2.0,1.1,79.5,90.9,0.0,2.6,0.5,7.07
14,44,255167,Thilo Kehrer,26.0," D(CLR),M(R)",186.0,76.0,19(8),19.0,8,1896.0,2.0,0.2,49.5,92.7,0.1,1.4,0.0,6.98
15,45,116609,Adrien Rabiot,27.0," DMC,M(L)",188.0,71.0,12(2),12.0,2,1064.0,1.0,0.4,74.8,93.1,0.0,3.4,0.2,7.31
16,46,101949,Marquinhos,28.0," D(CR),DMC",183.0,75.0,30,30.0,0,2695.0,1.0,0.3,75.3,91.9,0.0,4.1,0.1,7.24
17,47,247800,Presnel Kimpembe,27.0, D(C),183.0,77.0,23(1),23.0,1,2006.0,1.0,0.2,60.9,93.6,0.0,2.3,0.0,6.69
18,48,28550,Thiago Silva,38.0, D(C),183.0,79.0,24(1),24.0,1,2079.0,1.0,0.2,75.0,94.2,0.0,3.5,0.1,7.06
19,49,92516,Alphonse Areola,29.0, GK,195.0,94.0,21,21.0,0,1890.0,0.0,0.0,19.8,83.2,0.0,2.9,0.0,6.8
20,50,346744,Antoine Bernède,23.0, Midfielder,177.0,69.0,2,2.0,0,170.0,0.0,0.5,85.0,93.5,0.0,1.5,0.0,7.24
21,51,29809,Eric Choupo-Moting,33.0," M(CLR),FW",191.0,90.0,8(14),8.0,14,794.0,0.0,0.2,10.0,82.2,0.1,0.1,0.0,6.42
22,52,3328,Gianluigi Buffon,44.0, GK,192.0,84.0,17,17.0,0,1530.0,0.0,0.0,19.4,90.0,0.0,2.0,0.0,6.88
23,53,303908,Giovani Lo Celso,26.0," M(CR),FW",177.0,68.0,0(1),0.0,1,10.0,0.0,0.0,13.0,100.0,0.0,0.0,0.0,6.38
24,54,302931,Kevin Rimane,31.0, Defender,181.0,0.0,0(1),0.0,1,4.0,0.0,0.0,8.0,100.0,0.0,0.0,0.0,6.14
25,55,18285,Lassana Diarra,37.0, M(C),173.0,73.0,2(1),2.0,1,161.0,0.0,0.3,48.7,89.7,0.0,1.3,0.0,6.72
26,56,373555,Loïc Mbe Soh,21.0, D(C),186.0,0.0,2,2.0,0,180.0,0.0,0.0,63.5,91.3,0.0,0.5,0.0,7.07
27,57,372926,Metehan Guclu,23.0, Forward,182.0,0.0,0(1),0.0,1,16.0,0.0,1.0,3.0,100.0,0.0,0.0,0.0,7.29
28,58,349755,Stanley Nsoki,23.0, D(CL),184.0,77.0,8(4),8.0,4,699.0,0.0,0.3,38.1,86.9,0.0,0.8,0.0,6.77
29,59,353991,Timothy Weah,22.0," AM(LR),FW",185.0,66.0,1(1),1.0,1,54.0,0.0,0.5,3.5,57.1,0.0,0.5,0.0,6.5
