,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,22,108226,Mohamed Salah,30.0," AM(CLR),FW",175.0,71.0,29(2),29.0,2,2487.0,11.0,2.3,31.2,80.4,0.5,0.6,0.2,7.48
1,23,24845,Edin Dzeko,36.0, FW,193.0,80.0,33(4),33.0,4,3056.0,9.0,1.2,22.8,69.7,0.1,0.9,0.1,7.85
2,24,35954,Kevin Strootman,32.0, DMC,186.0,78.0,31(2),31.0,2,2789.0,7.0,1.7,60.7,85.4,0.3,3.0,0.4,7.29
3,25,31388,Diego Perotti,34.0," M(CLR),FW",179.0,70.0,20(12),20.0,12,1750.0,6.0,1.4,23.2,81.9,1.3,0.6,0.0,7.16
4,26,52380,Radja Nainggolan,34.0, M(C),176.0,65.0,35(2),35.0,2,3044.0,5.0,1.9,41.1,80.0,0.4,2.9,0.2,7.37
5,27,5202,Daniele De Rossi,39.0," D(C),M(C)",184.0,83.0,27(4),27.0,4,2346.0,4.0,0.9,55.6,85.7,0.2,5.1,0.2,7.07
6,28,70087,Stephan El Shaarawy,29.0," AM(CLR),FW",178.0,72.0,19(13),19.0,13,1628.0,4.0,0.6,21.8,80.4,0.2,0.7,0.0,6.89
7,29,101596,Alessandro Florenzi,31.0," D(R),M(CLR)",173.0,67.0,8(1),8.0,1,750.0,3.0,1.6,46.6,80.9,1.9,4.4,0.0,7.21
8,30,183,Francesco Totti,46.0," AM(CL),FW",180.0,82.0,1(17),1.0,17,364.0,3.0,1.3,17.2,76.7,0.9,1.9,0.3,6.45
9,31,104010,Antonio Rüdiger,29.0, D(CR),190.0,85.0,25(1),25.0,1,2206.0,2.0,0.5,51.0,83.3,0.3,3.5,0.0,6.86
10,32,102073,Bruno Peres,32.0," D(LR),M(LR)",178.0,72.0,24(6),24.0,6,2225.0,2.0,1.1,34.7,84.9,1.0,1.4,0.1,7.03
11,33,70149,Kostas Manolas,31.0, D(C),189.0,83.0,32(1),32.0,1,2780.0,2.0,0.2,49.0,87.3,0.0,3.5,0.0,7.09
12,34,79562,Clément Grenier,31.0, M(CL),186.0,72.0,1(5),1.0,5,150.0,1.0,1.3,19.0,80.7,0.5,1.2,0.0,6.5
13,35,101955,Emerson,28.0," D(L),M(L)",176.0,63.0,23(2),23.0,2,1966.0,1.0,1.2,40.6,88.0,1.0,1.2,0.0,7.37
14,36,29908,Federico Fazio,35.0, D(C),195.0,85.0,35(2),35.0,2,3117.0,1.0,0.2,50.6,85.6,0.0,3.2,0.0,7.5
15,37,93700,Leandro Paredes,28.0, DMC,180.0,75.0,15(12),15.0,12,1469.0,1.0,1.6,44.5,88.4,1.1,3.0,0.1,7.12
16,38,242791,Gerson,25.0, M(CLR),184.0,78.0,2(2),2.0,2,132.0,0.0,0.3,19.0,89.5,0.0,0.5,0.0,6.29
17,39,97452,Juan Iturbe,29.0, AM(LR),172.0,64.0,0(5),0.0,5,38.0,0.0,0.0,3.2,68.8,0.2,0.0,0.0,6.14
18,40,84603,Juan Jesus,31.0, D(CL),185.0,83.0,13(7),13.0,7,1189.0,0.0,0.2,35.3,82.4,0.0,3.2,0.1,6.68
19,41,106931,Mário Rui,31.0," D(L),M(L)",170.0,67.0,3(2),3.0,2,344.0,0.0,0.8,48.8,77.5,1.2,1.6,0.0,6.71
20,42,10209,Thomas Vermaelen,36.0, D(CL),183.0,80.0,4(5),4.0,5,388.0,0.0,0.1,28.0,88.1,0.0,1.0,0.0,6.46
21,43,73379,Wojciech Szczesny,32.0, GK,195.0,90.0,38,38.0,0,3420.0,0.0,0.0,25.4,75.8,0.0,8.5,0.0,6.99
