,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,24,68889,Douglas Costa,32.0, M(CLR),172.0,70.0,18(13),18.0,13,1793.0,12.0,1.9,30.2,84.0,1.0,1.9,0.0,7.45
1,25,30226,Miralem Pjanic,32.0, M(C),178.0,72.0,28(3),28.0,3,2489.0,8.0,1.9,66.7,90.2,0.9,5.3,0.2,7.42
2,26,122402,Federico Bernardeschi,28.0," M(CLR),FW",185.0,77.0,7(15),7.0,15,826.0,6.0,0.6,15.9,84.9,0.2,1.4,0.1,6.81
3,27,19729,Gonzalo Higuaín,34.0, FW,186.0,89.0,32(3),32.0,3,2818.0,6.0,0.9,19.9,80.4,0.0,1.3,0.1,7.25
4,28,44868,Juan Cuadrado,34.0," D(R),M(CLR),FW",179.0,72.0,15(6),15.0,6,1359.0,6.0,1.9,35.9,89.0,1.0,3.3,0.0,7.28
5,29,114863,Paulo Dybala,28.0," AM(CR),FW",177.0,75.0,26(7),26.0,7,2358.0,5.0,1.6,38.0,87.3,0.8,2.3,0.0,7.77
6,30,100995,Alex Sandro,31.0," D(CL),M(L)",180.0,80.0,23(3),23.0,3,2115.0,4.0,1.0,54.7,86.4,1.0,4.2,0.1,7.47
7,31,24088,Mario Mandzukic,36.0," M(L),FW",190.0,85.0,27(5),27.0,5,2327.0,3.0,0.8,29.6,75.8,0.0,0.9,0.0,7.01
8,32,116207,Daniele Rugani,28.0, D(C),190.0,84.0,22,22.0,0,1936.0,2.0,0.1,68.5,90.9,0.0,2.3,0.0,6.92
9,33,9991,Giorgio Chiellini,38.0, D(C),187.0,85.0,25(1),25.0,1,2163.0,2.0,0.2,67.0,87.4,0.0,5.3,0.0,7.17
10,34,13764,Sami Khedira,35.0, M(C),189.0,90.0,24(2),24.0,2,1922.0,2.0,0.6,36.6,87.2,0.1,1.4,0.0,6.91
11,35,15302,Stephan Lichtsteiner,38.0," D(R),M(R)",182.0,72.0,21(6),21.0,6,1715.0,2.0,0.3,38.8,82.2,0.3,2.2,0.0,6.59
12,36,6075,Andrea Barzagli,41.0, D(CR),187.0,87.0,14(11),14.0,11,1433.0,1.0,0.2,48.8,92.3,0.1,4.0,0.0,6.62
13,37,17778,Blaise Matuidi,35.0, M(CL),180.0,75.0,27(5),27.0,5,2355.0,1.0,0.5,42.1,91.6,0.1,1.3,0.0,6.8
14,38,20211,Claudio Marchisio,36.0, M(C),180.0,74.0,9(6),9.0,6,819.0,1.0,0.4,44.6,89.2,0.1,4.1,0.1,6.67
15,39,35549,Kwadwo Asamoah,33.0," D(L),M(CL)",173.0,75.0,18(1),18.0,1,1571.0,1.0,0.7,59.7,89.3,0.4,3.2,0.0,6.94
16,40,24814,Benedikt Höwedes,34.0, D(CLR),188.0,77.0,3,3.0,0,248.0,0.0,0.7,69.7,92.8,0.7,1.3,0.0,7.19
17,41,83981,Carlo Pinsoglio,32.0, Goalkeeper,194.0,85.0,0(1),0.0,1,27.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,6.11
18,42,3328,Gianluigi Buffon,44.0, GK,192.0,84.0,21,21.0,0,1863.0,0.0,0.0,25.1,77.6,0.0,5.0,0.0,6.79
19,43,107275,Mattia De Sciglio,29.0," D(CLR),M(LR)",182.0,78.0,10(2),10.0,2,967.0,0.0,0.5,57.6,89.9,0.3,3.8,0.0,7.24
20,44,29888,Medhi Benatia,35.0, D(C),189.0,94.0,19(1),19.0,1,1755.0,0.0,0.1,69.3,90.5,0.0,3.5,0.0,7.25
21,45,303657,Rodrigo Bentancur,25.0, M(C),187.0,72.0,5(15),5.0,15,568.0,0.0,0.4,26.4,88.2,0.0,1.1,0.0,6.41
22,46,97265,Stefano Sturaro,29.0, M(CL),181.0,80.0,7(5),7.0,5,614.0,0.0,0.5,22.8,81.0,0.1,1.4,0.0,6.53
23,47,73379,Wojciech Szczesny,32.0, GK,195.0,90.0,17,17.0,0,1530.0,0.0,0.1,21.9,75.3,0.0,6.6,0.0,6.78
