,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,29,110373,Hakan Çalhanoglu,28.0," M(CLR),FW",178.0,76.0,30(3),30.0,3,2629.0,9.0,3.0,41.7,84.1,2.2,2.3,0.0,7.27
1,30,349207,Rafael Leão,23.0," AM(L),FW",188.0,81.0,22(8),22.0,8,1934.0,6.0,0.9,15.3,75.7,0.2,0.2,0.0,6.87
2,31,303115,Theo Hernández,24.0," D(L),M(L)",184.0,81.0,33,33.0,0,2935.0,5.0,1.3,48.0,83.1,0.5,1.9,0.0,7.28
3,32,365308,Alexis Saelemaekers,23.0, M(R),180.0,72.0,27(5),27.0,5,2037.0,4.0,0.9,25.1,82.6,0.3,0.5,0.0,6.66
4,33,101735,Ante Rebic,29.0," AM(CLR),FW",185.0,78.0,20(7),20.0,7,1782.0,4.0,1.3,14.8,67.7,0.5,0.3,0.1,6.99
5,34,277269,Franck Kessie,25.0, M(C),183.0,74.0,36(1),36.0,1,3230.0,4.0,0.8,53.9,88.9,0.1,2.8,0.0,7.15
6,35,317541,Brahim Díaz,23.0, AM(CLR),171.0,59.0,15(12),15.0,12,1236.0,3.0,0.7,17.3,87.1,0.2,0.5,0.0,6.6
7,36,259102,Ismaël Bennacer,24.0, DMC,175.0,70.0,17(4),17.0,4,1336.0,2.0,0.2,46.0,87.9,0.0,2.5,0.0,6.71
8,37,294163,Rade Krunic,28.0, M(CL),184.0,74.0,5(20),5.0,20,706.0,2.0,0.3,10.6,86.8,0.0,0.2,0.0,6.38
9,38,20769,Simon Kjaer,33.0, D(C),190.0,86.0,28,28.0,0,2397.0,2.0,0.3,52.8,88.0,0.0,4.2,0.0,7.01
10,39,3281,Zlatan Ibrahimovic,41.0, FW,195.0,95.0,18(1),18.0,1,1498.0,2.0,1.1,27.5,72.0,0.1,0.6,0.1,7.57
11,40,118158,Alessio Romagnoli,27.0, D(CL),185.0,75.0,21(1),21.0,1,1907.0,1.0,0.1,46.5,89.6,0.0,1.4,0.0,6.75
12,41,260498,Davide Calabria,25.0," D(LR),M(R)",177.0,70.0,30(2),30.0,2,2652.0,1.0,0.7,46.5,79.2,0.5,3.0,0.0,7.04
13,42,353418,Diogo Dalot,23.0," D(LR),M(R)",183.0,76.0,10(11),10.0,11,1082.0,1.0,0.4,23.2,79.1,0.5,1.8,0.0,6.72
14,43,391836,Pierre Kalulu,22.0, D(CR),179.0,69.0,7(6),7.0,6,727.0,1.0,0.5,34.8,87.6,0.1,0.7,0.0,6.59
15,44,294137,Andrea Conti,28.0," D(R),M(R)",184.0,76.0,0(3),0.0,3,25.0,0.0,0.3,7.0,95.2,0.0,0.3,0.3,6.28
16,45,32676,Ciprian Tatarusanu,36.0, GK,198.0,90.0,1,1.0,0,90.0,0.0,0.0,18.0,88.9,0.0,2.0,0.0,5.54
17,46,388493,Daniel Maldini,20.0, Forward,188.0,83.0,0(5),0.0,5,26.0,0.0,0.0,2.6,92.3,0.2,0.2,0.0,6.11
18,47,317507,Fikayo Tomori,24.0, D(CR),185.0,75.0,16(1),16.0,1,1466.0,0.0,0.0,53.6,88.7,0.0,2.8,0.0,6.96
19,48,262515,Gianluigi Donnarumma,23.0, GK,196.0,90.0,37,37.0,0,3330.0,0.0,0.0,29.2,77.0,0.0,5.5,0.0,6.8
20,49,320977,Jens Petter Hauge,22.0, AM(CLR),183.0,75.0,3(15),3.0,15,522.0,0.0,0.6,10.5,80.4,0.0,0.3,0.0,6.34
21,50,317652,Léo Duarte,26.0, D(C),183.0,76.0,0(1),0.0,1,18.0,0.0,0.0,12.0,100.0,0.0,0.0,0.0,6.28
22,51,395219,Lorenzo Colombo,20.0, Forward,186.0,74.0,1(3),1.0,3,93.0,0.0,0.0,3.0,50.0,0.3,0.0,0.0,6.14
23,52,24088,Mario Mandzukic,36.0," M(L),FW",190.0,85.0,1(9),1.0,9,204.0,0.0,0.2,4.9,71.4,0.0,0.1,0.0,6.19
24,53,61014,Mateo Musacchio,32.0, D(C),180.0,73.0,0(1),0.0,1,33.0,0.0,0.0,20.0,95.0,0.0,1.0,0.0,6.39
25,54,337443,Matteo Gabbia,22.0, D(C),185.0,78.0,7(1),7.0,1,557.0,0.0,0.0,45.0,91.7,0.0,2.8,0.0,6.69
26,55,238773,Samu Castillejo,27.0, AM(CLR),182.0,67.0,12(16),12.0,16,1178.0,0.0,0.4,14.5,84.0,0.3,0.7,0.0,6.46
27,56,343501,Sandro Tonali,22.0, DMC,181.0,79.0,17(8),17.0,8,1338.0,0.0,0.6,29.6,83.6,0.4,1.4,0.0,6.49
28,57,105161,Soualiho Meïté,28.0, M(C),187.0,80.0,4(12),4.0,12,580.0,0.0,0.3,17.8,84.9,0.0,1.0,0.1,6.54
